Time frequency,Other gainful activity of the holder,Eurofarm indicators,Unit of measure,Other gainful activity of the spouse,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Austria,3.84,4.14,3.98,4.06
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Belgium,3.56,3.79,4.26,5.0
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Bulgaria,3.2,3.35,5.38,5.92
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Switzerland,:,:,6.07,:
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Cyprus,0.43,0.46,0.47,0.47
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Czechia,2.83,2.94,3.08,2.9
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Germany,4.9,5.15,5.06,5.27
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Denmark,0.4,0.95,1.85,1.69
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Estonia,0.88,1.45,1.73,2.31
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Greece,0.51,0.64,0.66,0.8
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Spain,51.6,55.85,60.1,61.61
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Finland,0.96,1.05,1.26,1.63
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,France,93.02,99.72,112.03,117.86
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Croatia,:,1.13,2.21,3.04
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Hungary,7.9,7.66,9.18,8.82
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Ireland,0.18,0.16,0.33,0.5
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Iceland,:,:,0.36,:
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Italy,29.07,15.93,17.18,14.46
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Lithuania,0.54,0.56,0.65,0.68
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Luxembourg,0.04,0.04,0.05,0.05
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Latvia,0.12,0.11,0.12,0.14
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Montenegro,:,:,0.05,:
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Malta,0.04,0.03,0.04,0.04
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Netherlands,4.04,3.99,4.18,4.26
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Norway,0.21,0.26,0.48,0.31
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Poland,3.64,3.71,4.15,3.62
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Portugal,6.84,6.52,7.89,10.93
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Romania,18.26,17.7,30.7,27.88
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Sweden,5.12,4.69,5.24,5.19
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Slovenia,0.13,0.13,0.22,0.2
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,Slovakia,1.81,2.04,2.28,2.74
Annual,Total,hold: Total number of holdings,Thousand,Total,Not applicable,United Kingdom,12.7,12.18,7.37,5.87
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Austria,170.64,165.42,150.17,140.43
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Belgium,51.54,48.01,42.85,37.76
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Bulgaria,534.61,493.13,370.49,254.41
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Switzerland,63.63,61.76,59.07,:
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Cyprus,45.17,40.12,38.86,35.38
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Czechia,42.25,39.4,22.86,26.25
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Germany,389.88,370.48,299.13,285.03
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Denmark,51.68,44.62,41.36,38.28
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Estonia,27.75,23.34,19.61,19.19
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Greece,833.59,860.15,723.06,709.5
