Time frequency,Unit of measure,Item of meat,Meat product,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand tonnes,Slaughterings,Pigmeat,Albania,:,:,:,8.26,7.63,7.13,4.91,6.29,3.86,4.64,5.41,6.04
Annual,Thousand tonnes,Slaughterings,Pigmeat,Austria,529.76,528.21,525.57,527.77,511.49,505.36,509.52,502.03,503.17,502.12,477.66,454.26
Annual,Thousand tonnes,Slaughterings,Pigmeat,Bosnia and Herzegovina,:,:,:,8.53,8.52,8.77,7.3,7.75,7.62,:,7.92,6.83
Annual,Thousand tonnes,Slaughterings,Pigmeat,Belgium,1109.61,1130.57,1118.33,1124.31,1060.54,1044.56,1073.12,1038.92,1098.72,1140.00 p,1032.2,929.74
Annual,Thousand tonnes,Slaughterings,Pigmeat,Bulgaria,48.84,52.06,53.67,60.68,65.65,71.33,80.04,78.23,63.54,79.16,82.01 p,78.58 p
Annual,Thousand tonnes,Slaughterings,Pigmeat,Switzerland,:,:,:,240.06,238.48,238.34,229.35,220.66,224.09,:,232.55,219.46
Annual,Thousand tonnes,Slaughterings,Pigmeat,Cyprus,51.72,48.67,42.59,43.59,43.9,43.14,41.8,43.35,42.39,43.71,40.32,37.31
Annual,Thousand tonnes,Slaughterings,Pigmeat,Czechia,239.75,234.27,235.99,227.74,220.33,211.0,210.91,209.6,211.44,217.01,208.64,197.86
Annual,Thousand tonnes,Slaughterings,Pigmeat,Germany,5459.0,5474.0,5507.0,5562.0,5579.0,5455.0,5343.0,5227.0,5112.0,4965.46,4486.36,4204.75
Annual,Thousand tonnes,Slaughterings,Pigmeat,Denmark,1603.7,1589.4,1593.9,1598.7,1566.6,1530.0,1581.3,1498.6,1595.4,1723.5,1609.25,1288.36
Annual,Thousand tonnes,Slaughterings,Pigmeat,Estonia,36.17,36.9,40.55,42.41,42.82,41.77,43.4,45.25,45.03,44.13,43.21,39.46
Annual,Thousand tonnes,Slaughterings,Pigmeat,Greece,114.63,108.64,96.24,90.0,93.5,81.18,81.83,81.03,76.04,70.33,74.51,67.0
Annual,Thousand tonnes,Slaughterings,Pigmeat,Spain,3466.32 p,3431.22,3620.22,3854.66,4181.09,4298.79 p,4530.48,4641.16 p,5003.43 p,5180.06,5066.35,4870.71
Annual,Thousand tonnes,Slaughterings,Pigmeat,European Union - 27 countries (from 2020),21396.99,21321.03,21494.67,22213.74,22643.38,22459.08 p,22919.64,22768.32 p,23031.10 p,23393.67 p,22065.92 p,20641.09
Annual,Thousand tonnes,Slaughterings,Pigmeat,Finland,192.82,194.49,186.07,191.93,190.1,179.26,167.36,168.9,175.02,176.03,170.43,158.47
Annual,Thousand tonnes,Slaughterings,Pigmeat,France,2172.52,2150.3,2157.89,2162.87 p,2206.41,2177.25 p,2181.53 p,2200.35 p,2201.11 p,2203.83 p,2152.26 p,2062.46 p
Annual,Thousand tonnes,Slaughterings,Pigmeat,Croatia,85.6,79.8,68.7,73.0,79.9,71.4,74.8,78.4,81.3,87.4,81.02,77.17
Annual,Thousand tonnes,Slaughterings,Pigmeat,Hungary,345.93,336.73,368.62,409.3,431.76,434.57,435.79,434.89,448.09,462.74,427.85,419.97
Annual,Thousand tonnes,Slaughterings,Pigmeat,Ireland,241.49,239.31,254.14,276.4,282.7,294.17,303.27,304.37,320.13,335.13,332.58,300.52
Annual,Thousand tonnes,Slaughterings,Pigmeat,Iceland,5.9,6.3,6.4,6.8,6.08,6.26,6.79,6.54,6.82,6.65,6.41,6.24
Annual,Thousand tonnes,Slaughterings,Pigmeat,Italy,1620.72,1625.48,1327.82,1485.83,1544.13,1466.95,1470.67,1447.63,1270.87,1335.44,1238.73,1205.87
Annual,Thousand tonnes,Slaughterings,Pigmeat,Lithuania,58.86,67.01,66.7,66.17,60.35,60.86,63.54,70.52,75.78,74.4,67.43,63.98
Annual,Thousand tonnes,Slaughterings,Pigmeat,Luxembourg,10.35,10.87,11.92,12.29,13.78,12.77,12.73,12.81,12.34,12.41,12.68,11.46
Annual,Thousand tonnes,Slaughterings,Pigmeat,Latvia,23.99 p,26.22,28.22,29.33,31.16,33.32,36.54,38.45,35.11,34.63,35.96,31.73
Annual,Thousand tonnes,Slaughterings,Pigmeat,Montenegro,:,:,0.37,0.37,0.09,0.27,0.39,0.49,0.56,:,0.55 p,0.22 p
Annual,Thousand tonnes,Slaughterings,Pigmeat,North Macedonia,:,:,12.13,11.55,:,10.84,9.06,9.36,10.58,10.84,8.22,7.64
Annual,Thousand tonnes,Slaughterings,Pigmeat,Malta,5.67,5.92,6.15,5.55,4.93,4.71,4.43,4.41,4.56,4.72,4.43,3.96
Annual,Thousand tonnes,Slaughterings,Pigmeat,Netherlands,1331.73,1306.95,1370.89,1456.22,1452.84,1455.68,1535.92 p,1628.29 p,1661.65,1719.42,1683.58,1463.46 p
Annual,Thousand tonnes,Slaughterings,Pigmeat,Poland,1695.2,1684.26,1838.46,1906.11,1963.01,1990.46,2082.44,1978.84,1974.49,1976.33,1795.19,1764.89
Annual,Thousand tonnes,Slaughterings,Pigmeat,Portugal,362.34,345.86,359.98,377.46,375.44,356.47,361.53,365.96,357.82,358.76,348.79,336.28
Annual,Thousand tonnes,Slaughterings,Pigmeat,Romania,282.09,308.44,324.87,330.47,337.03,327.98,365.09 p,342.52 p,331.37 p,311.10 p,267.18 p,263.80 p
Annual,Thousand tonnes,Slaughterings,Pigmeat,Serbia,128.27,132.3,150.52,167.24,164.55,155.79,170.52,172.43,170.7,168.87,138.81,136.26
Annual,Thousand tonnes,Slaughterings,Pigmeat,Sweden,232.97,234.1,236.2,233.5,233.89,239.76,248.89,240.29,246.54,252.55,254.25,243.44
Annual,Thousand tonnes,Slaughterings,Pigmeat,Slovenia,21.03,18.95,20.21,20.23 p,22.69,21.88,22.31,23.71,22.77,22.59,21.2,18.74
Annual,Thousand tonnes,Slaughterings,Pigmeat,Slovakia,54.16,52.4,33.77,45.24,48.34,49.47,57.41,62.8,61.01,60.7,51.86,46.86
Annual,Thousand tonnes,Slaughterings,Pigmeat,Türkiye,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.0,0.0,:,: @C,: @C
Annual,Thousand tonnes,Slaughterings,Pigmeat,United Kingdom,824.64,832.92,862.13,898.33,919.22 p,902.57,926.73,959.73,:,:,:,:
Annual,Thousand tonnes,Slaughterings,Pigmeat,Kosovo*,:,:,:,:,0.0,0.0,0.0,:,:,:,0.24,0.27
