Time frequency,itm_newa,indic_ag,unit,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,10000.0,PROD_BP,MIO_EUR,AT,2912.29,2893.57,2945.08,3000.83,3066.78,3174.32,3157.64,3289.56,4031.88,5060.75,4411.29,4140.30 e
Annual,10000.0,PROD_BP,MIO_EUR,BE,3769.17,3457.33,3632.39,3595.67,3576.07,3640.38,3926.1,4047.01,4934.72,4934.72,5162.62,4996.82 e
Annual,10000.0,PROD_BP,MIO_EUR,BG,2681.64,2753.62,2625.84,2629.47,2775.46,2882.07,2880.51,2678.21,4146.82,4959.48,3642.8,3146.09 e
Annual,10000.0,PROD_BP,MIO_EUR,CH,3165.88,3630.21,3541.34,3882.89,3594.4,3585.95,3976.2,3903.56,3431.98,4298.02,4493.39,4266.82 e
Annual,10000.0,PROD_BP,MIO_EUR,CY,310.65,263.02,289.32,247.28,285.02,273.82,285.92,279.67,291.11,324.53,322.36,331.43 e
Annual,10000.0,PROD_BP,MIO_EUR,CZ,2919.75,2885.34,2742.58,2952.48,2817.99,2964.33,3112.67,3302.55,4044.02,4644.98,3927.32,3742.67 e
Annual,10000.0,PROD_BP,MIO_EUR,DE,28193.79,28106.45,24710.02,24860.92,25401.15,22794.05,27518.33,28007.64,29970.78,36278.62,35328.43,34643.31 e
Annual,10000.0,PROD_BP,MIO_EUR,DK,3473.1,3460.52,3691.49,3206.14,3635.94,3510.28,3758.23,4000.92,4542.11,5551.75,4289.6,3680.41 e
Annual,10000.0,PROD_BP,MIO_EUR,EA19,169050.98,164732.71,168405.12,165405.66,169338.61,176079.15,180266.19,181052.67,198356.96,228839.92,219034.18,217000.35 e
Annual,10000.0,PROD_BP,MIO_EUR,EA20,170471.38,165855.15,169591.22,166681.04,170587.28,177476.81,181662.88,182486.78,199977.67,230803.37,220608.72,218597.48 e
Annual,10000.0,PROD_BP,MIO_EUR,EE,382.24,384.39,467.98,318.64,369.81,349.97,503.32,484.27,570.64,817.51,525.74,512.11 e
Annual,10000.0,PROD_BP,MIO_EUR,EL,7037.73,7180.55,7779.08,7338.41,8072.22,7852.45,8146.16,8206.58,8543.68,10625.05,9772.05,10751.95 e
Annual,10000.0,PROD_BP,MIO_EUR,ES,25895.94,25584.93,27192.16,29398.12,29981.41,31405.76,30108.33,30484.6,35229.22,37203.11,35645.78,38830.42 e
Annual,10000.0,PROD_BP,MIO_EUR,EU27_2020,210993.47,204683.65,206236.01,203703.14,210604.12,218346.75,224279.4,224134.17,250615.8,290200.3,273524.0,266791.82 e
Annual,10000.0,PROD_BP,MIO_EUR,FI,1787.47,1642.22,1611.73,1600.13,1545.19,1592.85,2137.07,1857.23,1737.36,2478.64,2065.13,2121.97 e
Annual,10000.0,PROD_BP,MIO_EUR,FR,41283.8,41629.0,42523.4,39253.18,40542.25,44954.24,43986.89,42746.23,45488.43,54337.86,50500.7,43631.30 e
Annual,10000.0,PROD_BP,MIO_EUR,HR,1420.4,1122.45,1186.09,1275.38,1248.68,1397.66,1396.69,1434.1,1620.71,1963.45,1574.54,1597.13 e
Annual,10000.0,PROD_BP,MIO_EUR,HU,4595.95,4712.03,4668.15,5006.0,4861.63,4873.02,4968.08,4939.01,5821.49,5916.78,6448.82,5590.60 e
Annual,10000.0,PROD_BP,MIO_EUR,IE,2066.36,1747.49,1737.28,1767.43,1889.64,2125.24,1885.0,1957.37,2150.89,2656.0,2491.21,2627.84 e
Annual,10000.0,PROD_BP,MIO_EUR,IS,113.25,134.01,116.36,119.66,139.64,110.56,115.36,124.26,132.54,158.06,159.28,136.14 e
Annual,10000.0,PROD_BP,MIO_EUR,IT,31526.36,28709.07,31008.69,29447.33,29535.09,32464.72,31712.3,32824.79,34999.24,40994.94,38863.42,40597.31 e
Annual,10000.0,PROD_BP,MIO_EUR,LT,1617.76,1572.25,1801.7,1631.67,1751.52,1593.72,1872.5,2167.28,2287.91,3289.71,2578.2,2553.35 e
Annual,10000.0,PROD_BP,MIO_EUR,LU,183.8,207.02,168.92,168.33,154.87,166.11,157.99,152.74,207.15,219.03,230.47,253.97 e
Annual,10000.0,PROD_BP,MIO_EUR,LV,665.6,649.88,787.02,705.49,728.34,667.89,924.74,1029.04,1033.64,1372.36,974.77,1047.42 e
Annual,10000.0,PROD_BP,MIO_EUR,MT,51.1,48.57,54.38,52.06,47.72,45.44,49.05,43.55,44.35,49.29,55.15,52.78 e
Annual,10000.0,PROD_BP,MIO_EUR,NL,15784.83,15074.46,15767.65,15992.11,16194.63,16510.12,17199.66,16580.5,18627.56,19262.6,20349.28,20377.37 e
Annual,10000.0,PROD_BP,MIO_EUR,NO,1704.29,1779.3,1808.82,1845.52,1778.85,1506.55,1831.56,1830.4,1895.75,2572.5,2103.51,2286.72 e
Annual,10000.0,PROD_BP,MIO_EUR,PL,11944.52,11207.38,10331.1,10546.25,11403.36,10884.08,11798.49,12925.06,13620.87,19754.08,18060.39,17093.03 e
Annual,10000.0,PROD_BP,MIO_EUR,PT,3716.95,3598.31,4017.01,3929.26,4288.89,4374.75,4658.12,4752.72,5941.8,6264.63,7339.26,7236.08 e
