Time frequency,Eurofarm indicators,Unit of measure,Farm type,Standard output in Euros,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Austria,9.24,9.88,11.62,11.82
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Belgium,14.84,13.55,11.47,9.38
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Bulgaria,1.51,1.67,1.99,2.46
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Switzerland,:,:,14.0,:
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Cyprus,0.51,0.57,0.5,0.53
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Czechia,1.53,1.53,1.67,1.99
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Germany,70.71,66.57,63.97,59.22
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Denmark,5.8,4.71,4.49,4.41
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Estonia,0.32,0.38,0.5,0.57
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Greece,3.37,3.95,3.76,5.02
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Spain,42.94,41.37,43.16,48.37
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Finland,5.89,6.11,6.86,6.9
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,France,109.99,108.75,113.89,115.79
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Croatia,:,0.44,1.38,1.6
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Hungary,2.55,2.54,3.59,4.43
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Ireland,8.59,8.19,8.66,10.54
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Iceland,:,:,0.62,:
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Italy,46.42,44.5,59.44,55.57
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Lithuania,0.5,0.64,1.11,1.87
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Luxembourg,0.83,0.79,0.74,0.63
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Latvia,0.31,0.4,0.7,0.94
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Montenegro,:,:,0.01,:
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Malta,0.12,0.13,0.14,0.13
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Netherlands,23.48,21.13,16.97,12.7
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Norway,:,5.99,7.17,6.88
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Poland,8.35,10.19,12.83,18.86
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Portugal,4.65,4.52,5.94,6.08
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Romania,2.9,3.12,4.12,5.0
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Sweden,7.05,6.34,5.57,5.43
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Slovenia,0.45,0.5,0.78,0.95
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,Slovakia,0.53,0.55,0.66,0.73
Annual,hold: Total number of holdings,Thousand,Total,From 100 000 to 249 999 euros,United Kingdom,29.79,27.04,25.3,25.55
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Austria,46.63,42.56,41.02,38.88
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Belgium,9.41,8.94,7.47,7.15
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Bulgaria,7.98,8.82,10.81,13.1
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Switzerland,:,:,16.14,:
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Cyprus,3.25,3.0,2.41,2.22
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Czechia,5.79,5.79,5.19,5.88
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Germany,88.17,82.68,73.17,68.59
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Denmark,14.51,12.0,11.57,10.73
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Estonia,2.01,1.9,1.96,2.0
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Greece,107.69,107.74,92.62,114.8
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Spain,193.81,183.51,176.18,166.93
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Finland,16.95,15.67,15.24,15.08
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,France,117.07,106.69,104.95,89.26
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Croatia,:,15.55,20.68,19.35
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Hungary,22.86,20.96,23.52,26.43
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Ireland,40.58,39.65,32.73,37.19
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Iceland,:,:,0.89,:
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Italy,256.87,237.16,248.1,218.09
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Lithuania,8.15,8.16,10.28,11.18
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Luxembourg,0.48,0.43,0.42,0.37
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Latvia,3.47,3.64,4.76,5.62
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Montenegro,:,:,0.57,:
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Malta,0.66,0.73,0.76,0.78
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Netherlands,13.15,12.36,11.25,11.2
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Norway,:,16.4,16.19,14.11
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Poland,193.56,194.29,207.51,221.31
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Portugal,25.53,22.84,24.23,22.14
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Romania,27.08,34.24,35.61,52.65
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Sweden,15.46,15.22,14.53,14.37
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Slovenia,10.34,9.67,9.46,10.55
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,Slovakia,1.38,1.5,1.75,1.98
Annual,hold: Total number of holdings,Thousand,Total,From 15 000 to 49 000 euros,United Kingdom,51.89,50.27,41.03,42.12
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Austria,1.34,1.61,2.28,1.77
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Belgium,6.12,6.05,6.33,6.54
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Bulgaria,0.67,0.71,1.01,1.34
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Switzerland,:,:,2.9,:
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Cyprus,0.19,0.17,0.15,0.17
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Czechia,0.75,0.76,0.76,0.85
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Germany,26.96,27.53,27.64,31.18
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Denmark,5.29,4.22,3.44,2.75
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Estonia,0.14,0.15,0.17,0.19
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Greece,0.4,0.55,0.54,0.62
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Spain,12.06,12.74,13.85,13.63
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Finland,0.69,0.79,1.33,1.83
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,France,29.36,30.34,35.6,46.57
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Croatia,:,0.07,0.2,0.22
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Hungary,0.83,0.75,1.08,1.26
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Ireland,0.74,0.69,1.04,1.64
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Iceland,:,:,0.11,:
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Italy,12.05,13.09,17.41,16.0
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Lithuania,0.17,0.2,0.27,0.43
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Luxembourg,0.11,0.15,0.23,0.36
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Latvia,0.1,0.11,0.22,0.33
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Montenegro,:,:,0.0,:
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Malta,0.03,0.03,0.05,0.03
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Netherlands,12.87,12.79,13.37,14.2
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Norway,:,1.45,1.65,2.31
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Poland,2.02,2.37,3.39,4.33
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Portugal,1.23,1.15,1.6,1.72
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Romania,1.11,1.14,1.45,2.1
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Sweden,2.2,2.25,2.26,2.54
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Slovenia,0.04,0.16,0.08,0.12
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,Slovakia,0.35,0.34,0.37,0.4
Annual,hold: Total number of holdings,Thousand,Total,From 250 000 to 499 999 euros,United Kingdom,11.14,10.93,12.48,13.76
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Austria,48.45,45.18,40.87,39.53
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Belgium,7.57,6.87,5.82,4.46
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Bulgaria,57.64,50.83,38.8,41.4
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Switzerland,:,:,7.06,:
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Cyprus,8.75,8.06,6.55,6.64
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Czechia,10.08,9.37,7.61,9.16
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Germany,87.72,80.98,63.63,56.59
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Denmark,15.29,12.83,9.61,7.63
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Estonia,6.86,5.33,4.5,3.84
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Greece,284.54,282.47,230.56,215.9
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Spain,333.45,319.8,288.2,279.76
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Finland,22.34,22.29,21.07,17.97
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,France,90.07,81.32,84.04,70.41
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Croatia,:,56.06,65.97,56.31
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Hungary,80.35,64.89,71.81,62.76
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Ireland,47.29,43.21,51.18,49.07
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Iceland,:,:,0.31,:
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Italy,530.06,522.0,413.36,330.18
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Lithuania,85.83,40.74,39.36,44.84
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Luxembourg,0.42,0.37,0.32,0.27
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Latvia,17.72,15.65,15.04,16.17
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Montenegro,:,:,7.18,:
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Malta,1.52,1.59,1.94,1.65
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Netherlands,13.12,11.99,13.15,12.36
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Norway,:,14.28,12.02,11.63
