Time frequency,Agricultural area,Eurofarm indicators,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,Not applicable,Croatia,:,:,:,0.01
Annual,Total,hold: Total number of holdings,Thousand,Total,Austria,170.64,165.42,150.17,140.43
Annual,Total,hold: Total number of holdings,Thousand,Total,Belgium,51.54,48.01,42.85,37.76
Annual,Total,hold: Total number of holdings,Thousand,Total,Bulgaria,534.61,493.13,370.49,254.41
Annual,Total,hold: Total number of holdings,Thousand,Total,Switzerland,63.63,61.76,59.07,:
Annual,Total,hold: Total number of holdings,Thousand,Total,Cyprus,45.17,40.12,38.86,35.38
Annual,Total,hold: Total number of holdings,Thousand,Total,Czechia,42.25,39.4,22.86,26.25
Annual,Total,hold: Total number of holdings,Thousand,Total,Germany,389.88,370.48,299.13,285.03
Annual,Total,hold: Total number of holdings,Thousand,Total,Denmark,51.68,44.62,41.36,38.28
Annual,Total,hold: Total number of holdings,Thousand,Total,Estonia,27.75,23.34,19.61,19.19
Annual,Total,hold: Total number of holdings,Thousand,Total,Greece,833.59,860.15,723.06,709.5
Annual,Total,hold: Total number of holdings,Thousand,Total,Spain,1079.42,1043.91,989.8,965.0
Annual,Total,hold: Total number of holdings,Thousand,Total,Finland,70.62,68.23,63.87,54.4
Annual,Total,hold: Total number of holdings,Thousand,Total,France,567.14,527.35,516.1,472.21
Annual,Total,hold: Total number of holdings,Thousand,Total,Croatia,:,181.25,233.28,157.44
Annual,Total,hold: Total number of holdings,Thousand,Total,Hungary,714.79,626.32,576.81,491.33
Annual,Total,hold: Total number of holdings,Thousand,Total,Ireland,132.67,128.24,139.89,139.6
Annual,Total,hold: Total number of holdings,Thousand,Total,Iceland,:,:,2.59,:
Annual,Total,hold: Total number of holdings,Thousand,Total,Italy,1728.53,1679.44,1620.88,1010.33
Annual,Total,hold: Total number of holdings,Thousand,Total,Lithuania,252.95,230.27,199.91,171.8
Annual,Total,hold: Total number of holdings,Thousand,Total,Luxembourg,2.45,2.3,2.2,2.08
