Time frequency,Level,Nomenclature of land cover and land use (Corine Land Cover 2018),Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2010.0,2016.0
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Austria,12.2,10.2,10.2
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Belgium,1.4,1.3,1.3
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Bulgaria,2.8,2.8,2.8
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Cyprus,1.5,1.5,1.5
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Czechia,2.8,2.1,2.1
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Germany,1.4,1.4,1.4
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Denmark,0.2,0.2,0.2
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Estonia,0.3,0.3,0.3
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Greece,4.1,3.7,3.7
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Spain,3.7,3.5,3.6
Annual,Total,Pastures and natural grassland,Tonnes per hectare,European Union - 27 countries (from 2020),3.1,2.7,2.7
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Finland,0.2,0.2,0.3
Annual,Total,Pastures and natural grassland,Tonnes per hectare,France,2.6,2.3,2.3
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Croatia,6.5,4.5,3.5
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Hungary,1.1,1.0,1.0
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Ireland,0.8,0.8,0.8
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Italy,12.7,9.0,9.0
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Lithuania,0.4,0.4,0.4
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Luxembourg,2.2,2.1,2.1
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Latvia,0.4,0.4,0.4
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Malta,0.0,0.0,0.0
Annual,Total,Pastures and natural grassland,Tonnes per hectare,Netherlands,0.2,0.1,0.1
