Time frequency,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Compensation of employees,"Current prices, million euro",Albania,:,:,:,:,:,3102.8,3503.6,3459.6,3962.5,4501.6,5284.3 p,:
Annual,Compensation of employees,"Current prices, million euro",Austria,154501.7,158710.0,163631.4,170010.9,175965.9,184918.1,192668.1,192083.9,201416.4,217424.0,234829.5,:
Annual,Compensation of employees,"Current prices, million euro",Bosnia and Herzegovina,6800.6,6946.4,7104.2,7222.3,:,:,:,:,:,:,:,:
Annual,Compensation of employees,"Current prices, million euro",Belgium,203695.9,206318.0,208238.0,212286.1,219529.6,226729.6,234996.0,230892.4,245676.8,269152.0,292661.1 p,:
Annual,Compensation of employees,"Current prices, million euro",Bulgaria,16616.9,17512.1,18681.9,20118.5,22302.9,24664.1,26777.4,27904.3,31356.8,35946.2,41375.2,:
Annual,Compensation of employees,"Current prices, million euro",Switzerland,305494.5,314522.0,364410.9,361323.2,359229.7,353404.0,377740.9,387678.9,400689.2,455482.0 p,487327.0 p,:
Annual,Compensation of employees,"Current prices, million euro",Cyprus,8371.9,7901.0,7929.1,8231.9,8840.0,9553.2,10582.2,10572.1,11408.0,12776.5,13638.0 p,:
Annual,Compensation of employees,"Current prices, million euro",Czechia,66673.6,65232.0,69231.2,73946.0,82825.3,93302.5,100488.7,99187.4,109727.0,123392.1,136048.1,:
Annual,Compensation of employees,"Current prices, million euro",Germany,1471443.0,1531870.0,1594004.0,1657401.0,1732387.0,1816102.0,1899063.0,1894056.0,1963032.0 p,2081653.0 p,2223568.0 p,2346628.0 p
Annual,Compensation of employees,"Current prices, million euro",Denmark,133312.1,136207.8,140355.5,145219.2,150075.5,154919.3,159854.8,162376.9,171849.4,183565.3,191829.7,:
Annual,Compensation of employees,"Current prices, million euro",Euro area - 19 countries  (2015-2022),4792690.6,4898564.3,5033354.7,5185501.8,5382349.1,5603918.0,5815631.6,5705453.3,6053243.5,6482614.5,6931235.8,:
Annual,Compensation of employees,"Current prices, million euro",Euro area – 20 countries (from 2023),4813040.9,4918869.4,5054105.2,5207045.7,5405113.5,5628428.7,5840972.7,5730305.8,6079850.9,6513023.2,6967273.0,:
Annual,Compensation of employees,"Current prices, million euro",Estonia,8530.8,9168.9,9761.1,10379.7,11317.7,12464.5,13583.3,13814.7,15058.8,17133.0,18995.6,:
Annual,Compensation of employees,"Current prices, million euro",Greece,62778.4,63106.0,62288.1,63529.9,64075.9,66360.9,68215.9,65290.2,70113.9,73551.2 p,77454.3 p,:
Annual,Compensation of employees,"Current prices, million euro",Spain,470153.0,476301.0,497019.0,508025.0,528140.0,550649.0,585833.0,561866.0,604193.0,655862.0 p,715607.0 p,:
Annual,Compensation of employees,"Current prices, million euro",European Union - 27 countries (from 2020),5482518.8,5599196.2,5757584.7,5943903.1,6195693.8,6461851.4,6718322.4,6613792.0,7028943.8,7538625.0,8086501.6,:
Annual,Compensation of employees,"Current prices, million euro",Finland,101098.0,101375.0,102572.0,104283.0,105061.0,109146.0,112627.0,110869.0,118106.0,126139.0,132479.0,:
Annual,Compensation of employees,"Current prices, million euro",France,1107914.9,1126854.6,1143090.7,1164986.1,1202199.0,1231985.4,1243041.1,1195011.5,1285635.5,1377049.8 p,1448932.6 p,:
Annual,Compensation of employees,"Current prices, million euro",Croatia,20350.3,20305.1,20750.4,21543.9,22764.3,24510.6,25341.1,24852.5,26607.4,30408.7,36037.2 p,:
Annual,Compensation of employees,"Current prices, million euro",Hungary,44841.7,45334.5,47234.3,50057.3,54716.1,57510.6,62033.6,58348.4,62559.2,68239.8,80517.7 p,:
Annual,Compensation of employees,"Current prices, million euro",Ireland,73237.7,76182.6,80971.6,86369.8,92389.5,98291.8,106263.6,106103.0,117272.1,128590.6,142550.4,:
Annual,Compensation of employees,"Current prices, million euro",Iceland,6023.8,6725.7,7910.7,9696.6,11825.4,12292.1,11797.4,10144.1,11566.3,14268.8,15269.1,:
Annual,Compensation of employees,"Current prices, million euro",Italy,634113.8,635937.9,649315.1,665223.5,682754.8,703650.4,718956.8,677961.2,738220.6,783596.6,824026.5,:
Annual,Compensation of employees,"Current prices, million euro",Liechtenstein,2743.6,2835.3,3193.0,3151.3,3238.6,3200.8,3502.6,3526.8,3751.2 p,:,:,:
Annual,Compensation of employees,"Current prices, million euro",Lithuania,13746.9,14619.0,15657.8,17011.2,18560.2,20382.3,22644.6,23825.7,26970.5,31411.2,35776.3,:
Annual,Compensation of employees,"Current prices, million euro",Luxembourg,22980.1,24041.5,25058.1,25994.5,27765.5,29708.7,31337.1,32254.5,34910.5,38189.8,41867.7,:
Annual,Compensation of employees,"Current prices, million euro",Latvia,9466.8,10095.5,10893.7,11558.1,12468.3,13874.5,14933.9,15015.5,15869.1,17872.2,20680.3,:
Annual,Compensation of employees,"Current prices, million euro",Montenegro,1175.5,1325.8,1394.6,1547.0,1700.9,1863.9,1971.3,1879.3,2010.8,2377.1,2900.5,:
Annual,Compensation of employees,"Current prices, million euro",North Macedonia,2596.5,2861.1,3005.5,3277.8,3513.9,3724.5,3987.1,4214.3,4505.2,5020.6,5092.6 e,:
Annual,Compensation of employees,"Current prices, million euro",Malta,3497.3,3747.8,4129.2,4530.1,4951.0,5646.4,6179.4,6445.5,6923.0,7541.1,8205.0,:
Annual,Compensation of employees,"Current prices, million euro",Netherlands,325151.0,328743.0,330994.0,342642.0,354478.0,372900.0,393062.0,406330.0,423799.0,454769.0,489593.0,:
Annual,Compensation of employees,"Current prices, million euro",Norway,177156.8,172632.3,166023.7,162568.6,167229.2,170756.0,175944.5,162035.0,181438.3,197592.5,188631.0,:
Annual,Compensation of employees,"Current prices, million euro",Poland,148277.3,155491.2,161835.8,165200.1,181928.1,196960.9,212937.7,215341.4,225911.5,249983.6,290901.1,:
Annual,Compensation of employees,"Current prices, million euro",Portugal,76603.3,76707.2,78646.2,81294.1,85900.3,91521.8,96957.5,96895.0,103756.2,113604.2,126231.1 e,:
Annual,Compensation of employees,"Current prices, million euro",Romania,45688.6,49056.9,51410.0,59891.0,69537.5,78335.2,86552.5,86956.3,91300.6,105170.0,122261.1,:
Annual,Compensation of employees,"Current prices, million euro",Serbia,13805.5,13456.1,13337.4,13788.6,14938.4,16801.9,18754.8,20760.7,23479.4,26930.1 p,31425.2 p,:
Annual,Compensation of employees,"Current prices, million euro",Sweden,214067.6,211492.1,214730.8,222425.3,229194.8,227730.2,228704.9,233371.4,256388.4,259304.9,256295.6,:
Annual,Compensation of employees,"Current prices, million euro",Slovenia,17861.7,18197.5,18712.6,19740.7,21011.3,22584.4,24391.7,25114.3,27424.8,29534.5,32713.9,:
Annual,Compensation of employees,"Current prices, million euro",Slovakia,27544.5,28687.7,30443.0,32004.3,34554.1,37449.0,40295.5,41052.7,43457.3,46765.0,51426.5,:
Annual,Compensation of employees,"Current prices, million euro",Türkiye,199865.3,203185.3,225988.7,251310.1,229824.4,197806.8,212423.9,183573.3,185135.7,203108.8,297414.8,:
Annual,Compensation of employees,"Current prices, million euro",United Kingdom,1037372.5,1121016.7,1280859.4,1179798.2,1148630.6,1184844.8,1251553.4,:,:,:,:,:
Annual,Compensation of employees,"Current prices, million euro",Kosovo*,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Albania,:,:,:,:,:,24.2,25.2 b,25.9,26.0,24.9,24.3 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Austria,48.1,48.1,47.8,47.8,47.9,48.3,48.7,50.5,49.6,48.5,49.6,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Belgium,51.6,50.9,50.1,49.5,49.5,49.3,49.0,49.8,48.6,47.8,49.1 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Bulgaria,39.5,40.7,40.8,41.3,42.5,43.9,43.7,45.1,43.9,41.8,43.7,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Switzerland,57.5,57.4,58.3,58.1,58.3,57.5,58.6,59.6,58.1,57.8 p,58.9 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Cyprus,46.4,45.2,44.2,43.3,43.5,43.8,45.2,47.3,44.4,43.4,43.5 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Czechia,41.5,41.0,40.6,41.3,42.1,43.7,43.8,45.0,44.6,43.0,42.9,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Germany,51.3,51.3,51.7,51.9,52.0,52.9,53.7,54.9,53.4 p,52.6 p,53.1 p,54.5 p
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Denmark,51.4,51.3,51.6,51.4,51.0,51.5,51.8,52.0,49.8,48.0,51.0,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Euro area - 19 countries  (2015-2022),47.9,47.8,47.4,47.5,47.6,47.9,48.1,49.3,48.2,47.5,47.7,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Euro area – 20 countries (from 2023),47.9,47.8,47.4,47.5,47.6,47.9,48.1,49.3,48.2,47.5,47.7,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Estonia,44.5,45.0,46.5,46.8,46.5,47.1,47.7,49.6,47.9,47.0,49.7,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Greece,35.2,35.8,35.5,36.4,36.1,36.7,36.8,39.0,38.0,35.4 p,34.4 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Spain,45.8,45.8,45.7,45.2,45.1,45.4,46.7,49.8,48.9,47.7 p,47.8 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),47.3,47.2,46.8,47.0,47.0,47.4,47.6,48.7,47.5,46.7,47.0,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Finland,49.7,49.2,48.8,48.3,46.8,47.1,47.2,46.9,47.5,47.4,48.5,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),France,52.3,52.3,51.9,52.2,52.5,52.3,51.1,51.5,51.3,51.9 p,51.3 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Croatia,45.4,45.9,45.6,45.3,45.3,46.2,45.4,49.0,45.6,45.0,46.2 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Hungary,43.9,42.6,41.9,42.9,43.0,42.1,42.1,42.0,40.4,40.4,40.9 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Ireland,40.0,37.9,29.7,31.3,29.9,29.4,29.2,27.8,26.1,24.7,28.0,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Iceland,49.6,49.9,50.1,51.6,54.0,55.3,53.5,53.5,53.0,52.1,52.7,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Italy,39.1,38.9,39.0,39.0,39.1,39.6,39.9,40.6,40.1,39.2,38.7,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Liechtenstein,57.0,56.5,56.5,55.9,56.5,56.5,60.9,62.8,57.6 p,:,:,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Lithuania,39.4,40.2,41.8,43.8,43.9,44.4,46.0,47.4,47.6,46.6,48.5,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Luxembourg,46.8,46.4,46.3,46.2,47.7,49.4,50.2,50.0,48.2,49.3,52.8,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Latvia,43.0,44.3,45.9,47.2,47.9,49.3,50.5,51.4,49.2,49.5,52.9,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Montenegro,35.0,38.3,38.2,39.1,39.6,40.0,39.8,44.9,40.6,40.1,41.7,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),North Macedonia,31.9,33.4,33.1,33.9,35.0,34.7,35.4,38.8,38.1,37.9,37.3 e,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Malta,43.0,41.9,40.4,41.7,39.5,41.3,42.3,44.9,41.5,41.3,39.9,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Netherlands,48.9,48.4,47.3,47.6,47.2,47.4,47.4,49.8,47.5,45.8,45.9,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Norway,44.8,45.6,47.5,48.5,46.9,45.8,48.2,50.2,42.6,35.0,42.0,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Poland,38.0,38.0,37.4,38.6,38.8,39.1,39.5,40.5,38.7,37.8,38.8,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Portugal,44.9,44.3,43.8,43.6,43.9,44.6,45.2,48.2,47.9,46.6,47.2 e,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Romania,32.0,32.6,32.1,35.8,37.3,38.0,38.5,39.3,37.7,37.3,37.7 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Serbia,36.4,36.4,35.8,36.1,36.6,37.6,39.0,42.3,42.0,42.4 p,41.8 p,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Sweden,48.7,48.5,47.5,47.8,48.2,48.7,48.1,48.7,47.6,47.0,47.4,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Slovenia,49.6,48.8,48.6,49.3,49.3,49.7,50.7,53.7,52.7,51.9,51.2,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Slovakia,36.9,37.5,37.9,39.2,40.7,41.5,42.6,43.5,42.6,42.5,41.8,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Türkiye,27.8,28.7,29.1,32.0,30.2,30.0,31.3,29.3,26.8,23.6,28.9,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),United Kingdom,49.5,48.5,48.4,48.5,48.7,48.9,49.5,:,:,:,:,:
Annual,Compensation of employees,Percentage of gross domestic product (GDP),Kosovo*,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:
