Time frequency,Unit of measure,Classification of individual consumption by purpose (COICOP),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Annual average rate of change,All-items HICP,Albania,:,:,:,:,3.2 d,1.8 d,1.7 d,2.2 d,2.3 d,6.6 d,5.3 d,2.6 d
Annual,Annual average rate of change,All-items HICP,Austria,2.1,1.5,0.8,1.0,2.2,2.1,1.5,1.4,2.8,8.6,7.7,2.9
Annual,Annual average rate of change,All-items HICP,Belgium,1.2,0.5,0.6,1.8,2.2,2.3,1.2,0.4,3.2,10.3,2.3,4.3
Annual,Annual average rate of change,All-items HICP,Bulgaria,0.4,-1.6,-1.1,-1.3,1.2,2.6,2.5,1.2,2.8,13.0,8.6,2.6
Annual,Annual average rate of change,All-items HICP,Switzerland,0.1,0.0,-0.8,-0.5,0.6,0.9,0.4,-0.8,0.5,2.7,2.3,1.1
Annual,Annual average rate of change,All-items HICP,Cyprus,0.4,-0.3,-1.5,-1.2,0.7,0.8,0.5,-1.1,2.3,8.1,3.9,2.3
Annual,Annual average rate of change,All-items HICP,Czechia,1.4,0.4,0.3,0.6,2.4,2.0,2.6,3.3,3.3,14.8,12.0,2.7
Annual,Annual average rate of change,All-items HICP,Germany,1.6,0.8,0.7,0.4,1.7,1.9,1.4,0.4,3.2,8.7,6.0,2.5
Annual,Annual average rate of change,All-items HICP,Denmark,0.5,0.4,0.2,0.0,1.1,0.7,0.7,0.3,1.9,8.5,3.4,1.3
Annual,Annual average rate of change,All-items HICP,Euro area - 19 countries  (2015-2022),1.3,0.4,0.2,0.2,1.5,1.8,1.2,0.3,2.6,8.4,5.4,2.4
Annual,Annual average rate of change,All-items HICP,Euro area – 20 countries (from 2023),1.4,0.4,0.2,0.2,1.5,1.8,1.2,0.3,2.6,8.4,5.4,2.4
Annual,Annual average rate of change,All-items HICP,Estonia,3.2,0.5,0.1,0.8,3.7,3.4,2.3,-0.6,4.5,19.4,9.1,3.7
Annual,Annual average rate of change,All-items HICP,Greece,-0.9,-1.4,-1.1,0.0,1.1,0.8,0.5,-1.3,0.6,9.3,4.2,3.0
Annual,Annual average rate of change,All-items HICP,Spain,1.5,-0.2,-0.6,-0.3,2.0,1.7,0.8,-0.3,3.0,8.3,3.4,2.9
Annual,Annual average rate of change,All-items HICP,European Union - 27 countries (from 2020),1.3,0.4,0.1,0.2,1.6,1.8,1.4,0.7,2.9,9.2,6.4,2.6
Annual,Annual average rate of change,All-items HICP,Finland,2.2,1.2,-0.2,0.4,0.8,1.2,1.1,0.4,2.1,7.2,4.3,1.0
Annual,Annual average rate of change,All-items HICP,France,1.0,0.6,0.1,0.3,1.2,2.1,1.3,0.5,2.1,5.9,5.7,2.3
Annual,Annual average rate of change,All-items HICP,Croatia,2.3,0.2,-0.3,-0.6,1.3,1.6,0.8,0.0,2.7,10.7,8.4,4.0
Annual,Annual average rate of change,All-items HICP,Hungary,1.7,0.0,0.1,0.4,2.4,2.9,3.4,3.4,5.2,15.3,17.0,3.7
