Time frequency,Indicator,Seasonal adjustment,Geopolitical entity (reporting)\Time,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024,Octobre-Décembre 2024
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Albania,76.6,75.6,78.1,76.8,75.1,79.8,78.7,79.3,79.8,77.6,79.5,79.7
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Austria,87.8,88.8,88.5,85.6,86.5,86.3,85.2,83.2,83.5,83.3,82.2,82.2
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Belgium,79.6,80.0,79.2,77.4,76.3,77.3,75.3,74.0,73.6,74.5,74.7,75.3
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bulgaria,73.7,74.9,75.4,75.5,75.3,75.5,74.5,74.8,73.1,73.9,75.1,75.4
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Cyprus,52.9,58.5,60.2,61.3,57.3,60.6,64.7,63.9,63.1,63.1,64.7,63.0
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Czechia,83.3,81.6,83.2,80.5,80.9,83.3,83.1,83.4,82.8,82.6,79.9,81.9
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany,85.5,85.2,85.4,84.7,84.1,84.5,83.2,81.7,80.8,80.6,77.7,76.1
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Denmark,84.9,85.4,83.2,81.4,81.4,82.0,83.0,82.0,80.6,81.0,82.5,76.0
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area – 20 countries (from 2023),82.5,82.7,82.4,81.5,81.1,81.3,80.5,79.6,78.8,79.0,78.0,76.9
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Estonia,68.5,68.5,77.5,72.5,68.3,69.3,65.6,65.5,62.9,64.6,68.0,66.5
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Greece,76.2,76.4,75.0,75.8,74.2,73.4,76.8,76.3,72.9,80.7,78.8,78.4
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Spain,78.8,80.0,78.9,77.2,77.1,76.3,76.2,77.8,77.2,77.7,77.9,77.5
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),European Union - 27 countries (from 2020),82.3,82.4,82.1,81.3,80.9,81.1,80.4,79.5,78.8,78.9,78.2,77.1
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Finland,81.3,80.7,81.2,80.7,78.4,76.6,77.9,73.6,72.7,74.8,76.9,74.0
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),France,82.7,82.2,81.7,80.6,81.0,82.0,80.6,81.3,80.9,80.7,81.6,80.2
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Croatia,76.3,80.2,77.1,74.4,76.1,78.5,79.6,74.5,74.6,74.5,75.0,77.1
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Hungary,82.3,80.6,79.9,75.0,78.7,75.7,76.0,76.1,76.5,70.0,76.1,74.5
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Ireland,79.3,80.9,79.4,80.3,79.7,:,:,:,:,:,:,:
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Italy,79.3,79.3,79.1,78.2,78.2,77.8,77.8,76.3,75.5,75.8,75.9,74.9
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Lithuania,76.9,77.2,79.2,77.7,67.3,69.1,68.5,68.8,70.0,70.2,72.0,71.7
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Luxembourg,81.9,79.9,81.4,79.8,74.3,75.5,72.0,70.5,74.8,75.3,76.0,79.5
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Latvia,74.6,75.4,76.4,73.7,71.7,73.6,73.4,72.7,70.4,72.9,72.8,72.8
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Montenegro,89.7,53.2,90.2,56.6,53.7,60.3,74.9,71.1,45.4,62.2,67.9,65.2
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),North Macedonia,64.8,70.4,73.9,71.6,70.1,71.0,70.5,70.6,68.1,67.3,69.4,70.7
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Malta,62.9,64.6,67.6,63.6,65.7,53.3,69.4,84.1,75.6,76.4,81.4,81.4
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Netherlands,83.6,84.2,84.2,82.7,82.6,82.5,81.6,81.0,78.4,79.6,78.0,77.1
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Poland,79.5,80.0,79.2,78.4,77.5,78.3,78.0,78.0,76.4,77.4,78.0,77.9
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Portugal,81.5,81.8,82.2,82.0,81.1,82.9,81.5,81.3,80.6,80.5,81.8,81.8
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Romania,72.7,71.7,70.5,75.2,72.6,67.7,68.5,67.1,72.0,67.8,68.0,72.4
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Serbia,75.4,74.3,75.3,75.8,72.7,74.9,72.9,75.3,73.8,75.6,74.9,76.0
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Sweden,84.0,85.0,86.0,87.0,85.0,86.0,85.0,84.0,83.0,83.0,85.0,82.0
Quarterly,Current level of capacity utilization (%),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovenia,86.2,85.5,84.3,83.7,82.8,84.3,83.2,82.2,80.1,81.2,82.0,80.9
