Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Clothing and footwear,"Index, 2015=100",Albania,107.95 d,107.94 d,107.93 d,108.02 d,108.32 d,108.67 d,109.05 d,109.68 d,110.25 d,110.91 d,111.23 d,111.52 d
Monthly,Clothing and footwear,"Index, 2015=100",Austria,107.28,105.44,115.1,116.17,115.9,114.19,102.19,99.06,113.42,117.08,117.55,116.84
Monthly,Clothing and footwear,"Index, 2015=100",Belgium,102.21,117.55,119.22,118.12,119.03,119.42,87.03,119.74,120.13,120.94,125.03,121.96
Monthly,Clothing and footwear,"Index, 2015=100",Bulgaria,106.25,103.59,102.89,109.8,110.53,109.18,105.88,102.57,103.76,111.92,110.51,109.28
Monthly,Clothing and footwear,"Index, 2015=100",Switzerland,106.52,110.56,114.13,115.27,115.75,112.73,105.6,108.13,112.34,114.57,114.36,113.91
Monthly,Clothing and footwear,"Index, 2015=100",Cyprus,93.26,96.41,102.44,106.96,107.54,107.32,95.11,94.45,100.06,103.18,105.11,105.33
Monthly,Clothing and footwear,"Index, 2015=100",Czechia,149.2,148.6,149.8,149.4,149.4,148.7,147.1,147.2,147.9,149.3,150.1,149.5
Monthly,Clothing and footwear,"Index, 2015=100",Germany,109.5,112.5,116.1,117.5,117.6,116.7,111.9,112.3,116.7,118.4,119.2,118.6
Monthly,Clothing and footwear,"Index, 2015=100",Denmark,92.5,93.3,98.2,99.2,99.4,95.7,91.6,92.0,98.4,99.7,98.6,98.4
Monthly,Clothing and footwear,"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",100.74,102.17,112.26,114.78,115.01,114.29,100.7,101.55,113.12,115.9,116.25,115.16
Monthly,Clothing and footwear,"Index, 2015=100",Euro area - 19 countries  (2015-2022),100.74,102.18,112.27,114.77,115.0,114.28,100.7,101.6,113.16,115.86,116.2,115.14
Monthly,Clothing and footwear,"Index, 2015=100",Euro area – 20 countries (from 2023),100.77,102.2,112.28,114.81,115.04,114.32,100.73,101.58,113.15,115.93,116.28,115.19
Monthly,Clothing and footwear,"Index, 2015=100",Estonia,122.69,124.71,129.21,130.19,129.95,127.72,118.47,122.25,128.86,131.13,130.7,130.06
Monthly,Clothing and footwear,"Index, 2015=100",Greece,90.25,84.49,113.88,117.84,118.98,120.85,92.04,87.79,121.0,122.33,122.62,123.08
Monthly,Clothing and footwear,"Index, 2015=100",Spain,97.33,94.58,112.18,115.55,115.9,114.12,95.32,93.62,111.81,115.0,115.03,113.49
Monthly,Clothing and footwear,"Index, 2015=100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",104.49,105.6,114.38,116.86,117.08,116.19,104.5,105.16,115.07,117.9,118.26,117.27
Monthly,Clothing and footwear,"Index, 2015=100",European Union - 27 countries (from 2020),103.06,104.16,112.82,115.26,115.47,114.59,103.06,103.72,113.5,116.28,116.64,115.66
Monthly,Clothing and footwear,"Index, 2015=100",Finland,98.8,101.33,102.09,100.74,101.78,100.36,100.64,101.08,102.52,104.04,103.3,101.48
Monthly,Clothing and footwear,"Index, 2015=100",France,99.02,100.48,107.18,108.43,108.88,109.3,97.88,103.77,107.8,108.89,109.07,108.34
Monthly,Clothing and footwear,"Index, 2015=100",Croatia,105.26,104.7,114.69,121.3,121.6,120.93,104.32,99.69,113.19,125.83,128.02,122.63
Monthly,Clothing and footwear,"Index, 2015=100",Hungary,120.66,119.71,120.57,124.03,123.86,124.21,122.71,121.09,121.82,125.53,126.7,126.84
Monthly,Clothing and footwear,"Index, 2015=100",Ireland,82.7,85.6,84.0,84.5,85.4,85.2,80.0,82.2,83.8,83.8,84.2,84.6
Monthly,Clothing and footwear,"Index, 2015=100",Iceland,95.13,103.5,105.71,105.29,106.01,104.97,98.09,99.97,105.14,105.93,105.63,106.3
Monthly,Clothing and footwear,"Index, 2015=100",Italy,95.5,94.2,112.5,118.6,118.5,118.5,97.0,92.0,114.5,119.1,119.0,119.2
