Time frequency,Indicator,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Total,"Index, 2015=100 (NSA)",Austria,157.34,164.63,169.43,173.59,166.32,164.35,164.68,164.29,161.4,159.54,164.34,165.40 p
Quarterly,Total,"Index, 2015=100 (NSA)",Belgium,128.62,130.02,132.18,134.96,134.55,135.04,134.55,136.31,138.28,139.36,138.96,141.18 p
Quarterly,Total,"Index, 2015=100 (NSA)",Bulgaria,154.48,162.52 b,167.58,174.43,175.14,177.93,185.5,190.48,192.78,206.42,213.53,221.91 p
Quarterly,Total,"Index, 2015=100 (NSA)",Cyprus,103.44,103.95,106.35,109.95,108.27,110.31,110.15,110.65,109.95,111.53,112.86,113.62
Quarterly,Total,"Index, 2015=100 (NSA)",Czechia,200.6,210.0,217.2,219.4,214.5,211.8,211.0,211.7,212.3,214.3,219.9,224.1
Quarterly,Total,"Index, 2015=100 (NSA)",Germany,162.5,163.1,166.1,164.8,156.1,152.0,150.0,147.9,145.0,144.10 p,146.30 p,146.80 p
Quarterly,Total,"Index, 2015=100 (NSA)",Denmark,140.05,141.45,143.96,144.39,140.99,135.13,135.67,138.07,140.26,136.66,140.94,144.41
Quarterly,Total,"Index, 2015=100 (NSA)","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",139.88,142.13,145.21,146.42,143.63,142.48,142.75,143.09,141.96,142.02,144.67,146.76
Quarterly,Total,"Index, 2015=100 (NSA)",Euro area - 19 countries  (2015-2022),139.88,142.13,145.21,146.42,143.63,142.45,142.68,143.02,141.84,141.88,144.5,146.57
Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),139.9,142.19,145.29,146.53,143.81,142.66,142.93,143.27,142.14,142.2,144.86,146.94
Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,163.78,175.37,189.36,190.94,191.38,191.43,198.79,198.26,202.4,206.38,212.1,211.03
Quarterly,Total,"Index, 2015=100 (NSA)",Spain,135.58,139.05,141.71,144.15,142.99,143.98,146.97,150.68,149.13,153.18,158.63,163.12
Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",142.35,145.2,148.48,149.73,147.42,146.39,147.01,148.0,147.69,148.55,151.43,153.61
Quarterly,Total,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),143.12,145.98,149.28,150.54,148.22,147.17,147.8,148.8,148.48,149.35,152.25,154.44
Quarterly,Total,"Index, 2015=100 (NSA)",Finland,111.12,112.23,113.81,112.41,108.53,106.52,107.45,104.35,103.32,101.95,102.11,101.45
Quarterly,Total,"Index, 2015=100 (NSA)",France,127.52,128.6,130.83,134.34,133.5,132.32,131.72,132.25,128.73,125.96,125.68,127.61 p
Quarterly,Total,"Index, 2015=100 (NSA)",Croatia,144.99,152.25,157.94,162.44,170.11,173.56,179.63,180.09,186.24,189.41,197.53,202.19
Quarterly,Total,"Index, 2015=100 (NSA)",Hungary,219.86,241.42,255.23,262.98,258.43,268.81,271.54,272.63,277.19,300.99 p,306.94 p,309.11 p
Quarterly,Total,"Index, 2015=100 (NSA)",Ireland,155.1,159.07,161.89,166.47,168.41,167.16,166.3,168.79,173.69,177.7,180.34,185.55 p
Quarterly,Total,"Index, 2015=100 (NSA)",Iceland,188.09,196.06,211.23,224.47,227.61,226.99,232.6,230.49,236.19,239.87,246.9,256.22
Quarterly,Total,"Index, 2015=100 (NSA)",Italy,104.0,105.7,108.1,106.9,106.8,106.8,108.8,108.7,108.7,108.5,112.0,112.90 p
Quarterly,Total,"Index, 2015=100 (NSA)",Lithuania,175.36,183.12,193.91,199.7,203.46,207.18,212.05,217.15,220.4,227.7,234.01,236.4
Quarterly,Total,"Index, 2015=100 (NSA)",Luxembourg,179.48,184.34,188.4,192.3,189.35,181.2,177.25,165.52,161.96,160.9,162.41,162.77 p
Quarterly,Total,"Index, 2015=100 (NSA)",Latvia,171.79,176.06,185.56,187.79,186.61,186.4,195.54,193.46,188.14,193.14,196.94,203.86 p
Quarterly,Total,"Index, 2015=100 (NSA)",Malta,138.99,139.69,144.63,146.23,147.24,149.89,152.24,154.51,157.05 p,159.98 p,162.74 p,165.22 p
Quarterly,Total,"Index, 2015=100 (NSA)",Netherlands,175.9,182.94,188.58,189.95,185.89,183.14,180.92,182.91,186.07,189.87,194.81,201.80 p
Quarterly,Total,"Index, 2015=100 (NSA)",Norway,138.48,144.62,147.68,147.93,142.62,147.07,150.5,147.25,145.68,149.75,154.96,154.35
Quarterly,Total,"Index, 2015=100 (NSA)",Poland,155.15,160.3,163.5,167.38,169.64,169.52,175.0,182.88,191.72,200.04,205.92,209.2
Quarterly,Total,"Index, 2015=100 (NSA)",Portugal,175.96,182.64,188.31,193.82,195.91,198.55,204.74,208.48,211.27,212.45,220.74,228.89
Quarterly,Total,"Index, 2015=100 (NSA)",Romania,137.51,139.82,144.94,143.2,146.83,146.28,145.14,150.02,152.28,154.26,155.06,155.86
Quarterly,Total,"Index, 2015=100 (NSA)",Sweden,138.62,142.19,142.86,138.46,133.49,132.37,133.15,132.61,129.59,130.3,132.13,133.0
Quarterly,Total,"Index, 2015=100 (NSA)",Slovenia,160.26,166.93,172.43,176.4,178.83,181.96,185.39,186.33,191.19,193.48,197.74,201.07
Quarterly,Total,"Index, 2015=100 (NSA)",Slovakia,163.21,166.42,175.57,180.57,179.07,178.82,171.75,173.2,176.56,173.51,178.7,183.88
Quarterly,Total,"Index, 2015=100 (NSA)",Türkiye,289.52 d,395.86 d,582.40 d,684.29 d,783.05 d,960.71 d,1112.22 d,1325.85 d,1466.37 d,1569.31 d,1664.83 d,1767.04 d
Quarterly,Total,Percentage change q/q-1 (NSA),Austria,2.5,4.6,2.9,2.5,-4.2,-1.2,0.2,-0.2,-1.8,-1.2,3.0,0.6 p
Quarterly,Total,Percentage change q/q-1 (NSA),Belgium,0.5,1.1,1.7,2.1,-0.3,0.4,-0.4,1.3,1.4,0.8,-0.3,1.6 p
Quarterly,Total,Percentage change q/q-1 (NSA),Bulgaria,2.4,5.2 b,3.1,4.1,0.4,1.6,4.3,2.7,1.2,7.1,3.4,3.9 p
Quarterly,Total,Percentage change q/q-1 (NSA),Switzerland,2.6,-0.4,2.7,1.2,1.2,-1.2,1.2,0.2,1.1,-1.0,1.1,0.5
Quarterly,Total,Percentage change q/q-1 (NSA),Cyprus,-3.1,0.5,2.3,3.4,-1.5,1.9,-0.1,0.5,-0.6,1.4,1.2,0.7
Quarterly,Total,Percentage change q/q-1 (NSA),Czechia,5.7,4.7,3.4,1.0,-2.2,-1.3,-0.4,0.3,0.3,0.9,2.6,1.9
Quarterly,Total,Percentage change q/q-1 (NSA),Germany,2.7,0.4,1.8,-0.8,-5.3,-2.6,-1.3,-1.4,-2.0,-0.6 p,1.5 p,0.3 p
Quarterly,Total,Percentage change q/q-1 (NSA),Denmark,0.2,1.0,1.8,0.3,-2.4,-4.2,0.4,1.8,1.6,-2.6,3.1,2.5
Quarterly,Total,Percentage change q/q-1 (NSA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1.9,1.6,2.2,0.8,-1.9,-0.8,0.2,0.2,-0.8,0.0,1.9,1.4
Quarterly,Total,Percentage change q/q-1 (NSA),Euro area - 19 countries  (2015-2022),1.9,1.6,2.2,0.8,-1.9,-0.8,0.2,0.2,-0.8,0.0,1.8,1.4
Quarterly,Total,Percentage change q/q-1 (NSA),Euro area – 20 countries (from 2023),1.9,1.6,2.2,0.9,-1.9,-0.8,0.2,0.2,-0.8,0.0,1.9,1.4
Quarterly,Total,Percentage change q/q-1 (NSA),Estonia,6.6,7.1,8.0,0.8,0.2,0.0,3.8,-0.3,2.1,2.0,2.8,-0.5
Quarterly,Total,Percentage change q/q-1 (NSA),Spain,1.2,2.6,1.9,1.7,-0.8,0.7,2.1,2.5,-1.0,2.7,3.6,2.8
Quarterly,Total,Percentage change q/q-1 (NSA),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2.1,2.0,2.3,0.8,-1.5,-0.7,0.4,0.7,-0.2,0.6,1.9,1.4
Quarterly,Total,Percentage change q/q-1 (NSA),European Union - 27 countries (from 2020),2.1,2.0,2.3,0.8,-1.5,-0.7,0.4,0.7,-0.2,0.6,1.9,1.4
Quarterly,Total,Percentage change q/q-1 (NSA),Finland,0.2,1.0,1.4,-1.2,-3.5,-1.9,0.9,-2.9,-1.0,-1.3,0.2,-0.6
Quarterly,Total,Percentage change q/q-1 (NSA),France,1.1,0.8,1.7,2.7,-0.6,-0.9,-0.5,0.4,-2.7,-2.2,-0.2,1.5 p
Quarterly,Total,Percentage change q/q-1 (NSA),Croatia,2.5,5.0,3.7,2.8,4.7,2.0,3.5,0.3,3.4,1.7,4.3,2.4
Quarterly,Total,Percentage change q/q-1 (NSA),Hungary,3.7,9.8,5.7,3.0,-1.7,4.0,1.0,0.4,1.7,8.6 p,2.0 p,0.7 p
Quarterly,Total,Percentage change q/q-1 (NSA),Ireland,4.2,2.6,1.8,2.8,1.2,-0.7,-0.5,1.5,2.9,2.3,1.5,2.9 p
Quarterly,Total,Percentage change q/q-1 (NSA),Iceland,4.0,4.2,7.7,6.3,1.4,-0.3,2.5,-0.9,2.5,1.6,2.9,3.8
Quarterly,Total,Percentage change q/q-1 (NSA),Italy,0.1,1.6,2.3,-1.1,-0.1,0.0,1.9,-0.1,0.0,-0.2,3.2,0.8 p
Quarterly,Total,Percentage change q/q-1 (NSA),Lithuania,4.7,4.4,5.9,3.0,1.9,1.8,2.4,2.4,1.5,3.3,2.8,1.0
