Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Austria,116.5,116.7,117.0,117.4,117.6,117.7,117.5,117.4,117.2,116.9,116.6 p,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Belgium,119.3,120.5,121.3,122.8,122.7,123.2,122.5,123.1,123.3,122.8,122.8,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Bulgaria,123.3,123.4,124.0,125.0,125.5,125.5,125.0,123.5,123.4,124.5,125.2,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Switzerland,110.0,109.9,109.9,109.5,109.6,109.6,109.8,109.8,109.8,110.1,110.2,110.2
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Cyprus,122.6,122.5,122.1,122.0,121.6,121.7,121.9,121.9,122.0,122.1,122.1,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Czechia,118.6,119.1,119.5,119.7,118.9,118.5,119.0,118.8,118.7,118.9,118.9,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Germany,118.0,117.8,118.0,118.3,118.6,118.5,118.5,118.3,118.3,118.2,118.2,118.2
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Denmark,117.0,116.9,116.9,116.9,116.7,116.9,116.5,116.9,116.6,116.4,116.5,117.2
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Euro area - 19 countries  (2015-2022),116.3,116.3,116.5,116.8,116.9,117.0,117.0,116.9,116.8,:,:,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Euro area – 20 countries (from 2023),116.3,116.3,116.5,116.8,116.9,117.0,117.0,116.8,116.7,116.6,116.5,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Estonia,111.7,112.1,112.7,114.6,114.9,114.7,113.4,115.1,115.3,115.6,114.2,116.0
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Greece,113.5,113.6,113.2,113.7,114.2,114.4,114.2,114.4,114.9,116.1,115.9,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Spain,114.1,114.4,114.7,114.8,114.7,114.8,114.5,114.0,113.7 p,113.5 p,113.5 p,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",European Union - 27 countries (from 2020),116.5,116.5,116.7,117.1,117.2,117.2,117.2,117.1,117.0,116.9,116.9,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Finland,113.8,113.6,114.3,115.2,115.8,115.8,115.5,115.4,114.8,114.4,114.7,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",France,116.3,116.0,115.9,116.0,116.1,116.2,116.3,116.4,116.2 p,116.0 p,115.8 p,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Croatia,112.5,112.5,113.0,113.1,113.2,113.3,113.5,113.7,114.0,114.0,114.0,114.1
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Hungary,143.1,144.5,145.2,145.6,145.6,146.0,146.3,147.3,148.1,148.2,150.9,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Italy,113.9,113.4,113.4,113.7,113.9,114.0,114.4,114.1,113.9,113.9,113.9 p,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Lithuania,119.3,119.5,118.0,118.8,118.1,117.3,117.0,117.4,117.6,117.1,117.2,117.3 p
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Luxembourg,112.7,115.1,112.2,112.0,112.1,111.6,112.6,110.9,113.2,112.6,111.9,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Latvia,124.2,124.1,124.0,124.2,124.1,124.2,124.3,124.3,123.8,123.7,123.5,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Montenegro,116.4,116.4,116.4,116.6,117.6,117.8,117.5,117.9,118.4,118.8,119.0,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",North Macedonia,116.3,116.9,115.2,116.1,117.8,115.7,114.9,115.1,116.7,116.3,116.0,:
Monthly,Domestic producer prices,MIG - intermediate goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Malta,115.4,115.4,115.1,115.0,114.6,114.7,114.5,114.6,115.8 p,115.6 p,115.6 p,:
