Time frequency,Seasonal adjustment,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Business trend indicator,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Albania,100.3 i,102.3 i,103.6 i,103.1 i,102.9 i,103.2 i,103.1 i,101.1 i,102.8 i,100.5 i,97.9 i,95.9 i
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Austria,100.7 i,101.1 i,101.7 i,101.9 i,102.8 i,103.2 i,103.3 i,102.9 i,102.4 i,103.8 i,103.4 i,101.7 i
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Belgium,100.6 i,101.4 i,102.0 i,102.2 i,102.1 i,102.2 i,102.1 i,101.7 p,101.5 p,101.3 p,100.2 p,: @C
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Bulgaria,99.8 i,98.2 p,97.7 p,96.9 p,97.0 p,97.6 p,96.3 p,95.2 p,95.1 p,95.4 p,93.7 p,92.7 p
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Switzerland,100.9 e,101.2 e,101.5 e,102.3 e,102.7 e,103.1 e,103.6 e,103.7 e,103.8 e,104.3 e,104.6 e,104.2 e
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Cyprus,100.7 i,101.9 i,102.8 i,104.1 i,104.8 i,104.7 i,105.8 i,106.0 i,106.4 i,107.0 i,107.3 i,108.1 i
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Czechia,99.3 i,100.5 i,100.2 i,100.6 i,99.4 i,99.2 i,99.1 i,98.7 i,98.2 i,97.8 i,97.1 i,96.8 i
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Germany,100.1 i,100.3 i,100.6 i,100.8 i,101.4 i,101.8 i,101.9 i,101.9 i,102.0 i,101.8 i,101.6 i,101.0 i
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Denmark,101.8 i,102.9 i,103.8 i,104.4 i,105.1 i,106.0 i,106.3 i,106.5 i,107.2 i,108.4 p,108.9 p,109.2 p
Quarterly,Seasonally and calendar adjusted data,"Industry (except construction, sewerage, waste management and remediation activities)","Index, 2021=100 (SCA)",Persons employed,Euro area - 19 countries  (2015-2022),100.4,101.0,101.0,101.5,102.0,102.6,102.7,102.7,102.7,102.9,102.8,:
