Time frequency,Exchange rate,Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Austria,109.62686,109.19767,108.98877,109.61962,109.08858,109.02633,108.8017,108.39406,108.33231,108.63716,108.45323,108.65772
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Belgium,108.62936,107.81261,109.52199,109.88169,108.94435,109.04152,109.2013,108.56178,110.31422,109.97665,109.87052,109.92251
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Bulgaria,117.70613,117.57499,117.02241,117.18002,116.22258,115.83662,115.52994,116.78529,117.1009,115.63603,115.65886,115.75751
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Switzerland,103.30215,104.22126,102.37659,100.48833,99.21578,98.86785,100.73912,100.76355,103.28209,103.30653,102.64471,101.84261
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Cyprus,99.50303,98.18173,98.14889,99.07135,99.83969,100.90333,100.76901,101.65625,102.8635,102.35056,101.42727,100.18979
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Czechia,135.4493,136.50241,133.1521,132.83665,133.21487,135.30783,134.78902,132.76677,133.70911,133.54111,132.225,132.34997
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Germany,107.40675,107.18049,106.95368,107.76917,107.817,108.01744,107.88029,108.67666,108.61509,108.52651,108.1849,107.01618
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Denmark,100.24777,101.20979,100.85365,100.95096,100.50193,100.4409,100.05268,101.60229,101.29441,100.82556,100.8459,100.18901
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Euro area - 19 countries  (2015-2022),110.30063,109.60374,109.41923,110.76702,110.68734,110.97848,110.78659,111.18752,111.71297,111.37664,110.80073,109.54307
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Euro area – 20 countries (from 2023),110.39835,109.69597,109.50723,110.86695,110.79241,111.08258,110.89454,111.30989,111.8411,111.4943,110.92139,109.65633
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Estonia,125.86427,127.14851,126.45681,127.06025,127.91033,127.62834,127.42667,127.85409,128.86011,128.43413,128.86319,127.85419
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Greece,101.86354,100.77908,100.08078,101.87889,102.12318,101.52774,102.15544,101.65877,101.85363,103.64852,103.02247,101.43532
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Spain,102.95964,102.75978,102.31419,103.55444,103.52706,103.5826,103.75767,103.09742,103.26418,103.16384,102.93472,102.82783
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",European Union - 27 countries (from 2020),114.31343,113.51347,113.10922,114.58821,114.31177,114.76757,114.47123,115.03629,115.71653,115.43533,114.43041,112.84961
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Finland,100.62428,100.90931,100.76069,100.76257,100.43649,100.34831,99.80965,100.32309,99.90916,100.3385,100.45568,99.92354
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",France,103.34741,103.11466,103.24077,103.46234,103.49048,103.57017,103.40644,103.80625,104.55687,103.07374,102.66206,102.23628
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Croatia,107.69376,107.22526,106.95072,107.79442,108.21926,108.00941,108.37666,109.40949,109.75826,109.13088,109.59964,109.50744
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Hungary,107.36917,107.95437,106.30225,105.02527,105.89373,107.03281,104.6572,105.97226,105.67679,105.38252,103.07841,101.7099
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Ireland,99.94714,98.38472,98.45263,98.88819,98.28908,99.01353,98.98291,99.37648,99.86871,98.93439,98.16188,96.93925
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Italy,102.93709,101.71338,100.82513,102.0728,101.92135,102.10789,101.96377,101.12267,101.07649,102.35321,101.93924,101.50784
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Japan,81.89978,80.82401,78.83338,78.96028,77.72103,76.65378,76.08166,76.07365,81.51566,82.37841,79.76469,79.5462
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Lithuania,122.79368,122.58111,122.59293,122.45071,122.08392,122.06397,121.41048,121.21095,121.06391,121.57556,121.11044,121.63501
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Luxembourg,102.00571,101.58006,102.42674,102.43189,102.32214,102.21001,101.9307,101.48946,102.48875,102.1506,101.52342,101.1006
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Latvia,116.7016,117.30663,116.59831,118.0362,118.13195,118.23631,117.45815,117.54011,117.46213,117.67825,117.3505,117.39365
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Malta,103.92838,103.54299,102.99221,104.11393,106.46738,108.1711,109.37014,110.04326,110.35992,109.1981,107.43871,103.8098
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Netherlands,107.57901,107.79338,107.94571,108.50802,109.11656,109.26807,109.08808,110.58156,111.09616,110.08847,110.15063,108.88575
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Norway,88.68518,90.04183,89.18085,88.08625,87.2638,87.5365,88.73433,86.77807,85.363,85.48022,85.46061,86.22787
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Poland,115.89365,115.34717,116.03666,116.60615,117.28671,117.69144,116.25541,118.28885,118.28096,118.84829,117.50272,117.49226
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Portugal,99.83673,99.67482,99.05131,101.05139,101.51292,102.43189,101.80721,101.24047,101.26346,102.96188,101.93881,100.70364
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Romania,108.82356,109.85667,109.95468,110.36794,109.98995,109.62796,109.3006,109.95309,110.34501,110.8444,111.06144,111.29637
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Sweden,91.56856,90.46343,90.22614,90.00547,87.57346,87.41628,89.56874,87.93009,88.30652,89.3534,88.77998,87.64288
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Slovenia,103.05544,102.42844,102.52618,102.9983,103.12659,103.29713,102.88579,102.66514,102.64015,102.82029,102.10724,102.80182
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Slovakia,113.83924,114.68184,114.58586,114.54824,114.27796,114.11732,113.90827,114.16914,114.58537,114.66072,115.04348,115.33013
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",Türkiye,57.06688,58.85159,60.20961,59.36158,61.14049,62.88436,63.31428,64.30528,63.50208,64.18674,66.46234,69.14934
Monthly,Real effective exchange rate (deflator: consumer price index - 42 trading partners - industrial countries ),"Index, 2015=100",United Kingdom,93.78438,93.7066,93.8987,94.63041,94.33136,94.81081,95.73579,96.19938,95.71186,97.21852,97.68629,97.64942
