Time frequency,Seasonal adjustment,Direction of flow,Sector,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Austria,108728.0,107501.0,112026.0,115096.0,115665.0,118645.0,118248.0,118578.0,118886.0,119684.0,120409.0,120214.0
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Belgium,134331.0,137286.0,141159.0,144740.0,147098.0,149336 p,153758 p,150537 p,150800 p,153861 p,161024 p,153481 p
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Bulgaria,17999.0,18824.0,20142.0,21203.0,22409.0,22515 p,21988 p,21925 p,23084 p,24959 p,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Cyprus,6205.0,6535.0,6555.0,6937.0,7058.0,6963.0,7051.0,7165.0,7162.0,7369.0,7522.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Czechia,62952.0,68693.0,68815.0,64065.0,73705.0,77833.0,79223.0,79091.0,77113.0,76779.0,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Germany,984898 p,1001289 p,1015475 p,1030830 p,1049553 p,1072456 p,1079778 p,1085532 p,1094449 p,1102508 p,1121062 p,1112854 p
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Denmark,94652.0,94476.0,98536.0,101630.0,99811.0,98269.0,96823.0,95504.0,96542.0,99384.0,100206.0,102472.0
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Estonia,8134.0,8492.0,8724.0,8952.0,8936.0,9148.0,9015.0,9036.0,:,:,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Greece,47218 p,49582 p,50637 p,51887 p,52174 p,52905 p,53697 p,53876 p,54770 p,55270 p,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"National income/Balance of primary incomes, gross",Million euro (SCA),Spain,327442.0,333886.0,340620.0,346802.0,358322.0,368907.0,368268.0,372186.0,381742.0,389275.0,392445.0,397749.0
