Time frequency,National accounts indicator (ESA 2010),Sector,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Gross fixed capital formation,General government,Million euro,Austria,9361.5,9898.9,9921.9,10239.7,10642.4,11421.2,11819.9,12415.2,12646.9,14551.0,15476.7,17416.6
Annual,Gross fixed capital formation,General government,Million euro,Belgium,9595.2,9174.4,10307.9,10356.6,10449.8,10884.3,12249.1,12637.7,12755.1,13992.3,15213.2,16955.7
Annual,Gross fixed capital formation,General government,Million euro,Bulgaria,1436.2,1730.8,2263.5,3010.0,1298.1,1201.2,1724.6,2059.6,2032.3,1902.3,1976.0,3623.9
Annual,Gross fixed capital formation,General government,Million euro,Cyprus,666.8,477.1,411.6,420.0,494.2,560.7,1077.5,600.3,641.4,702.2,702.7,984.5
Annual,Gross fixed capital formation,General government,Million euro,Czechia,6703.3,5890.6,6485.3,8659.2,5756.3,6491.3,8747.6,9842.3,10462.8,11201.2,13006.1,15406.4
Annual,Gross fixed capital formation,General government,Million euro,Germany,69037.0,69825.0,70127.0,73640.0,78084.0,82833.0,90882.0,95637.0,104573.0,106120.0,111645.0,118481.0
Annual,Gross fixed capital formation,General government,Million euro,Denmark,9627.6,9447.3,10180.6,9833.1,10573.8,9885.2,10247.2,9953.0,11117.4,10961.8,11649.4,11818.3
Annual,Gross fixed capital formation,General government,Million euro,Euro area - 19 countries  (2015-2022),314885.3,307913.9,300098.9,311388.6,306012.3,317436.6,336939.1,359748.6,374714.6,400275.5,425773.4,478764.2
Annual,Gross fixed capital formation,General government,Million euro,Euro area – 20 countries (from 2023),316540.5,309731.1,301713.6,312948.8,307500.4,318744.8,338777.0,362142.5,377531.6,403064.2,428492.2,483103.4
Annual,Gross fixed capital formation,General government,Million euro,Estonia,1150.4,1060.8,1026.3,1100.5,1014.0,1365.6,1376.2,1471.6,1622.0,1819.1,1963.7,2526.3
Annual,Gross fixed capital formation,General government,Million euro,Greece,4825.0,6221.0,6571.0,6812.0,6237.0,8033.0,5808.0,4575.0,5146.0,6600.0,7679.0,8735.0
Annual,Gross fixed capital formation,General government,Million euro,Spain,32549.0,24651.0,22079.0,28002.0,22199.0,23118.0,25889.0,27206.0,29694.0,33591.0,37350.0,44321.0
Annual,Gross fixed capital formation,General government,Million euro,European Union - 27 countries (from 2020),383007.9,374656.0,372739.6,390078.3,370295.6,387726.2,419488.1,447794.8,468959.5,497052.8,529294.6,607708.7
Annual,Gross fixed capital formation,General government,Million euro,Finland,8098.0,8500.0,8667.0,7908.0,9017.0,9214.0,9982.0,10513.0,11511.0,10503.0,11014.0,11069.0
Annual,Gross fixed capital formation,General government,Million euro,France,95102.9,96995.1,91773.2,86767.6,87524.3,88158.1,92182.1,101069.3,96265.0,102159.2,110305.3,120812.3
Annual,Gross fixed capital formation,General government,Million euro,Croatia,1655.1,1817.2,1614.8,1560.3,1488.1,1308.2,1837.9,2393.9,2816.9,2788.7,2718.9,4339.2
Annual,Gross fixed capital formation,General government,Million euro,Hungary,3703.9,4451.4,5660.0,7352.6,3670.2,5759.9,7889.1,9169.9,8908.9,9654.0,9017.1,10095.2
Annual,Gross fixed capital formation,General government,Million euro,Ireland,3602.2,3638.4,4268.6,4605.8,5363.8,5601.6,6741.0,8245.3,8851.5,9139.9,10494.3,11837.1
Annual,Gross fixed capital formation,General government,Million euro,Italy,42859.0,40367.0,37617.0,40168.0,38582.0,37911.0,37823.0,41865.0,43885.0,52402.0,52395.0,67599.0
Annual,Gross fixed capital formation,General government,Million euro,Lithuania,1383.3,1370.4,1348.5,1431.0,1235.3,1421.7,1504.7,1553.9,2262.3,1803.5,2147.1,3114.8
Annual,Gross fixed capital formation,General government,Million euro,Luxembourg,1821.1,1706.1,1892.8,2091.0,2140.5,2348.4,2347.5,2571.1,3021.6,2958.7,3265.4,3741.1
Annual,Gross fixed capital formation,General government,Million euro,Latvia,1164.4,1066.1,1093.0,1188.4,903.2,1247.5,1643.2,1516.7,1735.0,1817.0,1626.3,2186.7
Annual,Gross fixed capital formation,General government,Million euro,Malta,249.5,226.7,307.0,412.6,271.1,286.8,441.9,508.7,527.5,609.6,589.0,712.5
Annual,Gross fixed capital formation,General government,Million euro,Netherlands,25385.0,24906.0,24172.0,25165.0,24843.0,25355.0,26325.0,28152.0,29790.0,30411.0,31587.0,33597.0
Annual,Gross fixed capital formation,General government,Million euro,Poland,18910.3,16736.2,19229.7,19571.0,14054.4,17719.8,23247.0,22982.8,23492.9,23777.3,24855.4,37865.7
Annual,Gross fixed capital formation,General government,Million euro,Portugal,4158.6,3721.2,3449.3,4042.6,2890.0,3497.3,3797.2,3962.1,4645.4,5589.3,5806.5,6952.7
Annual,Gross fixed capital formation,General government,Million euro,Romania,6387.3,6329.7,6753.5,8317.9,6063.2,4874.6,5159.2,7552.1,9752.2,9825.3,12305.9,17462.9
Annual,Gross fixed capital formation,General government,Million euro,Sweden,19698.6,20339.0,20453.3,20385.5,21379.1,23049.5,23696.5,24092.5,25661.4,26666.7,27992.4,28332.9
Annual,Gross fixed capital formation,General government,Million euro,Slovenia,1465.0,1576.1,1908.0,1849.2,1338.8,1312.5,1679.1,1860.4,1933.4,2441.5,3138.5,3346.8
Annual,Gross fixed capital formation,General government,Million euro,Slovakia,2411.4,2532.5,3157.8,5188.5,2782.8,2866.9,3370.7,3388.5,3208.6,3065.4,3374.7,4375.2
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Austria,3.0,3.1,3.0,3.0,3.0,3.1,3.1,3.1,3.3,3.6,3.5,3.7
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Belgium,2.5,2.3,2.5,2.5,2.4,2.5,2.7,2.6,2.8,2.8,2.7,2.8
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Bulgaria,3.4,4.1,5.3,6.6,2.7,2.3,3.1,3.4,3.3,2.7,2.3,3.8
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Cyprus,3.4,2.6,2.4,2.3,2.6,2.8,4.9,2.6,2.9,2.7,2.4,3.1
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Czechia,4.1,3.7,4.1,5.1,3.2,3.3,4.1,4.3,4.7,4.6,4.5,4.9
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Germany,2.5,2.4,2.3,2.4,2.4,2.5,2.6,2.7,3.0,2.9,2.8,2.8
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Denmark,3.8,3.6,3.8,3.6,3.7,3.4,3.4,3.2,3.6,3.2,3.0,3.1
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Euro area - 19 countries  (2015-2022),3.2,3.1,2.9,2.9,2.8,2.8,2.9,3.0,3.2,3.2,3.1,3.3
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Euro area – 20 countries (from 2023),3.2,3.1,2.9,2.9,2.8,2.8,2.9,3.0,3.3,3.2,3.1,3.3
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Estonia,6.4,5.5,5.0,5.2,4.6,5.6,5.2,5.2,5.8,5.8,5.4,6.6
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Greece,2.6,3.5,3.7,3.9,3.6,4.5,3.2,2.5,3.1,3.6,3.7,3.9
Annual,Gross fixed capital formation,General government,Percentage of gross domestic product (GDP),Spain,3.1,2.4,2.1,2.6,2.0,2.0,2.1,2.2,2.6,2.7,2.7,3.0
