Time frequency,Unit of measure,Geopolitical entity (reporting),Water process\Time,9999.0
Not applicable,Cubic metres per inhabitant,Austria,Actual evapotranspiration,4766.72
Not applicable,Cubic metres per inhabitant,Austria,Actual external inflow from neighbouring territories,3240.49
Not applicable,Cubic metres per inhabitant,Austria,Internal flow,6270.84
Not applicable,Cubic metres per inhabitant,Austria,Total actual outflow,9511.33
Not applicable,Cubic metres per inhabitant,Austria,Precipitation,11037.56
Not applicable,Cubic metres per inhabitant,Belgium,Actual evapotranspiration,1348.04
Not applicable,Cubic metres per inhabitant,Belgium,Actual external inflow from neighbouring territories,904.36
Not applicable,Cubic metres per inhabitant,Belgium,Internal flow,966.39
Not applicable,Cubic metres per inhabitant,Belgium,Total actual outflow,1625.03
Not applicable,Cubic metres per inhabitant,Belgium,Precipitation,2334.21
Not applicable,Cubic metres per inhabitant,Belgium,Renewable freshwater resources,2141.3
Not applicable,Cubic metres per inhabitant,Bulgaria,Actual evapotranspiration,8649.28
Not applicable,Cubic metres per inhabitant,Bulgaria,Actual external inflow from neighbouring territories,12637.8
Not applicable,Cubic metres per inhabitant,Bulgaria,Internal flow,2390.97
Not applicable,Cubic metres per inhabitant,Bulgaria,Total actual outflow,15406.44
Not applicable,Cubic metres per inhabitant,Bulgaria,Precipitation,11040.26
Not applicable,Cubic metres per inhabitant,Bulgaria,Renewable freshwater resources,15028.77
Not applicable,Cubic metres per inhabitant,Switzerland,Actual evapotranspiration,2436.12
Not applicable,Cubic metres per inhabitant,Switzerland,Actual external inflow from neighbouring territories,1431.0
Not applicable,Cubic metres per inhabitant,Switzerland,Internal flow,4537.38
Not applicable,Cubic metres per inhabitant,Switzerland,Total actual outflow,6054.4
Not applicable,Cubic metres per inhabitant,Switzerland,Precipitation,6973.5
Not applicable,Cubic metres per inhabitant,Switzerland,Renewable freshwater resources,5968.38
Not applicable,Cubic metres per inhabitant,Cyprus,Actual evapotranspiration,2734.24
Not applicable,Cubic metres per inhabitant,Cyprus,Actual external inflow from neighbouring territories,0.0
Not applicable,Cubic metres per inhabitant,Cyprus,Internal flow,409.44
Not applicable,Cubic metres per inhabitant,Cyprus,Total actual outflow,66.54
Not applicable,Cubic metres per inhabitant,Cyprus,Precipitation,3143.68
Not applicable,Cubic metres per inhabitant,Cyprus,Renewable freshwater resources,409.44
Not applicable,Cubic metres per inhabitant,Czechia,Actual evapotranspiration,3662.07
Not applicable,Cubic metres per inhabitant,Czechia,Actual external inflow from neighbouring territories,77.68
Not applicable,Cubic metres per inhabitant,Czechia,Internal flow,1346.69
Not applicable,Cubic metres per inhabitant,Czechia,Total actual outflow,1366.93
Not applicable,Cubic metres per inhabitant,Czechia,Precipitation,5008.75
Not applicable,Cubic metres per inhabitant,Czechia,Renewable freshwater resources,1424.37
Not applicable,Cubic metres per inhabitant,Germany,Actual evapotranspiration,2446.36
Not applicable,Cubic metres per inhabitant,Germany,Actual external inflow from neighbouring territories,823.41
Not applicable,Cubic metres per inhabitant,Germany,Internal flow,1241.08
Not applicable,Cubic metres per inhabitant,Germany,Total actual outflow,1980.95
Not applicable,Cubic metres per inhabitant,Germany,Precipitation,3687.44
Not applicable,Cubic metres per inhabitant,Germany,Renewable freshwater resources,2064.49
Not applicable,Cubic metres per inhabitant,Denmark,Actual evapotranspiration,3751.46
Not applicable,Cubic metres per inhabitant,Denmark,Actual external inflow from neighbouring territories,0.00 e
Not applicable,Cubic metres per inhabitant,Denmark,Internal flow,2768.07
Not applicable,Cubic metres per inhabitant,Denmark,Precipitation,6519.53
Not applicable,Cubic metres per inhabitant,Denmark,Renewable freshwater resources,2768.07
Not applicable,Cubic metres per inhabitant,Estonia,Internal flow,9153.49
Not applicable,Cubic metres per inhabitant,Estonia,Precipitation,21513.08
Not applicable,Cubic metres per inhabitant,Estonia,Renewable freshwater resources,9153.49
Not applicable,Cubic metres per inhabitant,Greece,Actual evapotranspiration,5269.77
Not applicable,Cubic metres per inhabitant,Greece,Actual external inflow from neighbouring territories,1149.77
Not applicable,Cubic metres per inhabitant,Greece,Internal flow,5748.84
Not applicable,Cubic metres per inhabitant,Greece,Precipitation,11018.62
Not applicable,Cubic metres per inhabitant,Greece,Renewable freshwater resources,6898.61
Not applicable,Cubic metres per inhabitant,Spain,Actual evapotranspiration,4655.83
Not applicable,Cubic metres per inhabitant,Spain,Internal flow,2102.14
Not applicable,Cubic metres per inhabitant,Spain,Precipitation,6757.96
Not applicable,Cubic metres per inhabitant,Spain,Renewable freshwater resources,2102.14
Not applicable,Cubic metres per inhabitant,European Union - 27 countries (from 2020),Internal flow,2878.43
Not applicable,Cubic metres per inhabitant,European Union - 27 countries (from 2020),Precipitation,7339.6
Not applicable,Cubic metres per inhabitant,Finland,Actual evapotranspiration,20697.95
Not applicable,Cubic metres per inhabitant,Finland,Actual external inflow from neighbouring territories,575.94
Not applicable,Cubic metres per inhabitant,Finland,Internal flow,19258.09
Not applicable,Cubic metres per inhabitant,Finland,Total actual outflow,19798.04
Not applicable,Cubic metres per inhabitant,Finland,Precipitation,39956.04
Not applicable,Cubic metres per inhabitant,Finland,Renewable freshwater resources,19798.04
Not applicable,Cubic metres per inhabitant,France,Actual evapotranspiration,4583.9
Not applicable,Cubic metres per inhabitant,France,Actual external inflow from neighbouring territories,161.61
Not applicable,Cubic metres per inhabitant,France,Internal flow,2951.01
Not applicable,Cubic metres per inhabitant,France,Total actual outflow,2468.23
Not applicable,Cubic metres per inhabitant,France,Precipitation,7534.91
Not applicable,Cubic metres per inhabitant,France,Renewable freshwater resources,3029.99
Not applicable,Cubic metres per inhabitant,Croatia,Actual evapotranspiration,10183.84 e
Not applicable,Cubic metres per inhabitant,Croatia,Actual external inflow from neighbouring territories,24317.52 e
Not applicable,Cubic metres per inhabitant,Croatia,Internal flow,6360.48 e
Not applicable,Cubic metres per inhabitant,Croatia,Total actual outflow,30678.00 e
Not applicable,Cubic metres per inhabitant,Croatia,Precipitation,16544.34 e
Not applicable,Cubic metres per inhabitant,Croatia,Renewable freshwater resources,30678.00 e
Not applicable,Cubic metres per inhabitant,Hungary,Actual evapotranspiration,5245.75
Not applicable,Cubic metres per inhabitant,Hungary,Actual external inflow from neighbouring territories,9487.39
Not applicable,Cubic metres per inhabitant,Hungary,Internal flow,578.58
Not applicable,Cubic metres per inhabitant,Hungary,Total actual outflow,10042.12
Not applicable,Cubic metres per inhabitant,Hungary,Precipitation,5824.33
Not applicable,Cubic metres per inhabitant,Ireland,Actual evapotranspiration,7391.53
Not applicable,Cubic metres per inhabitant,Ireland,Actual external inflow from neighbouring territories,682.59 e
Not applicable,Cubic metres per inhabitant,Ireland,Internal flow,9932.48
Not applicable,Cubic metres per inhabitant,Ireland,Precipitation,17324.01
Not applicable,Cubic metres per inhabitant,Ireland,Renewable freshwater resources,10615.07
Not applicable,Cubic metres per inhabitant,Italy,Actual evapotranspiration,2572.54
Not applicable,Cubic metres per inhabitant,Italy,Internal flow,2261.42
Not applicable,Cubic metres per inhabitant,Italy,Precipitation,4833.96
Not applicable,Cubic metres per inhabitant,Lithuania,Actual evapotranspiration,10846.52
Not applicable,Cubic metres per inhabitant,Lithuania,Actual external inflow from neighbouring territories,3009.44
Not applicable,Cubic metres per inhabitant,Lithuania,Internal flow,4950.35
Not applicable,Cubic metres per inhabitant,Lithuania,Total actual outflow,7990.95
Not applicable,Cubic metres per inhabitant,Lithuania,Precipitation,15796.88
Not applicable,Cubic metres per inhabitant,Lithuania,Renewable freshwater resources,7959.8
Not applicable,Cubic metres per inhabitant,Luxembourg,Actual evapotranspiration,1722.39
Not applicable,Cubic metres per inhabitant,Luxembourg,Actual external inflow from neighbouring territories,1131.52
Not applicable,Cubic metres per inhabitant,Luxembourg,Internal flow,1385.85
Not applicable,Cubic metres per inhabitant,Luxembourg,Total actual outflow,2449.84
Not applicable,Cubic metres per inhabitant,Luxembourg,Precipitation,3108.24
Not applicable,Cubic metres per inhabitant,Luxembourg,Renewable freshwater resources,2517.37
Not applicable,Cubic metres per inhabitant,Latvia,Actual evapotranspiration,12542.95
Not applicable,Cubic metres per inhabitant,Latvia,Actual external inflow from neighbouring territories,9041.27
Not applicable,Cubic metres per inhabitant,Latvia,Internal flow,10453.96
Not applicable,Cubic metres per inhabitant,Latvia,Total actual outflow,17523.84
Not applicable,Cubic metres per inhabitant,Latvia,Precipitation,22996.91
Not applicable,Cubic metres per inhabitant,Latvia,Renewable freshwater resources,19495.23
Not applicable,Cubic metres per inhabitant,North Macedonia,Actual external inflow from neighbouring territories,553.03
Not applicable,Cubic metres per inhabitant,North Macedonia,Total actual outflow,3447.99
Not applicable,Cubic metres per inhabitant,North Macedonia,Precipitation,10653.2
Not applicable,Cubic metres per inhabitant,Malta,Actual evapotranspiration,166.96
Not applicable,Cubic metres per inhabitant,Malta,Actual external inflow from neighbouring territories,0.0
Not applicable,Cubic metres per inhabitant,Malta,Internal flow,156.11
Not applicable,Cubic metres per inhabitant,Malta,Total actual outflow,101.84
Not applicable,Cubic metres per inhabitant,Malta,Precipitation,323.07
Not applicable,Cubic metres per inhabitant,Malta,Renewable freshwater resources,156.11
Not applicable,Cubic metres per inhabitant,Netherlands,Actual evapotranspiration,1260.44 d
Not applicable,Cubic metres per inhabitant,Netherlands,Actual external inflow from neighbouring territories,4426.59
Not applicable,Cubic metres per inhabitant,Netherlands,Internal flow,548.33 d
Not applicable,Cubic metres per inhabitant,Netherlands,Total actual outflow,4765.27
Not applicable,Cubic metres per inhabitant,Netherlands,Precipitation,1808.77
Not applicable,Cubic metres per inhabitant,Netherlands,Renewable freshwater resources,4974.92
Not applicable,Cubic metres per inhabitant,Norway,Actual evapotranspiration,34599.78
Not applicable,Cubic metres per inhabitant,Norway,Actual external inflow from neighbouring territories,1197.05
Not applicable,Cubic metres per inhabitant,Norway,Internal flow,66946.14
Not applicable,Cubic metres per inhabitant,Norway,Total actual outflow,67531.83
Not applicable,Cubic metres per inhabitant,Norway,Precipitation,101545.92
Not applicable,Cubic metres per inhabitant,Norway,Renewable freshwater resources,68143.19
Not applicable,Cubic metres per inhabitant,Poland,Actual evapotranspiration,4095.31
Not applicable,Cubic metres per inhabitant,Poland,Actual external inflow from neighbouring territories,203.79
Not applicable,Cubic metres per inhabitant,Poland,Internal flow,1366.56
Not applicable,Cubic metres per inhabitant,Poland,Total actual outflow,1570.35
Not applicable,Cubic metres per inhabitant,Poland,Precipitation,5461.87
Not applicable,Cubic metres per inhabitant,Poland,Renewable freshwater resources,1570.35
Not applicable,Cubic metres per inhabitant,Portugal,Actual evapotranspiration,4235.84
Not applicable,Cubic metres per inhabitant,Portugal,Actual external inflow from neighbouring territories,3402.6
Not applicable,Cubic metres per inhabitant,Portugal,Internal flow,3751.9
Not applicable,Cubic metres per inhabitant,Portugal,Total actual outflow,3305.38
Not applicable,Cubic metres per inhabitant,Portugal,Precipitation,7987.74
Not applicable,Cubic metres per inhabitant,Portugal,Renewable freshwater resources,7154.49
Not applicable,Cubic metres per inhabitant,Romania,Actual evapotranspiration,6278.66
Not applicable,Cubic metres per inhabitant,Romania,Actual external inflow from neighbouring territories,14.91
Not applicable,Cubic metres per inhabitant,Romania,Internal flow,2062.37
Not applicable,Cubic metres per inhabitant,Romania,Precipitation,8341.02
Not applicable,Cubic metres per inhabitant,Romania,Renewable freshwater resources,2077.28
Not applicable,Cubic metres per inhabitant,Serbia,Actual evapotranspiration,6562.3
Not applicable,Cubic metres per inhabitant,Serbia,Actual external inflow from neighbouring territories,22783.24
Not applicable,Cubic metres per inhabitant,Serbia,Internal flow,2006.9
Not applicable,Cubic metres per inhabitant,Serbia,Total actual outflow,24790.14
Not applicable,Cubic metres per inhabitant,Serbia,Precipitation,8569.2
Not applicable,Cubic metres per inhabitant,Serbia,Renewable freshwater resources,24790.14
Not applicable,Cubic metres per inhabitant,Sweden,Actual evapotranspiration,16164.1
Not applicable,Cubic metres per inhabitant,Sweden,Actual external inflow from neighbouring territories,1399.63
Not applicable,Cubic metres per inhabitant,Sweden,Internal flow,16242.12
Not applicable,Cubic metres per inhabitant,Sweden,Total actual outflow,18580.46
Not applicable,Cubic metres per inhabitant,Sweden,Precipitation,33354.85
Not applicable,Cubic metres per inhabitant,Sweden,Renewable freshwater resources,18570.67
Not applicable,Cubic metres per inhabitant,Slovenia,Actual evapotranspiration,6167.39 e
Not applicable,Cubic metres per inhabitant,Slovenia,Actual external inflow from neighbouring territories,7137.05 e
Not applicable,Cubic metres per inhabitant,Slovenia,Internal flow,7775.29 e
Not applicable,Cubic metres per inhabitant,Slovenia,Total actual outflow,14379.69 e
Not applicable,Cubic metres per inhabitant,Slovenia,Precipitation,13942.68 e
Not applicable,Cubic metres per inhabitant,Slovenia,Renewable freshwater resources,14912.34 e
Not applicable,Cubic metres per inhabitant,Slovakia,Actual evapotranspiration,4700.33
Not applicable,Cubic metres per inhabitant,Slovakia,Actual external inflow from neighbouring territories,12166.61
Not applicable,Cubic metres per inhabitant,Slovakia,Internal flow,2592.35
Not applicable,Cubic metres per inhabitant,Slovakia,Total actual outflow,14387.62
Not applicable,Cubic metres per inhabitant,Slovakia,Precipitation,7292.67
Not applicable,Cubic metres per inhabitant,Slovakia,Renewable freshwater resources,14763.56
Not applicable,Cubic metres per inhabitant,Türkiye,Actual evapotranspiration,3244.3
Not applicable,Cubic metres per inhabitant,Türkiye,Actual external inflow from neighbouring territories,81.2
Not applicable,Cubic metres per inhabitant,Türkiye,Internal flow,2041.31
Not applicable,Cubic metres per inhabitant,Türkiye,Total actual outflow,2094.61
Not applicable,Cubic metres per inhabitant,Türkiye,Precipitation,5285.6
Not applicable,Cubic metres per inhabitant,Türkiye,Renewable freshwater resources,2122.5
Not applicable,Cubic metres per inhabitant,United Kingdom,Actual evapotranspiration,2161.39
Not applicable,Cubic metres per inhabitant,United Kingdom,Actual external inflow from neighbouring territories,109.59
Not applicable,Cubic metres per inhabitant,United Kingdom,Internal flow,2740.06
Not applicable,Cubic metres per inhabitant,United Kingdom,Total actual outflow,2903.84
Not applicable,Cubic metres per inhabitant,United Kingdom,Precipitation,4883.59
Not applicable,Cubic metres per inhabitant,United Kingdom,Renewable freshwater resources,2935.2
Not applicable,Million cubic metres,Austria,Actual evapotranspiration,43100.0
Not applicable,Million cubic metres,Austria,Actual external inflow from neighbouring territories,29300.0
Not applicable,Million cubic metres,Austria,Internal flow,56700.0
Not applicable,Million cubic metres,Austria,Total actual outflow,86000.0
Not applicable,Million cubic metres,Austria,Precipitation,99800.0
Not applicable,Million cubic metres,Bosnia and Herzegovina,Actual evapotranspiration,25940.00 e
Not applicable,Million cubic metres,Bosnia and Herzegovina,Actual external inflow from neighbouring territories,2000.00 e
Not applicable,Million cubic metres,Bosnia and Herzegovina,Internal flow,29922.00 e
Not applicable,Million cubic metres,Bosnia and Herzegovina,Total actual outflow,31922.00 e
Not applicable,Million cubic metres,Bosnia and Herzegovina,Precipitation,55863.00 e
Not applicable,Million cubic metres,Bosnia and Herzegovina,Renewable freshwater resources,31922.00 e
Not applicable,Million cubic metres,Belgium,Actual evapotranspiration,15745.4
Not applicable,Million cubic metres,Belgium,Actual external inflow from neighbouring territories,10563.07
Not applicable,Million cubic metres,Belgium,Internal flow,11287.67
Not applicable,Million cubic metres,Belgium,Total actual outflow,18980.7
Not applicable,Million cubic metres,Belgium,Precipitation,27264.03
Not applicable,Million cubic metres,Belgium,Renewable freshwater resources,25010.83
Not applicable,Million cubic metres,Bulgaria,Actual evapotranspiration,57460.0
Not applicable,Million cubic metres,Bulgaria,Actual external inflow from neighbouring territories,83957.0
Not applicable,Million cubic metres,Bulgaria,Internal flow,15884.0
Not applicable,Million cubic metres,Bulgaria,Total actual outflow,102350.0
Not applicable,Million cubic metres,Bulgaria,Precipitation,73344.0
Not applicable,Million cubic metres,Bulgaria,Renewable freshwater resources,99841.0
Not applicable,Million cubic metres,Switzerland,Actual evapotranspiration,21382.0
Not applicable,Million cubic metres,Switzerland,Actual external inflow from neighbouring territories,12560.0
Not applicable,Million cubic metres,Switzerland,Internal flow,39825.0
Not applicable,Million cubic metres,Switzerland,Total actual outflow,53140.0
Not applicable,Million cubic metres,Switzerland,Precipitation,61207.0
Not applicable,Million cubic metres,Switzerland,Renewable freshwater resources,52385.0
Not applicable,Million cubic metres,Cyprus,Actual evapotranspiration,2495.55
Not applicable,Million cubic metres,Cyprus,Actual external inflow from neighbouring territories,0.0
Not applicable,Million cubic metres,Cyprus,Internal flow,373.7
Not applicable,Million cubic metres,Cyprus,Total actual outflow,60.73
Not applicable,Million cubic metres,Cyprus,Precipitation,2869.25
Not applicable,Million cubic metres,Cyprus,Renewable freshwater resources,373.7
Not applicable,Million cubic metres,Czechia,Actual evapotranspiration,39082.0
Not applicable,Million cubic metres,Czechia,Actual external inflow from neighbouring territories,829.0
Not applicable,Million cubic metres,Czechia,Internal flow,14372.0
Not applicable,Million cubic metres,Czechia,Total actual outflow,14588.0
Not applicable,Million cubic metres,Czechia,Precipitation,53454.0
Not applicable,Million cubic metres,Czechia,Renewable freshwater resources,15201.0
Not applicable,Million cubic metres,Germany,Actual evapotranspiration,205000.0
Not applicable,Million cubic metres,Germany,Actual external inflow from neighbouring territories,69000.0
Not applicable,Million cubic metres,Germany,Internal flow,104000.0
Not applicable,Million cubic metres,Germany,Total actual outflow,166000.0
Not applicable,Million cubic metres,Germany,Precipitation,309000.0
Not applicable,Million cubic metres,Germany,Renewable freshwater resources,173000.0
Not applicable,Million cubic metres,Denmark,Actual evapotranspiration,22145.0
Not applicable,Million cubic metres,Denmark,Actual external inflow from neighbouring territories,0.00 e
Not applicable,Million cubic metres,Denmark,Internal flow,16340.0
Not applicable,Million cubic metres,Denmark,Precipitation,38485.0
Not applicable,Million cubic metres,Denmark,Renewable freshwater resources,16340.0
Not applicable,Million cubic metres,Estonia,Internal flow,12346.6
Not applicable,Million cubic metres,Estonia,Precipitation,29017.7
Not applicable,Million cubic metres,Estonia,Renewable freshwater resources,12346.6
Not applicable,Million cubic metres,Greece,Actual evapotranspiration,55000.0
Not applicable,Million cubic metres,Greece,Actual external inflow from neighbouring territories,12000.0
Not applicable,Million cubic metres,Greece,Internal flow,60000.0
Not applicable,Million cubic metres,Greece,Precipitation,115000.0
Not applicable,Million cubic metres,Greece,Renewable freshwater resources,72000.0
Not applicable,Million cubic metres,Spain,Actual evapotranspiration,222358.18
Not applicable,Million cubic metres,Spain,Internal flow,100396.26
Not applicable,Million cubic metres,Spain,Precipitation,322754.44
Not applicable,Million cubic metres,Spain,Renewable freshwater resources,100396.26
Not applicable,Million cubic metres,European Union - 27 countries (from 2020),Internal flow,1287822.59
Not applicable,Million cubic metres,European Union - 27 countries (from 2020),Precipitation,3283772.8
Not applicable,Million cubic metres,Finland,Actual evapotranspiration,115000.0
Not applicable,Million cubic metres,Finland,Actual external inflow from neighbouring territories,3200.0
Not applicable,Million cubic metres,Finland,Internal flow,107000.0
Not applicable,Million cubic metres,Finland,Total actual outflow,110000.0
Not applicable,Million cubic metres,Finland,Precipitation,222000.0
Not applicable,Million cubic metres,Finland,Renewable freshwater resources,110000.0
Not applicable,Million cubic metres,France,Actual evapotranspiration,312003.27
Not applicable,Million cubic metres,France,Actual external inflow from neighbouring territories,11000.0
Not applicable,Million cubic metres,France,Internal flow,200860.49
Not applicable,Million cubic metres,France,Total actual outflow,168000.0
Not applicable,Million cubic metres,France,Precipitation,512863.76
Not applicable,Million cubic metres,France,Renewable freshwater resources,206236.09
Not applicable,Million cubic metres,Croatia,Actual evapotranspiration,39275.00 e
Not applicable,Million cubic metres,Croatia,Actual external inflow from neighbouring territories,93782.95 e
Not applicable,Million cubic metres,Croatia,Internal flow,24529.81 e
Not applicable,Million cubic metres,Croatia,Total actual outflow,118312.76 e
Not applicable,Million cubic metres,Croatia,Precipitation,63804.90 e
Not applicable,Million cubic metres,Croatia,Renewable freshwater resources,118312.76 e
Not applicable,Million cubic metres,Hungary,Actual evapotranspiration,50592.0
Not applicable,Million cubic metres,Hungary,Actual external inflow from neighbouring territories,91500.0
Not applicable,Million cubic metres,Hungary,Internal flow,5580.0
Not applicable,Million cubic metres,Hungary,Total actual outflow,96850.0
