Time frequency,product,currency,unit,indic_en,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,4100.0,EUR,GJ_GCV,MSHH,AL,:,:,:,:,:,:,:,:,0.0000 e,0.0000 e,:,:
Annual,4100.0,EUR,GJ_GCV,MSHH,AT,21.32,20.78,20.28,19.17,18.71,18.585,18.34,17.9895,17.6667,21.2942,43.3257,38.3186
Annual,4100.0,EUR,GJ_GCV,MSHH,BA,15.4082,14.2347,14.265,10.8598,8.5335,9.0462,9.3109,10.3855,8.9115,12.1719,16.3328,14.9237
Annual,4100.0,EUR,GJ_GCV,MSHH,BE,18.32,18.27,16.23,15.19,14.5114,14.8847,15.3755,13.7697,13.0023,26.1811,31.8275,22.2514
Annual,4100.0,EUR,GJ_GCV,MSHH,BG,14.2397,13.6261,13.258,10.226,9.1778,10.5356,12.4631,11.011,10.2154,21.211,24.4176,17.1954
Annual,4100.0,EUR,GJ_GCV,MSHH,CZ,17.8029,15.2285,15.9493,16.1879,15.2685,15.9675,16.2682,15.9069,15.6045,19.3386,31.6191,30.1251
Annual,4100.0,EUR,GJ_GCV,MSHH,DE,18.35,18.84,18.78,18.36,16.98,16.901,17.5503,16.5765,17.9618,22.3901,34.1544,33.2776
Annual,4100.0,EUR,GJ_GCV,MSHH,DK,27.5854,25.2216,25.5584,23.1489,24.672,24.2095,23.7451,20.8287,24.8473,41.9111,45.9819,33.9807
Annual,4100.0,EUR,GJ_GCV,MSHH,EE,14.57,13.64,12.67,9.62,11.6133,11.1426,12.7321,12.2553,12.0958,30.721,30.5282,19.1855
Annual,4100.0,EUR,GJ_GCV,MSHH,EL,21.44,20.09,18.92,15.68,15.55 p,14.7900 e,15.4049,13.4132,12.4844,22.8074,32.9604,20.0571
Annual,4100.0,EUR,GJ_GCV,MSHH,ES,20.34,20.9,20.32,18.82,18.52,18.4751,20.4438,19.9309,19.2038,24.9262,29.9129,22.7467
Annual,4100.0,EUR,GJ_GCV,MSHH,EU27_2020,19.2124,19.0471,18.6755,17.8671,17.0916,17.4057,18.6101,17.838,17.7219,23.9269,32.9357,30.656
Annual,4100.0,EUR,GJ_GCV,MSHH,FR,18.83,19.47,19.46,18.05,17.7413,18.4662,20.495,19.9882,19.1936,23.8741,29.0023,32.8009
Annual,4100.0,EUR,GJ_GCV,MSHH,GE,:,:,:,:,:,4.1884,4.2009,3.8702,3.2618,4.2051,5.0423,4.8383
Annual,4100.0,EUR,GJ_GCV,MSHH,HR,12.9191,12.8979,13.1265,11.9036,9.9689,10.2119,10.4238,10.7964,10.4009,11.4568,12.3056,12.425
Annual,4100.0,EUR,GJ_GCV,MSHH,HU,12.0104,10.1466,9.8029,9.5613,9.7764,9.9528,9.6017,8.8602,8.52,8.0851,9.3548,7.6329
Annual,4100.0,EUR,GJ_GCV,MSHH,IE,18.15,18.92,18.7,18.12,17.56,17.5565,18.9702,18.5834,17.2221,23.5275,40.696,35.3126
Annual,4100.0,EUR,GJ_GCV,MSHH,IT,23.17,22.14,21.27,20.32,19.56,19.8447,21.3645,20.2286,19.5362,27.3987,27.2429,31.6726
Annual,4100.0,EUR,GJ_GCV,MSHH,LI,:,22.678,25.3644,23.4843,20.6548,18.9248,20.902,21.8681,19.8061,31.3378,55.5516,44.1765
Annual,4100.0,EUR,GJ_GCV,MSHH,LT,16.7458,15.5381,11.75,11.47,10.14,11.09,12.5096,10.0391,7.7413,16.3136,51.3476,20.5245
Annual,4100.0,EUR,GJ_GCV,MSHH,LU,17.34,14.78,13.77,12.62,11.6,11.4113,12.4363,11.4407,12.1704,23.7674,24.3111,24.517
Annual,4100.0,EUR,GJ_GCV,MSHH,LV,14.0521,13.45,13.77,11.78,10.49,10.6955,12.3797,8.7451,8.2612,12.8343,30.6847,25.6291
Annual,4100.0,EUR,GJ_GCV,MSHH,MD,:,:,8.8964,8.3841,8.5568,7.0567,8.2542,8.4028,6.7453,23.3797,30.0595,22.7029
Annual,4100.0,EUR,GJ_GCV,MSHH,MK,:,:,:,:,13.3826,11.3051,16.6248,15.1059,13.5604,33.6063,28.782,26.8614
Annual,4100.0,EUR,GJ_GCV,MSHH,NL,21.96,21.91,21.0,21.65,21.2,22.6482,25.5701,27.6403,26.697,34.5436,55.2169,45.1528
Annual,4100.0,EUR,GJ_GCV,MSHH,PL,13.0548,13.5867,13.9067,10.8795,11.5706,11.7608,13.131,11.8064,10.451,15.2502,18.964,: @C
Annual,4100.0,EUR,GJ_GCV,MSHH,PT,23.23,25.96,27.11,25.35,21.47,21.0716,21.1189,21.8115,21.1719,23.2423,39.0672,33.1135
Annual,4100.0,EUR,GJ_GCV,MSHH,RO,7.9114,8.5798,8.6513,9.2248,8.4119 e,8.9029 e,9.6370 e,8.9980 e,8.7997 e,16.9686 d,15.2339,16.1364
Annual,4100.0,EUR,GJ_GCV,MSHH,RS,11.3797,11.8775,12.9555,10.4111,8.9038,9.296,9.3018,9.3644,9.3564,9.3466,11.3326,13.5532
Annual,4100.0,EUR,GJ_GCV,MSHH,SE,34.088,32.8982,31.4312,31.3541,33.6762,32.0246,32.8557,36.1235,39.9512,61.5534 e,60.8175,48.8804 b
Annual,4100.0,EUR,GJ_GCV,MSHH,SI,18.57,18.54,17.48,16.65,15.35,15.1814,15.8903,16.2754,15.1826,19.1926,26.9732,27.0132
Annual,4100.0,EUR,GJ_GCV,MSHH,SK,13.85,14.1,13.78,12.78,11.7,11.868,12.468,12.704,11.41,13.552,15.851,16.243
Annual,4100.0,EUR,GJ_GCV,MSHH,TR,11.3538,9.0523,10.5087,9.3251,7.1767,5.988,5.5325,6.6503,5.2567,4.7256,6.8237,4.5176
Annual,4100.0,EUR,GJ_GCV,MSHH,UA,:,:,:,5.0423,6.4222,5.7928,7.4172,5.0284,7.5955,:,:,:
Annual,4100.0,EUR,GJ_GCV,MSHH,UK,14.7385,16.6567,17.6453,15.3614,13.0373,12.929,13.7056,13.2185,:,:,:,:
Annual,4100.0,EUR,GJ_GCV,MSIND,AL,:,:,:,:,:,:,:,:,:,0.0000 d,:,:
Annual,4100.0,EUR,GJ_GCV,MSIND,AT,9.7,9.43,8.49,7.45,7.43,7.2728,7.3744,6.7652,6.975,16.2281,19.8699,14.3436
Annual,4100.0,EUR,GJ_GCV,MSIND,BA,12.2959,11.2755,11.2996,8.0784,9.5356,9.9004,10.1953,11.0284,9.8251,12.6785,16.0714,14.7649
