Time frequency,Unit of measure,Sex,Age class,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,52.0 b,54.0 b,56.5 b,55.7,54.0,54.9,55.3,54.7,53.9,53.1 b,53.1,53.9,53.9,55.6,55.7,54.2,55.0 b,55.6,55.6
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,24.4 b,23.8,24.7
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,48.8 b,48.8,49.5,49.1 b,47.7,48.4,47.3 b,47.1,46.8,46.6 b,45.6,45.6,45.9 b,45.6,46.3,45.6,44.7 b,46.2,46.8
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,39.4 b,40.2 b,43.5,46.5 b,45.0,39.8 b,36.7 b,36.2,36.9,38.6 b,39.0,39.2,44.4,46.2,51.1 b,48.1,46.2 b,50.2,50.2
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,66.5 b,66.2,67.3,69.0,69.0,67.1 b,67.7,68.1,67.9,67.9 b,68.1,68.1,67.7,69.2,69.7,70.1,66.5 b,66.4,67.5
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,64.8 b,66.6,66.4,64.1,64.9 b,66.8,65.1,57.8,54.9,54.6 b,55.1,56.8,57.0,61.6,64.0,63.9,64.8 b,66.8,66.5
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,39.6 b,42.6,44.5,44.8,42.5,41.6,40.4 b,38.6,40.4,41.6 b,40.2,43.7,49.2,50.9,53.4,54.7,53.7 b,55.1,57.8
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,51.9 b,54.1 b,55.0,55.9,55.7,56.1 b,57.4 b,57.8 b,58.3,58.0 b,58.5,58.9,59.6,60.7,61.8,61.2 b,61.8 b,65.1,66.1
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,62.5 b,63.6,67.7 b,67.0 b,63.9,61.1,60.5,58.6,57.9,58.2 b,57.6,59.7 b,59.4 b,59.4,59.5,59.0,61.3 b,62.4,61.7 b
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Euro area – 20 countries (from 2023),56.0 b,56.8,57.4,57.1,54.7,53.9,53.5,52.4,51.3,51.4 b,52.2,53.1,54.3,55.4,56.0,55.0,55.8 b,58.0,59.1
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,50.5 b,56.0,56.0,58.6,47.0,44.2,48.4,49.4,56.9,59.4 b,58.1,61.6,65.4,65.3,62.8,60.9,62.7 b,67.3,67.6
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,58.0 b,59.6,60.2,60.4,59.8 b,57.8,53.5,48.0,45.8,46.5 b,48.1,48.1,49.2,49.9,50.2,49.9,52.5 b,55.5,57.0
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Spain,59.5 b,60.8 b,61.3,59.4,53.7,52.5,51.5,48.3,47.2,48.2 b,50.6,52.9,54.6,56.6,57.8,55.4,56.9 bd,58.9 d,60.5 d
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",European Union - 27 countries (from 2020),54.5 b,55.4,56.1,56.0,53.9,53.1,52.5,51.6,50.7,51.0 b,51.7,52.5,53.9,55.0,55.7,54.7,55.0 b,57.2,58.3
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Finland,57.5 b,57.9,58.2 b,58.8 b,55.8,53.9,54.1,53.9,52.2,51.7 b,50.8,52.0,51.3,52.9,52.0,51.5,53.2 b,55.0,55.0
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",France,57.9 b,57.4 b,57.3,57.0,55.6,55.0,55.2,54.9,53.6 b,52.5 b,51.4,50.5,51.8,52.2,51.8,52.5,51.8 bd,53.5 d,53.8 d
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Croatia,45.1 b,42.5 b,45.7,47.6,48.3,46.2 b,43.3,40.0 b,37.8,37.0 b,39.1,37.6,34.3,36.7,38.9,38.2,42.3 b,41.3,39.3
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Hungary,37.7 b,37.6,37.3,37.6,35.9,36.1,36.2,36.9,38.1,44.3 b,47.1,50.7,53.9,55.8 b,55.8,54.6,57.7 b,58.0,60.1
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Ireland,58.5 b,58.8,58.6 b,56.7,50.0,46.8,44.6,43.0,46.0,46.5 b,48.8,49.6,50.5 b,51.5,52.4,51.3,51.4 b,53.9,54.4
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Iceland,82.3 b,83.8,83.7,82.7,75.7,74.9,72.8,72.6,74.1,77.5 b,79.5,79.5,77.9,77.0,76.6,72.2 b,69.0 b,73.3,75.8
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Italy,51.7 b,52.2,52.5,52.1,50.7,49.9,50.1,50.0,48.8,48.7 b,49.4,50.3,51.0,51.7 b,52.1,50.7,50.8 b,52.8,53.6
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Lithuania,46.6 b,46.1,48.9,42.1,36.2,29.6,31.8,35.2,37.1,42.0 b,42.7,42.3,44.1,46.9,47.9,48.2,51.5 b,49.0,50.2
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Luxembourg,60.4 b,59.3,60.8 b,59.8,58.9 b,58.5,58.6,60.1,58.6,57.3 b,58.4 b,56.4,56.4,58.9,57.6,56.9,59.6 b,61.1,62.0
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Latvia,50.5 b,54.8,59.0,57.0,45.8,45.1,46.7,50.3,49.0,50.0 b,53.2,54.8,56.7,57.5,59.9,61.3,56.7 b,58.7,60.3
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Montenegro,:,:,:,:,:,:,24.9,24.6,22.6,25.4 b,29.6,34.0,38.2,39.5,36.4,30.1,:,:,:
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",North Macedonia,:,30.3,29.8,31.6,33.0,32.7,33.5,31.6,34.7,36.3 b,35.0,33.4,34.9,36.3,38.3,37.1,:,:,:
Annual,Percentage,Total,From 20 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Malta,48.2 b,48.5,48.8,49.5,48.3,48.9,49.8 b,50.8,52.6,54.1 b,55.2,57.6,58.7,61.0,63.6,63.0,64.5 b,66.0,68.8
