Time frequency,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,65 years or over,Ratio,Females,Albania,:,:,:,:,:,4.4,4.33,4.16,4.03,3.74,:,:
Annual,65 years or over,Ratio,Females,Austria,4.07,4.01,3.94,3.68,3.63,3.78,3.71,3.87,3.9,3.92,4.04,4.09
Annual,65 years or over,Ratio,Females,Belgium,3.09,2.86,2.84,2.85,2.9,2.89,2.97,3.16 b,3.05,2.85,3.23,2.95
Annual,65 years or over,Ratio,Females,Bulgaria,4.56,4.75,4.39,4.42,4.09 b,4.64,4.54,4.64,4.9,5.04,4.73,3.82
Annual,65 years or over,Ratio,Females,Switzerland,4.51,4.26,4.31 b,4.52,4.32,4.54,4.28,4.52,4.48,4.41,4.38,4.39
Annual,65 years or over,Ratio,Females,Cyprus,4.26,4.05,4.37,4.27,4.3,4.26,4.21,4.14,3.9,4.29,4.0,4.49
Annual,65 years or over,Ratio,Females,Czechia,2.41,2.46,2.33,2.35,2.35,2.38,2.54,2.53,2.54,2.5,2.62,2.61
Annual,65 years or over,Ratio,Females,Germany,3.73,3.7,4.1,3.77,3.96,3.62,4.14,4.57,4.08 b,4.23,3.87,3.78
Annual,65 years or over,Ratio,Females,Denmark,2.91,2.88,3.68,3.15,2.88,2.71,2.83,2.95,3.04 b,2.67,2.94,3.86
Annual,65 years or over,Ratio,Females,Euro area - 19 countries  (2015-2022),4.02,3.95,4.11,4.03,4.16,4.1,4.18,4.36,4.17 b,4.24,:,:
Annual,65 years or over,Ratio,Females,Euro area – 20 countries (from 2023),:,:,4.12,4.04,4.17,4.11,4.19,4.36,4.18,4.25,4.15,4.17
Annual,65 years or over,Ratio,Females,Estonia,2.85,2.93,3.04 b,3.19,3.37,3.35,3.43,3.46,3.66,3.37,3.7,3.68
Annual,65 years or over,Ratio,Females,Greece,4.21,3.83,4.02,3.94,3.92,4.06,3.75,3.67,3.92,4.13,4.02,3.94
Annual,65 years or over,Ratio,Females,Spain,4.3,4.27,4.31,4.25,4.23,4.6,4.38,4.44,4.8,5.19,4.94,5.0
Annual,65 years or over,Ratio,Females,European Union - 27 countries (2007-2013),3.93,3.86,4.02,3.94,4.07,4.06,4.11,4.23 e,:,:,:,:
Annual,65 years or over,Ratio,Females,European Union - 27 countries (from 2020),3.91,3.88,4.00 e,3.93 e,4.04 e,4.00 e,4.06 e,4.19 e,4.08 b,4.12,4.02,4.02
Annual,65 years or over,Ratio,Females,European Union - 28 countries (2013-2020),3.94,3.87,4.03,3.95,4.07,4.07,4.12,4.24 e,:,:,:,:
Annual,65 years or over,Ratio,Females,Finland,3.14,3.07,2.98,2.96,2.95,2.92,2.89,2.92,2.99,2.87,2.92,2.99
Annual,65 years or over,Ratio,Females,France,4.44,4.18,4.4,4.46,4.56,4.31,4.25,4.26,3.59 b,3.34,3.36 b,3.75
Annual,65 years or over,Ratio,Females,Croatia,4.82,4.76,4.27,4.37,4.16,4.71,4.34,4.36,4.62,4.61,4.44,4.86 b
Annual,65 years or over,Ratio,Females,Hungary,2.61,2.72,2.69,2.81,2.99,3.4,3.38,3.01,4.61,3.19,3.51,3.24
Annual,65 years or over,Ratio,Females,Ireland,4.16,4.42,4.55,4.02,3.72,3.57,3.43,3.61 b,3.86 b,3.62,3.8,3.81
Annual,65 years or over,Ratio,Females,Iceland,3.09,2.75,2.72,3.59,3.64,3.69,3.1,3.3,:,:,:,:
Annual,65 years or over,Ratio,Females,Italy,4.21,4.23,4.24,4.31,4.6,4.68,4.73,5.01,5.11,5.21,5.32,5.12
Annual,65 years or over,Ratio,Females,Lithuania,3.34,3.83,3.94,4.08,4.24,4.61,4.68,4.24,4.23,3.92,4.09,3.87
Annual,65 years or over,Ratio,Females,Luxembourg,3.52,3.66,3.75,3.43,4.42 b,4.31,5.1,4.88,3.83 b,4.09 b,4.66 b,4.27
Annual,65 years or over,Ratio,Females,Latvia,3.57,3.87,4.04,4.06,4.47,4.56,4.7,5.24,4.9,5.31,5.04,4.66
Annual,65 years or over,Ratio,Females,Montenegro,:,5.43,4.26,5.21,4.94,4.57,5.07,4.88,4.46,4.28,4.23,:
Annual,65 years or over,Ratio,Females,North Macedonia,5.45,4.72,4.8,4.63,4.9,4.65,4.52,4.45,4.23,:,:,:
Annual,65 years or over,Ratio,Females,Malta,3.35,3.1,2.95,3.19,3.2,3.19,2.96,2.98,3.31,3.38,3.65,4.18
Annual,65 years or over,Ratio,Females,Netherlands,2.93,3.2,3.39,3.1,2.92 b,2.84,2.81,2.88,2.79,2.68,2.83,2.68
Annual,65 years or over,Ratio,Females,Norway,2.69,2.75,2.84,2.93,2.84,3.04,2.72,2.86,2.92,2.80 b,2.95,2.55 b
Annual,65 years or over,Ratio,Females,Poland,3.52,3.43,3.4,3.45,3.48,3.51,3.42,3.59,3.42,3.47,3.24,3.44
Annual,65 years or over,Ratio,Females,Portugal,5.11,4.76,4.81,4.85,5.31,5.21,5.09,5.05,4.97,5.59,5.37,5.45
Annual,65 years or over,Ratio,Females,Romania,4.38,4.66,4.77,4.69,4.62,4.57,4.69,4.53,4.6,4.9,4.5,3.7
Annual,65 years or over,Ratio,Females,Serbia,:,6.49,6.31,6.28,6.77,6.07,5.81,5.49,5.12,5.85,4.67,:
Annual,65 years or over,Ratio,Females,Sweden,3.16,3.25,3.38,3.1,3.56,3.34,3.25,3.28,3.14,3.15,3.6,3.9
Annual,65 years or over,Ratio,Females,Slovenia,3.59,3.55,3.5,3.55,3.59,3.48,3.44,3.37,3.28,3.09,3.17,3.32
Annual,65 years or over,Ratio,Females,Slovakia,2.38,2.32,2.35,2.33,2.35,2.4,2.35,2.55,2.55,2.83,2.43,2.58
Annual,65 years or over,Ratio,Females,Türkiye,7.61,7.36,7.25,7.06,6.74,6.83,7.12,6.97,9.16,6.04,6.43,6.15
Annual,65 years or over,Ratio,Females,United Kingdom,4.10 b,3.8,4.22,4.08,4.35,4.54 b,4.56,:,:,:,:,:
Annual,65 years or over,Ratio,Males,Albania,:,:,:,:,:,4.46,4.46,4.18,3.97,4.05,:,:
Annual,65 years or over,Ratio,Males,Austria,3.96,4.05,3.89,3.8,3.71,3.58,3.71,3.84,4.01,3.95,4.28,4.69
Annual,65 years or over,Ratio,Males,Belgium,3.43,3.32,3.17,3.66,3.61,2.99,3.15,3.52 b,3.83,2.98,3.77,3.46
Annual,65 years or over,Ratio,Males,Bulgaria,3.79,4.25,4.03,4.32,4.32 b,5.32,5.05,5.15,5.02,5.27,4.93,4.54
Annual,65 years or over,Ratio,Males,Switzerland,4.81,4.67,4.95 b,5.0,4.84,5.1,5.1,5.11,5.87,5.46,5.44,5.22
Annual,65 years or over,Ratio,Males,Cyprus,4.93,5.58,5.14,5.12,5.2,5.04,4.88,4.79,4.53,4.85,4.91,4.93
