Time frequency,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Albania,:,:,:,:,:,:,:,:,17.1,13.6,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Austria,9.9,10.0,10.4,9.6,8.2,10.4,11.0,10.2,8.8,9.8,8.6,10.8
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Belgium,10.3,8.4,9.4,9.7,10.8,13.0,10.0,10.5 b,8.9,9.3,9.3,9.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Bulgaria,14.6,15.0,17.3,18.4,17.1 b,17.1,17.1,16.4,18.5,18.9,18.9,15.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Switzerland,:,8.6,7.7,6.5,7.7,9.6 b,9.8,8.2,8.4,11.7,7.6,8.8
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Cyprus,10.3,11.2,8.9,8.2,8.6,8.0,7.7,9.2,9.3,8.8,9.4,9.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Czechia,5.2,4.9,3.4,5.1,5.2,5.5,7.0,6.7,5.1,5.9,7.9,6.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Germany,10.9,11.1,9.5,11.3,11.4,12.4,11.6,10.9,9.9,:,:,5.8 b
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Denmark,5.3,6.2,5.2,4.8,6.5,3.4,6.6,5.7,6.7 b,4.9,7.3,6.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Euro area - 19 countries  (2015-2022),11.2,10.9,11.0,11.9,11.9,12.0 e,12.2,11.7,11.4,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,10.8 e,11.2 e,9.8 e
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Estonia,12.3,9.9,11.4 b,14.4,15.5,18.4,18.7,19.1,15.9,17.4,17.8,16.7
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Greece,13.5,13.0,15.5,13.3,15.5,14.3,12.1,11.9,12.0,12.5,12.3,11.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Spain,13.7,11.6,14.4,15.2,14.3,15.3,15.3,15.6,17.5,12.1,13.3,11.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,European Union - 27 countries (2007-2013),11.0,10.5,10.6,11.3,11.5,11.3 e,11.7,11.0 e,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,European Union - 27 countries (from 2020),11.2 e,10.7 e,11.2 e,11.8 e,11.7 e,11.7 e,12.1 e,11.3 e,11.2,10.8 e,11.1 e,9.9 e
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,European Union - 28 countries (2013-2020),11.0 e,10.5,10.7,11.3,11.5,11.3 e,11.7,11.1 e,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Finland,8.1,7.4,7.3,8.9,6.5,6.2,5.8,8.6,7.3,6.7,9.5 b,8.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,France,7.7,8.4,8.3,9.1,9.0,8.1,8.2,7.9,8.9,9.5,9.9,8.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Croatia,:,13.4,16.3,14.5,14.1,15.7,15.7,15.7,14.1,14.1,14.9 b,21.2
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Hungary,7.5,6.8,8.2,6.9,7.1,5.0,5.8,5.4,4.9,5.1,4.3,4.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Ireland,14.5,9.3,12.1,10.6,10.9,8.8,11.5,9.5,9.3 b,7.4,5.6,4.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Iceland,1.7,3.2,1.7,2.9,1.4,2.5,1.4,1.2,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Italy,14.8,14.6,13.7,15.7,15.7,14.4,16.7,14.7,13.9,13.5,14.1,15.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Lithuania,12.2,10.4,16.4,15.9,15.1,17.9,18.9,20.3,17.9,15.6,17.7,13.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Luxembourg,7.8,9.8,10.3,12.6,9.2 b,8.9,8.9,9.4,8.0 b,9.6 b,8.4 b,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Latvia,11.9 b,11.6,11.4,11.3,16.7,16.6,18.0,17.5,16.0,20.4,18.2,12.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Montenegro,:,:,:,:,15.4,15.0,14.7,14.8,15.4,12.6,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,North Macedonia,:,:,14.1,12.3,10.5,15.5,19.3,15.9,15.9,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Malta,9.5,9.7,10.9,11.9,11.0,10.5,12.2,14.8,10.7,14.2,15.3,16.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Netherlands,6.8,6.7,8.7,7.7,7.5 b,5.2,7.6,9.8,9.3,8.6,9.1,8.7
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Norway,8.0,6.4,6.6,6.6,7.0,6.3,7.1,8.6,6.5,7.6 b,6.7,6.5 b
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Poland,11.0,9.0,10.6,10.2,9.7,8.7,10.4,8.5,8.4,9.4,9.5,10.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Portugal,11.9,11.4,12.0,13.2,11.8,14.8,12.2,12.6,10.0,10.3,9.8,9.2
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Romania,19.0,17.3,19.7,19.2,20.2,19.8,20.1,16.5,18.1,18.4,15.7,15.2
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Serbia,:,:,:,:,15.6,18.8,18.9,16.5,15.0,17.1,14.1,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Sweden,8.2 b,8.2,8.0,8.3 b,5.8,7.4,6.1,7.2,6.8,9.1,9.6,8.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Slovenia,7.3,9.2,10.5,9.1,9.5,10.2,9.1,8.8,7.5,8.3,6.1,7.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Slovakia,8.7,7.4,9.4,7.7,8.0,:,:,7.0,5.3,5.4,8.7,5.8
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,Türkiye,:,:,15.8,16.7,14.7,15.3,14.3,13.9,14.2,15.0,14.5,12.8
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Females,United Kingdom,9.1,8.6,7.2,8.2,9.9,8.8 b,9.1,:,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Albania,:,:,:,:,:,:,:,:,14.7,12.9,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Austria,7.5,7.9,6.6,8.1,8.0,7.8,9.4,6.3,7.7,8.8,10.4,9.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Belgium,9.5,9.1,9.6,9.9,8.8,8.7,10.3,10.3 b,9.1,9.1,8.7,8.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Bulgaria,11.0,11.8,15.7,13.7,13.3 b,14.5,14.6,15.7,16.1,15.1,14.5,14.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Switzerland,:,6.8,5.2,5.6,6.2,7.0 b,7.8,8.6,8.1,8.6,5.7,7.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Cyprus,6.3,8.7,5.7,6.2,6.7,5.2,6.5,8.4,8.0,9.5,6.8,9.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Czechia,3.4,3.3,3.4,3.9,3.4,3.3,5.5,4.7,2.6,3.1,5.5,3.4
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Germany,9.9,10.0,9.5,11.3,9.6,10.9,9.5,10.3,9.8,:,:,4.7 b
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Denmark,6.0,4.0,5.4,3.8,7.9,7.7,2.8,6.0,7.1 b,7.7,6.5,5.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Euro area - 19 countries  (2015-2022),9.7,10.0,10.2,11.2,10.5,10.9 e,10.5,10.9,10.8,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,10.1 e,10.1 e,8.4 e
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Estonia,11.6,8.6,11.0 b,11.5,11.4,13.5,12.0,13.8,11.5,10.9,12.5,12.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Greece,14.0,11.7,13.5,13.2,14.9,13.8,12.9,11.6,11.6,12.5,11.7,12.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Spain,12.9,12.6,14.2,16.3,15.3,14.1,12.7,14.7,18.0,13.0,11.8,11.0
