Time frequency,Income and living conditions indicator,Sex,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Albania,:,:,:,:,:,33.4,32.4,28.6,26.0,25.5,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Austria,20.1,21.3,20.1,20.5,19.8,22.4,21.7,23.9,22.7,22.2,23.9,20.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Belgium,18.7,19.2,18.8,17.4,19.3,17.8,19.4,16.3 b,16.2,15.2,18.2,14.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Bulgaria,31.4,30.9,33.2,30.3,30.4 b,30.5,26.9,27.5,28.3,25.2,26.0,22.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Switzerland,22.3,19.1,21.0 b,20.7,22.2,24.7,21.4,22.9,23.5,23.6,21.5,23.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Cyprus,19.0,17.7,18.5,19.8,17.3,15.1,18.6,16.0,16.9,15.2,16.0,14.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Czechia,19.1,16.6,18.0,19.2,19.5,16.6,15.0,14.1,14.8,16.7,18.3,18.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Germany,21.1,20.4,23.2,22.0,20.7,20.9,22.0,23.2,24.5 b,22.5,20.3,21.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Denmark,19.5,23.5,18.5,22.0,20.8,21.7,19.1,18.8,19.3 b,19.2,19.4,21.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Euro area - 19 countries  (2015-2022),23.2,24.0,24.8,24.9,24.8,24.3,24.0,24.2,24.6,24.0,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,24.1,22.9,22.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Estonia,23.8,21.5,22.0 b,21.0,20.5,20.7,21.9,22.0,21.8,20.3,23.4,22.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Greece,29.9,32.7,31.3,30.6,31.9,30.3,29.1,27.0,27.3,26.4,23.8,22.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,Spain,30.6,30.9,31.6,33.8,31.4,32.4,28.5,29.1,29.4,29.7,27.8,26.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Total,European Union - 27 countries (2007-2013),23.3,23.8,24.5,24.8,25.0,24.1,24.3,24.3 e,:,:,:,:
