Time frequency,Number of items,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,7 items or more,Percentage,Total,Total,Albania,:,:,:,:,39.4,36.3,32.9,30.2,29.7,:,:
Annual,7 items or more,Percentage,Total,Total,Austria,:,:,3.5,3.7,3.4,3.0,2.9,2.8,2.2,2.9,4.0
Annual,7 items or more,Percentage,Total,Total,Belgium,:,:,6.8,7.7,6.9,6.2,6.0 b,6.3,6.4,5.7,6.0
Annual,7 items or more,Percentage,Total,Total,Bulgaria,:,:,41.8,40.2 b,37.0,29.5,28.7,29.4,27.9,27.7,27.8
Annual,7 items or more,Percentage,Total,Total,Switzerland,:,:,1.8,1.6,1.4,1.9,2.2,1.6,1.8,1.5,1.8
Annual,7 items or more,Percentage,Total,Total,Cyprus,:,:,11.7,9.7,8.9,5.2,4.5,4.8,5.2,3.8,3.7
Annual,7 items or more,Percentage,Total,Total,Czechia,:,:,8.0,6.5,6.2,5.2,4.3,4.0,4.3,3.8,5.0
Annual,7 items or more,Percentage,Total,Total,Germany,:,:,6.3,5.2,4.4,3.8,3.4,6.5 b,6.9,8.4,9.3
Annual,7 items or more,Percentage,Total,Total,Denmark,:,:,2.8,2.4,3.2,2.9,3.0 u,2.9,3.3,3.4,4.5
Annual,7 items or more,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,8.0,7.9,:,:
Annual,7 items or more,Percentage,Total,Total,Euro area – 20 countries (from 2023),:,:,10.0,9.5,8.3,7.7,7.2,8.0,7.9,8.0,8.2
Annual,7 items or more,Percentage,Total,Total,Estonia,:,:,7.5,5.6,7.7,6.5,5.5,5.1,4.8,5.6,4.7
Annual,7 items or more,Percentage,Total,Total,Greece,:,:,24.6,25.3,22.8,19.7,18.5,18.7,17.3,17.9,17.6
Annual,7 items or more,Percentage,Total,Total,Spain,:,:,9.3,9.3,9.1,9.1,8.4,10.7,9.8,9.2,10.1
Annual,7 items or more,Percentage,Total,Total,European Union - 27 countries (from 2020),:,:,12.0,11.2,10.0,9.0,8.4,9.0,8.9,8.9,9.0
Annual,7 items or more,Percentage,Total,Total,Finland,:,:,1.8,2.1 u,2.3 u,2.5,2.2,2.4,2.3,2.7,3.4
Annual,7 items or more,Percentage,Total,Total,France,:,:,6.5,6.4,6.1,5.9,6.5,6.6 b,7.0,7.5 b,6.8 b
Annual,7 items or more,Percentage,Total,Total,Croatia,23.4,21.3,18.0,15.4,14.3,13.0,11.2,11.3,11.0,9.6,7.6 b
Annual,7 items or more,Percentage,Total,Total,Hungary,:,:,29.1,24.6,20.2,15.6,14.2,13.6,14.1,13.4,14.7
Annual,7 items or more,Percentage,Total,Total,Ireland,:,:,5.5,4.5,4.0,3.1,3.4 b,3.5 b,4.3,4.9,4.9
Annual,7 items or more,Percentage,Total,Total,Iceland,:,:,1.3,1.0,1.2,0.8,0.7 u,:,:,:,:
Annual,7 items or more,Percentage,Total,Total,Italy,:,:,18.7,17.8,14.1,13.3,11.9,10.9,10.0,8.9,8.7
Annual,7 items or more,Percentage,Total,Total,Lithuania,:,:,22.1,22.3,22.1,20.3,17.9,16.2,15.0,13.6,13.5
Annual,7 items or more,Percentage,Total,Total,Luxembourg,:,:,2.8,2.2 b,1.8,1.7 u,1.5 u,1.8 b,2.7 b,1.7 b,2.6
Annual,7 items or more,Percentage,Total,Total,Latvia,:,:,20.6,18.1,18.2,15.5,12.2,11.1,11.1,11.1,10.4
Annual,7 items or more,Percentage,Total,Total,Montenegro,:,:,:,:,:,:,:,:,:,21.8,:
Annual,7 items or more,Percentage,Total,Total,North Macedonia,:,:,37.0,34.4,31.5,28.6,28.8,28.0,:,:,:
Annual,7 items or more,Percentage,Total,Total,Malta,:,:,10.9,7.3,5.9,6.7,6.5,7.9,7.9,6.6,5.5
Annual,7 items or more,Percentage,Total,Total,Netherlands,:,:,2.6,2.3 bu,2.0 u,2.4,2.4,2.1,2.6,2.6,2.6
Annual,7 items or more,Percentage,Total,Total,Norway,:,:,1.1,:,1.3,1.3,1.3,1.6,1.6 b,1.4,1.7
Annual,7 items or more,Percentage,Total,Total,Poland,:,:,10.9,8.3,8.3,7.4,6.5,6.2,5.8,4.8,4.7
Annual,7 items or more,Percentage,Total,Total,Portugal,:,:,15.0,13.1,11.7,10.0,8.8,8.6,9.2,8.1,7.9
Annual,7 items or more,Percentage,Total,Total,Romania,:,:,37.8,39.2,37.6,33.2,30.4,30.4,31.7,31.6,28.9
Annual,7 items or more,Percentage,Total,Total,Serbia,:,:,27.9,:,26.3,21.4,20.1,19.4,18.6,17.7,:
Annual,7 items or more,Percentage,Total,Total,Sweden,:,:,1.0 b,1.0,1.1,1.1,1.1,1.3,1.4,1.8,2.2
Annual,7 items or more,Percentage,Total,Total,Slovenia,:,:,6.6,5.5,5.7,4.7,3.5,3.7,3.1,2.5,3.0
Annual,7 items or more,Percentage,Total,Total,Slovakia,:,:,13.8,13.6,11.8,9.4,9.0,8.2,8.0,7.6,8.8
Annual,7 items or more,Percentage,Total,Total,Türkiye,:,:,3.8,4.5,21.8,20.2,20.2,21.0,24.1,21.2,18.8
Annual,7 items or more,Percentage,Total,Total,United Kingdom,:,:,5.8,5.4,5.1 bu,4.7,:,:,:,:,:
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Albania,:,:,:,:,47.3,42.3,37.9,34.1,33.9,:,:
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Austria,:,:,3.7,4.2,3.9,3.3,3.2,3.2,2.4,3.3,4.5
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Belgium,:,:,8.1,9.6,8.4,7.7,7.5 b,7.9,8.1,6.9,7.6
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Bulgaria,:,:,40.9,38.8 b,34.6,24.8,24.2,25.0,23.8,24.3,23.9
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Switzerland,:,:,2.3,2.3,1.9,2.3,2.8,2.0,2.2,2.1,2.4
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Cyprus,:,:,13.2,10.4,9.5,5.4,4.4,4.7,5.2,3.4,3.2
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Czechia,:,:,7.3,6.1,5.4,4.5,3.8,3.4,3.9,3.2,4.4
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Germany,:,:,7.8,6.2,5.2,4.4,3.9,7.6 b,8.1,9.9,11.1
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Denmark,:,:,4.2,3.4,4.4,3.9,4.2 u,4.0,4.5,4.7,6.3
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,8.4,8.3,:,:
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Euro area – 20 countries (from 2023),:,:,10.5,9.6,8.2,7.7,7.1,8.4,8.3,8.5,8.8
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Estonia,:,:,5.8,4.1,5.5,4.5,3.8,3.6,3.3,4.1,3.3
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Greece,:,:,23.6,24.0,20.9,16.9,16.3,16.5,15.6,15.7,14.7
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Spain,:,:,9.7,9.8,9.2,9.2,8.5,11.3,10.3,10.1,11.6
Annual,7 items or more,Percentage,Total,From 18 to 64 years,European Union - 27 countries (from 2020),:,:,12.5,11.4,10.1,9.0,8.2,9.1,9.0,9.1,9.2
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Finland,:,:,1.7,2.0 u,2.2 u,2.8,2.3,2.5,2.1,3.0,3.9
