Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Average,Total,Total,Albania,:,:,:,:,:,9.2,8.8,8.7,8.8,8.8,:,:
Annual,Average,Total,Total,Austria,:,:,:,7.9,8.2,8.2,7.9,8.0,7.9,8.0,8.1,8.0
Annual,Average,Total,Total,Belgium,:,:,:,8.4,8.3,8.4,8.3,8.3 b,8.2,8.2,8.3,8.2
Annual,Average,Total,Total,Bulgaria,:,:,:,9.6,9.6 b,9.5,9.3,9.4,9.3,9.3,9.2,9.1
Annual,Average,Total,Total,Switzerland,:,:,:,7.7,7.7,7.8,8.1,7.7,7.7,7.8,7.9,7.8
Annual,Average,Total,Total,Cyprus,:,:,:,7.9,7.7,7.9,7.7,7.6,7.7,7.7,7.7,7.8
Annual,Average,Total,Total,Czechia,:,:,:,8.1,8.0,8.0,8.0,8.0,8.0,8.0,7.9,8.1
Annual,Average,Total,Total,Germany,:,:,:,8.1,8.1,8.1,8.1,8.1,8.3 b,8.4,8.5,8.5
Annual,Average,Total,Total,Denmark,:,:,:,8.2,8.1,8.1,8.1,8.2 u,8.4,8.2,8.1,8.3
Annual,Average,Total,Total,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,:,8.3,8.3,:,:
Annual,Average,Total,Total,Euro area – 20 countries (from 2023),:,:,:,8.3,8.4,8.4,8.4,8.4,8.3,8.3,8.3,8.3
Annual,Average,Total,Total,Estonia,:,:,:,8.0,8.0,8.1,8.0,8.0,7.9,7.9,8.0,7.8
Annual,Average,Total,Total,Greece,:,:,:,8.0,8.2,8.2,8.2,8.2,8.1,8.1,8.2,8.2
Annual,Average,Total,Total,Spain,:,:,:,8.0,8.1,8.4,8.4,8.3,8.2,8.3,8.2,8.3
Annual,Average,Total,Total,European Union - 27 countries (from 2020),:,:,:,8.5,8.6,8.5,8.5,8.5,8.4,8.4,8.5,8.5
Annual,Average,Total,Total,Finland,:,:,:,7.7,7.8 u,7.9 u,7.8,7.9,8.0,7.9,8.1,8.1
Annual,Average,Total,Total,France,:,:,:,8.4,8.3,8.3,8.4,8.5,8.2 b,8.2,8.2 b,8.2 b
Annual,Average,Total,Total,Croatia,3.7,8.6,8.5,8.6,8.5,8.6,8.6,8.5,8.4,8.4,8.4,8.4 b
Annual,Average,Total,Total,Hungary,:,:,:,8.6,8.6,8.5,8.3,8.4,8.3,8.4,8.4,8.5
Annual,Average,Total,Total,Ireland,:,:,:,8.1,8.0,8.0,8.1,8.1 b,7.9 b,8.2,7.9,8.1
Annual,Average,Total,Total,Iceland,:,:,:,7.7,7.5,7.4,7.4 u,7.5 u,:,:,:,:
Annual,Average,Total,Total,Italy,:,:,:,8.6,8.8,8.6,8.6,8.8,8.5,8.4,8.5,8.5
Annual,Average,Total,Total,Lithuania,:,:,:,8.4,8.4,8.6,8.6,8.5,8.5,8.5,8.4,8.5
Annual,Average,Total,Total,Luxembourg,:,:,:,7.9,8.1 b,8.0,7.8 u,7.9 u,7.9 b,7.7 b,7.8 b,8.0
Annual,Average,Total,Total,Latvia,:,:,:,8.7,8.6,8.5,8.5,8.3,8.4,8.3,8.6,8.4
Annual,Average,Total,Total,Montenegro,:,:,:,3.7,3.7,3.6,3.8,3.8,3.8,3.8,9.0,:
Annual,Average,Total,Total,North Macedonia,:,:,:,9.1,9.0,8.9,8.9,8.8,8.7,:,:,:
Annual,Average,Total,Total,Malta,:,:,:,8.4,8.3,8.2,8.3,8.3,8.3,8.3,8.3,8.0
Annual,Average,Total,Total,Netherlands,:,:,:,7.9,8.0 bu,7.9 u,8.0,8.1,7.9,8.0,8.1,8.1
Annual,Average,Total,Total,Norway,:,:,:,8.0,3.7,7.9,7.9,7.9,8.1,8.0 b,8.0,8.1
Annual,Average,Total,Total,Poland,:,:,:,8.3,8.2,8.3,8.3,8.3,8.1,8.2,8.2,8.2
Annual,Average,Total,Total,Portugal,:,:,:,8.3,8.3,8.2,8.1,8.1,8.1,8.0,8.0,8.0
Annual,Average,Total,Total,Romania,:,:,:,9.1,9.1,9.0,9.0,8.9,8.9,9.0,9.0,9.0
Annual,Average,Total,Total,Serbia,:,:,:,8.9,3.9,9.1,8.9,8.8,8.9,8.9,9.0,:
Annual,Average,Total,Total,Sweden,:,:,:,7.9 b,7.8,7.9,8.1,7.7,8.1,8.0,8.1,8.0
Annual,Average,Total,Total,Slovenia,:,:,:,8.0,8.0,8.1,8.1,8.0,8.1,8.0,7.8,8.0
Annual,Average,Total,Total,Slovakia,:,:,:,8.3,8.2,8.3,8.3,8.4,8.3,8.3,8.3,8.5
Annual,Average,Total,Total,Türkiye,:,:,:,7.0,7.0,8.7,8.7,8.7,8.7,8.7,8.6,8.6
Annual,Average,Total,Total,United Kingdom,:,:,:,8.2,8.2,8.1 bu,8.1,:,:,:,:,:
