Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Females,Albania,:,:,:,:,:,9.1,6.2,5.8,4.0,3.5,:,:
Annual,Percentage,Total,Total,Females,Austria,7.7,7.7,7.0,6.8,7.4,7.5,7.4,7.4,6.3,6.1,7.6,6.5
Annual,Percentage,Total,Total,Females,Belgium,11.9,10.2,11.0,10.4,10.4,10.2,9.8,9.1 b,8.3,7.8,7.9,8.1
Annual,Percentage,Total,Total,Females,Bulgaria,16.0,15.8,13.9,16.5,22.1 b,20.3,19.2,18.0,15.9,13.0,17.2,11.8
Annual,Percentage,Total,Total,Females,Switzerland,13.7,11.8,13.1 b,13.5,13.5,14.0,14.1,15.5,15.2,16.7,14.5,15.4
Annual,Percentage,Total,Total,Females,Cyprus,3.3,3.6,4.4,4.2,3.4,3.3,2.1,2.5,1.8,2.2,2.7,2.6
Annual,Percentage,Total,Total,Females,Czechia,11.5,13.1,12.0,11.8,10.7,10.0,9.1,8.1,7.9,7.0,8.2,10.5
Annual,Percentage,Total,Total,Females,Germany,18.0,18.0,18.0,17.3,17.5,15.7,15.4,15.3,9.6 b,11.6,12.9,13.9 b
Annual,Percentage,Total,Total,Females,Denmark,17.3,18.7,16.1,15.9,15.6,15.8,15.6,16.1,14.9 b,16.9,15.6,16.8
Annual,Percentage,Total,Total,Females,Euro area - 19 countries  (2015-2022),11.8,11.9,12.2,11.9,11.7,10.8,10.4,10.4,8.5,9.1 e,:,:
Annual,Percentage,Total,Total,Females,Euro area – 20 countries (from 2023),:,:,12.2,11.9,11.7,10.7,10.3,10.3,8.4,9.6,9.4,9.4
Annual,Percentage,Total,Total,Females,Estonia,8.1,7.3,8.2 b,6.2,4.6,4.5,3.7,4.1,4.0,4.0,4.5,7.7
Annual,Percentage,Total,Total,Females,Greece,34.6,38.5,45.3,46.1,41.2,40.4,40.5,37.6,34.2,29.5,28.5,30.5
Annual,Percentage,Total,Total,Females,Spain,10.8,10.1,10.9,10.2,10.4,10.2,9.4,8.8,8.6,10.0,9.6,8.4
Annual,Percentage,Total,Total,Females,European Union - 27 countries (2007-2013),11.6,11.8,12.3,12.0,11.8,11.0,11.0,10.7 e,:,:,:,:
Annual,Percentage,Total,Total,Females,European Union - 27 countries (from 2020),12.2,12.3,12.2 e,11.9 e,11.7 e,10.7 e,10.2 e,10.0 e,8.3,9.1,9.2,9.3
Annual,Percentage,Total,Total,Females,European Union - 28 countries (2013-2020),11.5,11.7,12.3,12.0,11.7,11.0,10.9,10.7 e,:,:,:,:
Annual,Percentage,Total,Total,Females,Finland,4.8,5.1,5.3,4.8,4.4,4.6,4.6,4.3,4.4,4.7,6.1,5.9
Annual,Percentage,Total,Total,Females,France,5.3,5.6,5.6,6.1,5.7,5.3,5.0,5.9,6.1 b,:,7.1 b,7.2
Annual,Percentage,Total,Total,Females,Croatia,7.2,9.1,7.8,7.7,7.2,6.4,5.7,5.2,4.7,5.0,4.3,4.6
Annual,Percentage,Total,Total,Females,Hungary,15.7,14.9,13.2,8.6,9.6,11.2,10.4,4.0,4.7,2.4,8.7,9.3
Annual,Percentage,Total,Total,Females,Ireland,6.4,4.6,6.6,5.2,4.8,5.0,3.3,4.6 b,4.3 b,2.9,3.4,4.6
Annual,Percentage,Total,Total,Females,Iceland,9.5,9.5,8.1,8.3,6.1,8.6,8.9,12.2,:,:,:,:
Annual,Percentage,Total,Total,Females,Italy,8.7,9.6,9.1,8.8,10.1,8.5,8.5,8.8,7.6,7.5,7.0,5.7
Annual,Percentage,Total,Total,Females,Lithuania,10.4,9.3,7.9,10.1,8.3,7.2,6.0,4.6,2.8,2.8,3.5,5.1
Annual,Percentage,Total,Total,Females,Luxembourg,5.1,5.5,7.2,6.4,7.9 b,7.7,10.0,10.1,8.2 b,5.4 b,8.2 b,12.1
Annual,Percentage,Total,Total,Females,Latvia,12.3,12.5,10.6,8.9,7.8,7.3,7.5,5.7,5.4,5.4,6.1,8.3
Annual,Percentage,Total,Total,Females,Montenegro,:,20.7,17.0,17.2,16.9,15.6,15.0,11.9,10.0,8.2,6.0,:
Annual,Percentage,Total,Total,Females,North Macedonia,19.8,18.2,15.5,12.8,12.9,12.1,10.4,10.3,8.3,:,:,:
Annual,Percentage,Total,Total,Females,Malta,2.8,2.6,1.6,1.1,1.3,1.2,1.6,2.0,2.5,2.4,2.5,5.2 b
Annual,Percentage,Total,Total,Females,Netherlands,15.3,16.1,15.5,15.3,11.2 b,9.8,10.0,10.3,8.8,8.8,10.4,9.2
Annual,Percentage,Total,Total,Females,Norway,9.8,9.6,8.4,9.9,10.4,9.6,10.5,10.6,9.7,11.3 b,12.7,13.7
Annual,Percentage,Total,Total,Females,Poland,11.1,11.1,10.3,9.3,8.4,7.2,6.7,6.5,5.4 b,6.3,6.0,6.5
Annual,Percentage,Total,Total,Females,Portugal,8.6,8.4,9.4,9.7,8.3,7.2,6.0,5.9,4.2,6.2,5.4,4.9
Annual,Percentage,Total,Total,Females,Romania,19.4,17.8,16.8,16.7,15.0,13.0,11.2,9.2,7.5,7.5,8.4,9.4
Annual,Percentage,Total,Total,Females,Serbia,:,28.2,32.0,34.1,31.5,34.3,31.7,22.4,18.7,16.0,13.5,:
Annual,Percentage,Total,Total,Females,Sweden,9.6,10.1,9.2,9.2,8.6,8.8,9.0,9.6,8.8,8.7,9.6,11.6
Annual,Percentage,Total,Total,Females,Slovenia,5.5,6.1,6.5,6.3,6.0,5.1,4.7,4.1,4.3,4.3,4.3,3.9
Annual,Percentage,Total,Total,Females,Slovakia,9.1,8.8,9.3,9.6,8.5,9.1,4.8,6.0,3.6,7.5,2.9,6.1
Annual,Percentage,Total,Total,Females,Türkiye,9.9,11.9,10.3,10.4,10.2,9.6,9.7,10.7,10.7,11.8,11.6,14.9
Annual,Percentage,Total,Total,Females,United Kingdom,6.8 b,7.7,12.6 b,12.4,12.2,12.6 b,15.8,:,:,:,:,:
Annual,Percentage,Total,Total,Males,Albania,:,:,:,:,:,9.3,5.8,5.2,3.6,3.2,:,:
Annual,Percentage,Total,Total,Males,Austria,6.2,6.6,6.1,5.9,7.0,6.6,6.3,6.7,6.3,6.1,7.2,5.6
Annual,Percentage,Total,Total,Males,Belgium,10.1,8.9,9.8,8.5,9.2,8.7,8.0,7.6 b,7.2,7.3,7.4,7.4
Annual,Percentage,Total,Total,Males,Bulgaria,12.9,12.7,11.8,13.0,19.2 b,17.4,16.5,13.9,12.8,10.2,12.9,10.4
Annual,Percentage,Total,Total,Males,Switzerland,10.4,9.5,10.3 b,10.0,10.6,11.4,11.6,12.8,12.0,12.9,12.2,13.1
Annual,Percentage,Total,Total,Males,Cyprus,3.3,3.0,3.5,3.5,2.8,2.4,1.9,2.1,2.0,2.7,2.3,2.6
Annual,Percentage,Total,Total,Males,Czechia,8.5,10.2,9.0,8.9,8.3,7.4,6.5,5.6,5.2,5.4,5.6,7.7
Annual,Percentage,Total,Total,Males,Germany,15.2,14.8,13.8,13.8,14.1,13.2,12.9,12.5,8.5 b,10.3,11.0,12.1 b
Annual,Percentage,Total,Total,Males,Denmark,16.1,17.1,15.2,14.3,14.5,15.6,13.8,15.1,13.4 b,14.0,13.8,14.0
Annual,Percentage,Total,Total,Males,Euro area - 19 countries  (2015-2022),10.4,10.6,10.7,10.7,10.2,9.6,9.1,9.2,7.6,8.3 e,:,:
Annual,Percentage,Total,Total,Males,Euro area – 20 countries (from 2023),:,:,10.7,10.6,10.2,9.6,9.1,9.2,7.5,8.9,8.3,8.4
Annual,Percentage,Total,Total,Males,Estonia,7.5,7.1,8.4 b,7.5,5.2,5.1,4.3,4.7,4.8,4.9,5.3,7.6
Annual,Percentage,Total,Total,Males,Greece,31.5,35.2,44.4,44.9,39.8,38.6,38.4,34.6,32.3,28.1,24.8,26.5
Annual,Percentage,Total,Total,Males,Spain,10.6,10.6,11.0,10.4,9.9,9.4,8.3,8.3,7.7,9.7,8.8,8.0
Annual,Percentage,Total,Total,Males,European Union - 27 countries (2007-2013),10.4,10.5,11.0,10.8,10.5,9.9,9.6,9.6 e,:,:,:,:
Annual,Percentage,Total,Total,Males,European Union - 27 countries (from 2020),10.8,10.8,10.7 e,10.6 e,10.2 e,9.5 e,8.9 e,8.8 e,7.3,8.3,8.1,8.3
Annual,Percentage,Total,Total,Males,European Union - 28 countries (2013-2020),10.4,10.5,11.0,10.8,10.4,9.9,9.6,9.5 e,:,:,:,:
Annual,Percentage,Total,Total,Males,Finland,4.3,4.6,4.9,5.0,4.3,4.0,4.0,3.7,3.8,3.8,4.8,5.0
Annual,Percentage,Total,Total,Males,France,5.0,4.8,4.6,5.2,4.7,4.7,4.3,5.1,5.1 b,:,5.8 b,5.8
Annual,Percentage,Total,Total,Males,Croatia,6.3,7.7,7.2,6.6,5.7,5.1,4.5,4.3,3.7,4.0,3.3,3.4
