Time frequency,Unit of measure,Working time,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Full-time,Albania,:,:,:,:,:,16.7,15.4,13.7,12.5,12.1,:,:
Annual,Percentage,Full-time,Austria,6.4,6.8,5.6,5.9,6.9,5.8,6.4,6.3,5.4,6.5,7.3,6.5
Annual,Percentage,Full-time,Belgium,3.4,3.5,3.9,3.7,3.7,4.2,4.7,4.1 b,3.2,2.8,2.7,3.4
Annual,Percentage,Full-time,Bulgaria,6.6,6.4,8.1,6.7,10.2 b,8.3,8.6,7.8,8.4,8.9,9.0,10.3
Annual,Percentage,Full-time,Switzerland,7.4,6.6,5.2 b,6.5,5.4,6.5,5.3,6.5,6.5,5.7,6.3,6.3
Annual,Percentage,Full-time,Cyprus,6.9,7.8,6.3,7.6,7.3,7.0,6.2,6.0,6.7,6.7,7.4,7.0
Annual,Percentage,Full-time,Czechia,4.2,3.5,3.3,3.8,3.5,3.2,3.2,3.2,3.4,3.4,3.2,2.9
Annual,Percentage,Full-time,Germany,5.7,6.3,7.5,7.1,6.5,6.6,6.3,5.7,6.5 b,6.7,5.4,4.6
Annual,Percentage,Full-time,Denmark,4.4,4.2,3.5,4.0,3.2,3.7,4.3,4.2,4.3 b,3.6,2.8,3.5
Annual,Percentage,Full-time,Euro area - 19 countries  (2015-2022),7.1,7.0,7.7,7.6,7.7,7.8,7.6,7.3,7.0 b,7.2,:,:
Annual,Percentage,Full-time,Euro area – 20 countries (from 2023),:,:,7.7,7.6,7.7,7.7,7.6,7.2,7.0,7.5,6.9,6.7
Annual,Percentage,Full-time,Estonia,7.1,6.4,10.5 b,8.9,8.6,8.0,7.6,8.6,8.0,7.4,8.3,8.2
Annual,Percentage,Full-time,Greece,13.4,10.7,11.9,11.6,12.2,11.2,9.5,9.1,9.0,10.5,9.9,9.0
Annual,Percentage,Full-time,Spain,8.7,8.9,10.2,10.3,10.7,10.7,10.9,10.7,9.7,10.9,9.7,9.3
Annual,Percentage,Full-time,European Union - 27 countries (2007-2013),7.4,7.2,7.7,7.8,7.8,7.7,7.6,7.5 e,:,:,:,:
Annual,Percentage,Full-time,European Union - 27 countries (from 2020),7.5 e,7.4 e,8.0 e,8.1 e,8.1 e,7.9 e,7.7 e,7.5 e,7.3 b,7.6,7.2,7.1
Annual,Percentage,Full-time,European Union - 28 countries (2013-2020),7.4,7.2,7.7,7.7,7.8,7.7,7.6,7.5 e,:,:,:,:
Annual,Percentage,Full-time,Finland,3.0,2.7,3.1,2.9,2.7,2.3,2.3,1.9,2.3,2.3,2.0,2.4
Annual,Percentage,Full-time,France,6.6,5.9,6.3,6.0,6.5,5.8,5.9,5.5,5.3 b,5.5,5.4 b,5.8
Annual,Percentage,Full-time,Croatia,5.6,5.3,5.5,5.4,5.0,5.2,4.6,4.6,4.7,4.7,4.3,5.9 b
Annual,Percentage,Full-time,Hungary,4.7,5.8,5.4,8.4,8.7,9.5,7.3,7.9,7.3,6.7,6.2,6.2
Annual,Percentage,Full-time,Ireland,3.2,3.1,3.3,3.0,2.9,3.0,2.9,4.6 b,3.9 b,3.5,3.7,4.4
Annual,Percentage,Full-time,Iceland,3.7,4.1,3.2,4.5,4.8,5.8,5.1,5.0,:,:,:,:
Annual,Percentage,Full-time,Italy,9.3,9.3,9.6,9.8,10.0,11.1,10.9,10.3,9.6,10.1,9.7,8.7
Annual,Percentage,Full-time,Lithuania,5.8,7.6,6.8,8.6,6.5,6.9,6.5,6.5,7.3,6.4,7.2,6.9
Annual,Percentage,Full-time,Luxembourg,9.0,10.1,9.9,10.0,9.6 b,9.7,9.9,10.0,10.5 b,11.8 b,11.1 b,13.7
Annual,Percentage,Full-time,Latvia,7.1,7.7,6.8,8.2,7.0,7.4,6.5,7.1,6.9,6.2,6.7,6.6
Annual,Percentage,Full-time,Montenegro,:,5.9,7.5,7.4,7.2,7.5,7.2,8.7,9.4,5.8,5.6,:
Annual,Percentage,Full-time,North Macedonia,10.4,10.9,9.0,8.3,8.5,8.5,8.4,8.0,7.1,:,:,:
Annual,Percentage,Full-time,Malta,4.4,5.2,5.0,4.8,5.2,4.9,5.7,5.9,7.0,6.8,6.8,6.9
Annual,Percentage,Full-time,Netherlands,4.1,3.4,4.6,4.4,4.8 b,4.3,4.7,3.8,3.9,3.8,3.7,4.1
Annual,Percentage,Full-time,Norway,4.0,4.6,3.7,4.4,4.3,4.4,4.5,5.0,4.7,3.3 b,4.7,3.8 b
Annual,Percentage,Full-time,Poland,9.6,9.7,10.0,10.7,10.2,9.0,8.8,9.3,9.2,8.6,8.8,8.6
Annual,Percentage,Full-time,Portugal,8.5,8.8,9.1,9.6,9.5,9.1,8.5,9.9,8.4,10.5,9.6,9.1
Annual,Percentage,Full-time,Romania,15.9,13.6,15.0,14.7,14.3,13.3,11.2,12.3,11.2,12.4,12.2,14.9
Annual,Percentage,Full-time,Serbia,:,13.0,12.7,12.0,10.6,10.0,9.7,8.6,7.4,6.2,5.9,:
Annual,Percentage,Full-time,Sweden,5.5,5.7,6.2,6.7,5.3,5.6,5.6,6.0,5.2,4.2,5.9,5.4
Annual,Percentage,Full-time,Slovenia,5.6,5.8,5.5,5.9,5.3,5.8,5.3,4.2,4.5,4.5,4.6,5.0
Annual,Percentage,Full-time,Slovakia,5.8,5.3,5.2,5.4,6.1,6.0,5.7,4.2,4.9,6.4,5.3,9.3
Annual,Percentage,Full-time,Türkiye,14.3,14.2,13.8,13.2,13.2,12.5,12.6,12.8,12.4,11.8,12.3,10.8
Annual,Percentage,Full-time,United Kingdom,6.6 b,6.2,5.7,5.6,6.0,6.0 b,7.3,:,:,:,:,:
Annual,Percentage,Part-time,Albania,:,:,:,:,:,35.0,33.2,29.2,20.7,26.3,:,:
Annual,Percentage,Part-time,Austria,10.5,9.5,9.6,11.1,9.4,11.9,10.5,10.1,10.0,8.3,10.0,8.8
Annual,Percentage,Part-time,Belgium,6.4,5.9,6.2,6.4,6.5,6.7,5.8,5.5 b,6.2,5.9,5.5,7.0
Annual,Percentage,Part-time,Bulgaria,27.9,20.9,27.8,30.3,42.2 b,35.6,34.4,30.8,33.6,25.4,23.5,30.1
Annual,Percentage,Part-time,Switzerland,11.3,9.8,8.8 b,12.0,11.6,11.5,11.4,9.7,10.1,9.3,11.2,13.0
Annual,Percentage,Part-time,Cyprus,15.4,16.6,16.2,17.0,12.3,15.4,16.0,13.4,12.6,14.2,13.4,12.6
