Time frequency,Information society indicator,Unit of measure,Individual type,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Albania,:,:,:,:,:,17.9,22.27,23.75,26.67,37.23,37.79,:
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Austria,74.08,73.05,75.13,76.58,77.51,78.18,79.07,79.46,82.37,84.73,85.57,85.37
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Bosnia and Herzegovina,:,:,:,:,:,30.69,32.46,36.88,40.06,:,45.35,48.88
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Belgium,76.04,77.48,77.71,79.2,80.54,79.98,80.45,83.79,83.97,86.62,86.21,88.38
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Bulgaria,42.64,43.61,43.71,42.53,44.65,39.95,40.03,43.48,43.55,42.75,45.1,48.29
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Switzerland,:,84.45,:,:,88.36 b,:,90.52,:,91.16,:,92.7,:
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Cyprus,48.87,51.16,52.52,53.38,51.08,54.05,55.91,65.61,66.1,65.35,72.06,78.39
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Czechia,69.59,73.84,75.91,77.25,78.95,80.38,82.29,83.19,84.72,85.85,87.57,89.45
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Germany,78.09,80.09,81.47,83.04,83.74,84.98,86.29,87.05,79.57 b,80.09,83.26,85.58
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Denmark,88.29,89.94,78.75,93.23,93.57,93.69,93.57,95.97,95.52,94.07,95.53,97.23
Annual,Internet use: sending/receiving e-mails,Percentage of individuals,All individuals,Estonia,67.29,72.35 b,78.65,77.17,78.45,81.65,82.38,82.37,82.49,83.26,84.47,82.79
