Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Country of residence,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Austria,:,:,:,:,:,121126543.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Belgium,:,:,:,:,:,38677308.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Bulgaria,:,:,:,:,:,26054096.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Switzerland,:,:,:,:,:,13154612.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Cyprus,:,:,:,:,:,16780913.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Czechia,:,:,:,:,:,53219395.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Germany,:,:,:,:,:,401163218.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Denmark,:,:,:,:,:,32157794.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Estonia,:,:,:,:,:,6509299.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Greece,:,:,:,:,:,119009014.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Spain,:,:,:,:,:,471199729.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),European Union - 27 countries (from 2020),:,:,:,:,:,3498625946 e,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Finland,:,:,:,:,:,21914154.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),France,:,:,:,:,:,433058728.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Croatia,:,:,:,:,:,86094847.0,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),Hungary,:,:,:,:,:,31608719.0,:,:,:,:,:,:
