Time frequency,Seasonal adjustment,Unit of measure,Business trend indicator,Statistical Classification of Products by Activity (CPA 2.1),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Austria,634.6,674.9,677.5,697.0,685.7,734.4,827.3,738.2,797.4,804.1,826.2,906.2,996.0,860.0,946.2,893.8 e,909.3 e,711.4 e,467.7 e
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Belgium,1089.8,1118.7,976.9,971.1,848.4 b,903.1,796.3,839.1,855.8,900.2,777.0,785.4,730.5,855.0,779.9 p,759.2 p,844.1 p,738.9 p,669.8 p
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Bulgaria,595.6,863.7,1036.6,868.4,358.6,224.3,219.1,196.8,223.5,289.8,332.2,352.5,473.3,666.1,622.7,572.5,720.7,873.9,833.0
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Cyprus,4116.2,3981.5,4197.5,4055.3,3366.2,2953.8,1927.4,1354.2,974.5,692.1,804.1,974.7,1314.7,1540.1,2437.8,2074.0,2221.4,1983.1,2103.3
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Czechia,433.8,463.6,476.6,475.6,403.2,323.3,316.3,266.5,247.6,264.7,279.8,292.0,342.2,347.4,409.5,385.6,469.5,417.3,339.2
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Germany,385.1,394.3,279.3,266.3,277.1,294.5,357.8,366.7,396.5,405.4,429.1,479.9,454.8,458.8,472.2,493.9,503.3 p,452.0 p,297.8 p
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Denmark,854.5 i,947.3 i,633.7 i,464.3 i,278.9 i,427.2 i,420.1 i,313.0 i,290.4 i,373.9 i,501.5 i,614.4 i,614.0 i,754.2 i,696.2 i,699.9 i,761.8 i,624.7 i,420.3 p
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Euro area – 20 countries (from 2023),893.9,949.6,848.5,606.1,449.8,433.2,428.3,381.1,343.9,342.4,359.8,404.0,428.3,442.4,440.6,410.8,465.5,440.2,346.6
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Estonia,677.0,977.3,752.1,463.2,209.6,217.5,255.7,249.0,272.7,319.2,403.6,433.2,532.1,477.6,535.9,571.9,609.0,473.0,402.7
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Greece,1436.2 p,907.4 p,746.7 p,563.3 p,434.0 p,351.6 p,200.8 p,111.4 p,64.8 p,51.4 p,49.9 p,52.9 p,63.2 p,85.7 p,103.5 p,129.9 p,203.9 p,207.0 p,260.7 p
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Spain,2221.4 i,2631.6 i,2237.6 i,1020.6 i,524.9 i,389.8 i,337.9 i,276.6 i,184.2 i,214.3 i,212.6 i,272.7 i,300.1 i,368.6 i,345.9 i,183.8 i,257.0 i,309.1 ip,299.7 ip
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,European Union - 27 countries (from 2020),782.1,851.2,794.2,605.2,443.6,422.8,417.5,370.2,337.8,344.0,371.4,421.8,455.7,472.5,472.2,448.2 b,520.3,481.6,372.9
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Finland,934.0,915.3,811.2,645.5,612.5,751.4,760.9,696.3,557.1,569.3,558.3,636.9,744.3,661.7,621.2,645.5,727.2,597.5,355.0
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,France,815.9,870.9,829.9,673.6,527.2,643.3,687.7,636.9,552.5,478.5,499.7,564.1,601.5,566.2,553.7,488.4,594.4,594.9 p,430.4 p
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Croatia,528.8,588.9,558.8,568.3,431.9,344.5,319.9,220.2,183.3,177.1,166.4,222.9,302.7,305.6,386.2 b,364.5,441.0,520.7,520.0
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Hungary,448.1,411.1,399.8,398.5,280.4,172.0,130.4,115.0 b,87.1,109.8,140.8,337.1,417.4,403.8,398.2,264.7,373.8,422.7,259.6 p
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Ireland,3165.9,2597.3,2774.9,2188.6,1306.4,627.2,432.5,261.0,281.4,294.5,457.9,534.5,659.6,844.5,954.2,929.6,954.5,813.5,864.8
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Italy,353.3,328.8,314.9,242.5,180.0,147.3,140.6,106.8,74.3,65.3,62.3,65.2,75.5,80.8,83.5,73.4,88.3,88.1,80.2
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Lithuania,406.3,574.9,696.3,587.8,341.5,361.6,313.7,394.8,472.8,429.0,494.7,625.6,545.3,539.2,508.7,544.4,762.0,600.4,445.7
Annual,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Square metres per 1000 inhabitants,Building permits - m2 of useful floor area,Residential buildings,Luxembourg,1803.7,1670.4,1955.5,1492.1,1324.7,1379.2,1520.9,1542.8,1283.6,2023.9,1563.0,1335.3,1524.3,1741.1,1657.2,1505.2,1684.5,1098.8,913.5 p
