Time frequency,Unit of measure,Activity and employment status,International Standard Classification of Occupations 2008 (ISCO-08),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,124.96,123.16,127.43,128.11,:,:,:,:,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,479.53,484.22,489.54,498.85,504.61,509.12,512.96,518.28,524.14,531.81,534.65,545.25
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,291.34,291.55,293.36,295.71,297.55,301.75,307.41,308.29,312.96,316.33,321.28,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,376.83 b,385.41,387.43,395.24,397.75,404.04,410.66,418.4,421.71,423.6,427.69,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,380.72,383.28,391.57,404.0,412.58,419.71,425.06,429.78,433.86,434.97,438.96,445.51
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,289.23,297.22,301.64,319.51,337.83 bd,359.34 d,376.84 d,386.84 d,407.32 d,427.23 d,:,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,359.55,363.67,367.47,368.79,:,:,:,:,403.76 be,406.67 e,409.52 e,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,374.81,387.7,394.64,403.5,410.82,413.93,418.65,424.88,431.09,439.39,446.79,453.22
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,372.57,378.9,383.72,384.87,387.72,392.98,399.86,410.91,419.53,425.06,:,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,324.38,329.36,328.34,333.46 b,335.88,341.49,345.65,346.82,348.34,346.9,347.94,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,375.79,383.52,382.34,381.09,380.08,384.54,382.35,387.68,402.08,440.36,457.67,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Finland,317.12,324.54,325.05,330.98,338.07,341.11,341.67,346.05,348.02,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,France,303.56 e,305.70 b,307.3,308.5,309.21,310.62,312.13,313.87,313.8,317.03,318.07,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Croatia,286.38,291.62,299.18,303.35,314.02,319.15,323.65,336.21,344.06,351.89,352.24,359.95
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Hungary,286.86 b,296.22,308.87,320.91,332.35,309.72 b,321.12,332.48,338.37,349.37,313.94 b,328.35 p
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Ireland,:,266.70 e,270.68 e,267.46 e,301.20 b,311.91,319.18,325.75,327.94,331.68,345.61,404.56 b
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Iceland,359.07,350.46,356.08,360.76,364.4,377.55,385.17 b,387.3,389.26,389.39,:,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Italy,381.91 e,389.83 e,387.34,390.01,388.04,383.83,395.27,398.95,399.5,405.07,400.08,412.51 p
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Liechtenstein,288.72 b,305.68,316.45,324.47,319.48,320.05,328.77,363.52,352.98,373.42,362.46,343.11
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Lithuania,394.73,409.73,421.85,427.7,430.74,433.92,446.69,455.63,459.78,456.96,448.28,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Luxembourg,276.95,277.81,280.63,283.05,288.14,290.73 b,288.45,298.49,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Latvia,310.7,313.44,314.4,319.13,321.6,319.79,321.25,320.5,330.38,326.73,333.92,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Montenegro,203.41,200.14,202.55,213.46,217.11,235.63,255.34,265.11,276.41,272.98,:,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Malta,308.56,316.86 b,328.79,344.16,360.37,367.6,382.78,396.37,397.21,402.53,418.76,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Netherlands,:,:,:,:,342.5,349.14,353.68,360.33,367.22 b,375.45,383.4,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Norway,411.39,418.81,423.19,430.62,442.92,445.28 b,458.23,473.49,485.78,496.87,508.62,517.96
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Poland,218.7,221.27,223.38,224.09,230.68,232.81,241.58,237.75,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Romania,250.79,253.89,261.05,264.36,269.83,276.58,284.1,292.66,304.68,318.67 b,333.0,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Serbia,:,:,:,:,:,:,295.44,295.88,298.23,:,287.82 b,301.29
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Sweden,380.87,388.98,396.87,404.44,411.02,417.58,423.43,426.99,432.1,428.51,:,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Slovenia,243.05,249.46,254.14,262.92,277.02,282.53,301.4,310.11,317.81,326.19,330.29,:
Annual,Per hundred thousand inhabitants,Practising,Medical doctors,United Kingdom,264.87,268.61,269.62,271.29,274.53,277.11 b,278.2,281.1,284.05,:,:,:
