Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Total,Chronic liver disease,Austria,9.0,9.68,8.61,7.93,8.51,8.17,8.12,7.4,8.21,8.12,8.41
Annual,Rate,Females,Total,Chronic liver disease,Belgium,7.76,7.97,7.77,7.56,8.03,7.68,6.88,7.88,7.54,7.54,7.27
Annual,Rate,Females,Total,Chronic liver disease,Bulgaria,7.14,8.88,8.75,7.65,8.56,9.77,9.14,8.73,9.36,9.22,8.24
Annual,Rate,Females,Total,Chronic liver disease,Switzerland,4.86,5.59,4.49,4.95,4.92,4.63,4.38,4.87,4.81,4.25,4.2
Annual,Rate,Females,Total,Chronic liver disease,Cyprus,4.4,2.39,4.21,4.12,2.16,2.34,3.16,3.12,4.09,6.69,5.1
Annual,Rate,Females,Total,Chronic liver disease,Czechia,10.96,10.6,10.91,10.67,10.58,10.23,11.21,11.51,12.2,11.81,13.24
Annual,Rate,Females,Total,Chronic liver disease,Germany,10.22,9.69,10.03,9.57,9.62,9.82,9.67,9.51,9.29,9.78,10.16
Annual,Rate,Females,Total,Chronic liver disease,Denmark,9.87,9.44,8.14,8.29,6.46,7.75,7.94,7.7,8.32,8.14,7.93
Annual,Rate,Females,Total,Chronic liver disease,Estonia,11.57,12.45,10.53,9.99,14.48,11.43,11.06,14.36,14.36,15.66,19.93
Annual,Rate,Females,Total,Chronic liver disease,Greece,3.25,3.42,3.52,3.05,2.93,2.86,3.06,2.85,2.75,2.99,2.53
Annual,Rate,Females,Total,Chronic liver disease,Spain,5.34,4.9,4.76,4.66,4.75,4.15,4.11,3.84,3.75,3.74,4.02
Annual,Rate,Females,Total,Chronic liver disease,European Union - 27 countries (from 2020),9.49,9.18,8.82,8.46,8.34,8.41,8.3,8.21,8.07,8.18,8.29
Annual,Rate,Females,Total,Chronic liver disease,Finland,11.71,11.63,11.06,10.4,10.67,10.48,10.59,11.25,11.63,12.04,11.58
Annual,Rate,Females,Total,Chronic liver disease,France,6.53,6.37,6.15,5.48,5.63,5.55,5.29,5.15,5.05,5.13,5.05
Annual,Rate,Females,Total,Chronic liver disease,Croatia,10.44,11.44 d,8.4 d,9.67,9.27,9.34,8.73,8.61,7.72,8.07,7.98
Annual,Rate,Females,Total,Chronic liver disease,Hungary,20.15 d,17.05 d,15.13 d,15.75,15.12,14.39,15.22,14.65,15.08,14.53,15.35
Annual,Rate,Females,Total,Chronic liver disease,Ireland,6.15,6.87,5.21,4.18,4.99,5.0,4.8,4.15,4.52,5.89,6.85
Annual,Rate,Females,Total,Chronic liver disease,Iceland,0.89,4.09,2.7,1.68,4.21,3.64,1.22,3.01,1.41,0.8,2.68
Annual,Rate,Females,Total,Chronic liver disease,Italy,7.03,6.66,6.17,5.81,5.61,5.68,5.03,4.78,4.58,4.45,4.25
Annual,Rate,Females,Total,Chronic liver disease,Liechtenstein,:,10.33,4.91,5.42,6.04,5.23,10.47,14.51,0.0,8.31,0.0
Annual,Rate,Females,Total,Chronic liver disease,Lithuania,18.88,17.89,19.99,17.58,17.1,15.65,14.52,14.06,14.39,18.04,19.61
Annual,Rate,Females,Total,Chronic liver disease,Luxembourg,7.0,11.08,7.91,6.38,8.92,7.23,8.11,10.12,4.2,7.72,7.78
Annual,Rate,Females,Total,Chronic liver disease,Latvia,11.63,10.53,12.17,12.23,11.7,12.8,10.27,13.85,11.71,11.98,18.32
Annual,Rate,Females,Total,Chronic liver disease,Malta,4.69,3.77,2.3,1.32,1.79,1.61,4.64,2.6,4.57,4.88,3.8
Annual,Rate,Females,Total,Chronic liver disease,Netherlands,3.54,3.56,3.56,3.24,3.51,3.77,3.36,3.46,3.48,3.47,3.57
Annual,Rate,Females,Total,Chronic liver disease,Norway,2.5,3.27,3.59,2.53,2.81,3.12,3.45,2.96,2.94,4.05,3.0
Annual,Rate,Females,Total,Chronic liver disease,Poland,9.57,9.65,9.61,8.82,8.54,9.17,10.69,11.23,11.32,11.98,12.31
Annual,Rate,Females,Total,Chronic liver disease,Portugal,4.91,4.41,4.75,3.96,3.92,4.3,3.49,3.43,3.96,3.76,3.55
Annual,Rate,Females,Total,Chronic liver disease,Romania,35.2,33.95,31.08,32.57,30.43,31.04,31.07,29.81,28.2,26.8,25.92
Annual,Rate,Females,Total,Chronic liver disease,Serbia,4.41,4.0,3.23,3.32,3.39,3.12,3.7,3.32,3.76,3.4,3.52
Annual,Rate,Females,Total,Chronic liver disease,Sweden,4.34,4.34,4.19,4.45,4.16,5.11,4.48,4.76,4.5,4.9,4.51
Annual,Rate,Females,Total,Chronic liver disease,Slovenia,16.13,15.75,12.91,11.64,9.92,7.97,7.89,9.82,10.4,10.36,9.65
Annual,Rate,Females,Total,Chronic liver disease,Slovakia,15.8,16.89,13.85,13.38,14.75,14.62,15.46,17.02,15.67,16.77,17.58
