Time frequency,Unit of measure,Sex,Health indicator,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Year,Females,Healthy life years in absolute value at birth,Austria,60.1,62.5,60.2,57.8,58.1,57.1,56.8,57.0,58.0,59.3,61.3,61.3
Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,63.6,65.0,63.7,63.7,64.0,63.7,64.0,63.7,62.8 b,64.0,64.4,63.3
Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,65.9,65.7,66.6,66.1,65.0,67.5 b,66.2,67.6,68.4,67.8,65.1,68.9 b
Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,64.7,67.6,58.4 b,56.7,57.8,57.7,59.4,59.5,60.0,60.7,59.3,56.7
Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,61.0,64.0,65.0,66.1,63.4,68.8,65.8,62.4,63.0,63.1,66.8,66.3
Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,63.6,64.1,64.2,65.0,63.7,64.0,62.4,63.4,62.6,62.5,63.4,62.4
Annual,Year,Females,Healthy life years in absolute value at birth,Germany,58.6,57.9,57.0,56.5,67.5 b,67.3,66.7,66.3,67.1,66.8 b,66.5,61.2 bu
Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,59.9,61.5,60.1,61.4,57.6,60.3,59.7,59.1,58.8,57.7 b,54.8,54.6
Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,57.9,57.2,57.1,57.1,56.2,59.0,57.2,55.0,57.7,59.6,58.0,60.6
Annual,Year,Females,Healthy life years in absolute value at birth,Greece,66.9,64.9,65.1,64.9,64.1,64.7,65.1,65.9,66.4,66.8,66.6,67.8
Annual,Year,Females,Healthy life years in absolute value at birth,Spain,65.6,65.8,63.9,65.0,64.1,66.5,69.9,68.0,70.4,66.3,62.6,60.6
Annual,Year,Females,Healthy life years in absolute value at birth,European Union - 27 countries (from 2020),61.7,61.7,61.1,61.4,63.3 b,64.4,64.3,64.2,65.1,64.5,64.2,62.8 b
Annual,Year,Females,Healthy life years in absolute value at birth,Finland,58.3,56.2,:,57.5,56.3,57.0,56.4,55.7,54.8,55.9,61.7,56.5
Annual,Year,Females,Healthy life years in absolute value at birth,France,63.6,63.8,64.3,64.2,64.6,64.1,64.9,64.5,64.6,65.3 b,66.9,65.2 bp
Annual,Year,Females,Healthy life years in absolute value at birth,Croatia,61.7,64.2 b,60.4 b,60.0,56.8,58.7,58.0,58.5,58.5,59.6,59.3,61.5 b
Annual,Year,Females,Healthy life years in absolute value at birth,Hungary,59.2,60.4,60.1,60.6,60.1,60.2,60.8,61.8,62.8,63.5,63.5,63.9 b
Annual,Year,Females,Healthy life years in absolute value at birth,Ireland,68.3,68.5,68.0,67.5,68.0,69.8,69.3,70.4,70.5,67.1 b,68.0,66.8
Annual,Year,Females,Healthy life years in absolute value at birth,Iceland,67.7,68.0,66.7,66.9,66.2,63.7,60.6,59.0,:,:,:,:
Annual,Year,Females,Healthy life years in absolute value at birth,Italy,62.5,61.4,61.2,62.3,62.7,67.2 b,66.4,66.9,68.6,68.7,68.5,67.8
Annual,Year,Females,Healthy life years in absolute value at birth,Lithuania,62.0,61.6,61.6,61.7,58.8,59.4,59.8,59.1,59.1,58.7,59.8,62.3
Annual,Year,Females,Healthy life years in absolute value at birth,Luxembourg,67.1,66.4,62.9,63.5,60.6,58.9 b,58.1,59.8,61.9,62.4 b,61.6 b,59.4 b
Annual,Year,Females,Healthy life years in absolute value at birth,Latvia,56.6,59.0,54.2 b,55.3,54.1,54.9,52.2,53.7,54.1,54.3,55.4,55.4
Annual,Year,Females,Healthy life years in absolute value at birth,Malta,70.7,72.2,72.7,74.5,74.6,72.4,73.4,73.4,73.5,70.7,68.5,70.3 p
Annual,Year,Females,Healthy life years in absolute value at birth,Netherlands,59.0,58.9,57.5,59.0,57.2,57.8 b,57.6,57.2,59.4,59.6,59.6,56.3
Annual,Year,Females,Healthy life years in absolute value at birth,Norway,76.1,70.4,68.6,69.8,68.9,67.8,70.0,69.1,68.1,66.7,:,64.8
Annual,Year,Females,Healthy life years in absolute value at birth,Poland,63.2,62.8,62.7,62.7,63.2,64.6,63.5,64.3,64.1,64.3,64.6,64.1 b
Annual,Year,Females,Healthy life years in absolute value at birth,Portugal,58.6,62.6 b,62.2,55.4 b,55.0,57.4,57.0,57.5,57.8,58.7,57.4,58.0 bp
Annual,Year,Females,Healthy life years in absolute value at birth,Romania,57.0,57.6,58.1,59.1,59.3,59.0,58.3,59.6,60.6,60.5,58.2,59.3 e
Annual,Year,Females,Healthy life years in absolute value at birth,Sweden,64.6,:,65.0,72.8 b,72.2,73.3,71.9,72.0,72.7,72.7,67.9,65.3
Annual,Year,Females,Healthy life years in absolute value at birth,Slovenia,53.8,55.6,59.5,59.6,57.7,57.9,54.6,54.6,61.2,66.3,67.3,68.5
