Time frequency,Age class,Activity and employment status,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Austria,26.1,26.9,27.9,28.3,28.8,28.9,28.3,28.2,28.1,28.7,29.7,30.1
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,3.1,3.0,2.8
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Belgium,24.7,24.2,23.6,24.2,24.6,24.5 b,24.5,24.8,24.4,24.1,23.8,23.7
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Bulgaria,2.2,2.5,2.4,2.2,2.0,2.2,1.8,1.9 b,1.8,1.5,1.6,1.4
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Switzerland,34.7,35.1,36.4,36.5,36.9,37.0,37.4,38.0,38.2,37.9,37.6,38.0
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Cyprus,9.7,11.9,13.5,13.0,13.4,12.2,10.8,10.2,9.9,10.3,9.5,8.3
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Czechia,5.0,5.8,5.5,5.3,5.7,6.2,6.3,6.3,5.7,5.7,6.0,6.9
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Germany,32.3,33.3,33.2,33.5,33.4,33.7,33.6,34.1,27.9 b,27.8,28.0,28.7
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Denmark,24.1,24.0,23.9,23.8,25.0 b,24.7 b,23.9,24.2,23.4,23.9,24.2,25.2 b
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Euro area – 20 countries (from 2023),21.9,22.7,22.8,22.9,22.9,22.8,22.6,22.7,20.8,20.7,20.5,20.6
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Estonia,9.1,8.8,8.3,9.3,9.7,9.5,10.9,11.2,12.1,12.2,13.2,13.5
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Greece,7.9,8.6,9.5,9.6,10.0,10.0,9.3,9.3,8.8,8.2,8.0,7.3
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Spain,14.4,15.7,15.8,15.6,15.1,14.9,14.5,14.5,13.9,13.7 d,13.4 d,13.1 d
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,European Union - 27 countries (from 2020),19.0,19.7,19.7,19.7,19.6,19.5,19.3,19.4,17.8,17.7,17.6,17.8
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Finland,14.9,14.8,14.9,14.9,15.8,15.9,16.0,16.4,15.6,16.9,16.9,16.8
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,France,18.4,18.8,19.2,19.0,18.9,18.9,18.6,18.1,17.6,17.3 d,16.5 d,16.6 d
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Croatia,5.6 b,5.3,5.4,5.9,5.7,4.9,5.2,4.8,4.5,4.7,4.7,3.7
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Hungary,6.5,6.2,5.8,5.5,4.7,4.2,4.1 b,4.2,4.6,4.6,4.2,4.0
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Ireland,23.6,23.7,22.9,22.2,21.9,20.1,19.5,19.6,17.8,19.7 b,20.0,20.3
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Iceland,20.7,20.8,22.9,23.3,24.0,23.1,21.5,21.5,22.8 b,21.9,22.0,20.2
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Italy,16.9,17.8,18.3,18.4,18.7,18.7,18.5 b,18.9,18.3,18.2,17.9,17.6
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Lithuania,8.9,8.4,8.6,7.6,7.1,7.6,7.1,6.4,6.1,6.0,5.7,5.9
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Luxembourg,18.5,18.7,18.4,18.4 b,19.2,19.5,17.7,16.9,18.0,18.0,18.2,18.2
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Latvia,7.6,6.4,5.8,6.1,7.2,6.5,6.1,7.1,7.6,7.8,6.6,6.8
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Montenegro,4.2,3.1,5.8,5.8,4.5,5.4,4.8,4.5,3.7,:,:,:
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,North Macedonia,6.1,4.4,5.8,4.2,4.7,4.1,3.4,4.1,3.7,:,:,:
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Malta,13.2,14.0,15.3,14.3,13.9,13.7,13.1,12.1,11.1,10.7,10.8,10.6
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Netherlands,39.3,40.0,39.7,40.2,40.0,40.4,40.8,41.1,41.6,42.2,42.2,42.4
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Norway,26.6,26.4,25.1,25.5,25.4,24.9,25.2,25.3,24.7,24.8,24.4,24.2
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Poland,7.2,7.1,7.1,6.8,6.4,6.6,6.5,6.2 b,5.9,5.3,5.4,5.7
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Portugal,9.2,9.4,8.7,8.8,8.6,8.1,7.6,7.7,7.2,6.9,6.8,7.3
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Romania,6.0,5.9,5.7,5.7,4.8,4.3,4.1,3.8,3.7,3.7,3.3,3.4
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Serbia,6.6,7.5,8.1,7.9,8.4,8.0,7.0,7.3,6.8,6.6,5.8,5.9
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Sweden,24.8,24.5,24.4,24.1,23.6,23.0,22.4,22.3,22.1,20.4,20.3,19.9
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Slovenia,10.0,10.2,11.0,11.1,10.2,11.3,10.7,9.3,9.1,9.2,8.7,8.5
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Slovakia,2.8,3.2,3.6,4.1,4.1,4.2,3.5,3.2,3.2,3.1,3.1,3.3
Annual,From 15 to 64 years,Employed persons working part-time,Percentage of total employment,Total,Türkiye,11.5,11.9,11.1 b,10.3,9.9,10.0,10.4,9.9,11.8,9.5 b,9.2,9.6
