Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Labour costs structure,Geopolitical entity (reporting)\Time,2008.0,2012.0,2016.0,2020.0,2021.0,2022.0,2023.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Albania,:,1.8,2.1,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Austria,19.6,21.9,23.9,26.8,26.9,27.8 p,30.0 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Bosnia and Herzegovina,:,4.8,4.8,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Belgium,23.9,27.4,29.3,31.1,31.5,33.4,36.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Bulgaria,2.1,2.9,3.7,5.7,6.2,7.1,8.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Switzerland,:,40.5,44.4,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Cyprus,14.1,14.0,12.9,14.1,14.3,15.4,16.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Czechia,6.7,7.3,7.5,10.7,11.4,12.4,13.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Germany,21.8,23.7,25.5,28.6,28.9,30.2,31.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Denmark,30.3,34.2,35.9,39.2,40.2,41.0,42.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Euro area - 19 countries  (2015-2022),18.6 d,20.8,21.9,24.3,24.5,25.5,26.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Euro area – 20 countries (from 2023),18.6 d,20.7,21.7,24.1,24.3,25.3,26.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Estonia,5.8,6.3,8.0,10.5,11.2,12.2,13.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Greece,13.5,12.2,12.1,11.0,11.1,11.8,12.6
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Spain,14.3,15.7,15.8,17.0,17.0,17.3,18.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),European Union - 27 countries (from 2020),16.1,18.1,19.2,21.5,21.8,22.8,24.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Finland,20.9,24.4,26.0,27.5,28.9 p,29.6 p,30.5 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),France,20.9 d,22.4,23.3,26.3,26.7,27.7,28.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Croatia,7.7,8.1,8.1,10.0,10.3,11.2,12.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Hungary,5.5,5.6,5.8,8.0,8.6,9.1,11.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Ireland,24.8,25.8,25.8,29.5,30.6,31.9,33.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Iceland,17.9 d,18.4 d,28.9 d,29.8 d,34.0 p,38.3 p,39.5 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Italy,18.2,19.9,19.9,21.0,20.7,21.2,21.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Lithuania,4.2,4.2,5.3,9.9,11.0,12.5,14.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Luxembourg,27.7,30.5,33.9,41.3,42.3,44.5,47.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Latvia,4.6,4.7,6.1,8.4,9.0,9.6,10.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Montenegro,:,4.6,4.9,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),North Macedonia,:,3.3,3.5,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Malta,10.5,11.0,13.3,15.8,16.1,16.5,17.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Netherlands,22.9,24.7,26.4,29.6,29.7,30.8,33.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Norway,:,46.2,40.0,40.1,43.4,44.5,41.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Poland,6.3,6.4,7.1,9.0,9.4,10.3,11.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Portugal,9.9,10.7,10.9,12.3,12.5,13.0,13.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Romania,3.2,3.2,4.3,7.8,8.0,9.0,10.4
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Serbia,:,4.3,4.2,6.0,6.4,7.4,8.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Sweden,21.2,25.4,25.6,26.2,27.8,27.4,26.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Slovenia,11.6,13.1,14.1,17.9,18.9,19.8,21.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Slovakia,5.2,6.6,7.5,10.2,10.8,11.4,12.5
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),Türkiye,:,5.2,5.4,3.7,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Wages and salaries (total),United Kingdom,20.1 d,20.9,23.1,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Albania,:,0.4,0.4,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Austria,6.8,7.8,8.7,9.6,9.9,10.2 p,10.9 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Bosnia and Herzegovina,:,0.4,0.4,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Belgium,9.0,10.6,9.3,9.4,9.5,10.1,10.8
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Labour costs other than wages and salaries,Bulgaria,0.5,0.5,0.7,0.9,1.0,1.1,1.2
