Time frequency,Employment indicator,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Austria,5.4,6.0,6.2,7.1,7.3,6.7,6.6,6.2,6.6,6.8 b,5.6,6.0
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,9.7 b,9.1,7.8
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Belgium,11.7,12.4,12.8,13.1,12.6,12.3 b,11.3,12.1,12.9,10.8 b,11.4,11.9
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Bulgaria,17.7,16.1,15.6,16.9,14.0,10.9,11.1,8.9 b,9.6,9.4 b,9.1,8.8
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Cyprus,7.4,9.5,9.9,9.9,9.7,9.5,6.6,5.8,6.0,5.4 b,4.8,4.3
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Czechia,8.9,8.5,8.4,8.8,7.0,6.2,6.2,5.7,5.4,5.3 b,5.5,4.4
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Germany,8.6 b,8.5,8.9,8.8,9.4,9.4,9.1,8.4,8.8 b,9.2 b,8.9,9.2
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Denmark,8.2,8.0,8.0,8.1,7.9 b,8.9 b,7.5,7.5,7.6,6.3 b,5.2,6.0 b
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Euro area – 20 countries (from 2023),9.8,10.5,10.5,10.2,10.3,9.6,9.2,8.9,9.4,9.1 b,8.4,8.5
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Estonia,9.4,8.4,8.0,7.8,7.0,6.4,7.2,7.7,7.9,7.8 b,6.8,7.8
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Greece,13.0,13.3,11.3,11.5,10.8,9.2,8.7,8.3,7.8,7.6 b,4.9,4.7
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Spain,12.6,13.6,12.5,11.1,10.9,8.8,8.1,8.1,9.4,8.4 bd,8.0 d,8.0 d
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,European Union - 27 countries (from 2020),10.0,10.5,10.3,10.1,10.0,9.2,9.0,8.7,9.1,8.4 b,7.9,8.0
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Finland,4.4,5.9,4.9,5.3,6.2,5.1,5.8,4.8,5.2,6.1 b,5.0,6.9
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,France,10.2,11.3,11.9 b,12.2,12.6,11.9,11.6,11.5,11.8,11.0 bd,9.8 d,10.0 d
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Croatia,11.0 b,11.9,10.6,8.5,7.4,8.4,8.0,5.9,4.2,4.2 b,4.5,4.6
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Hungary,15.6,14.7,10.9,9.1,8.2,7.5,6.2 b,5.5,5.9,4.7 b,4.2,4.7
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Ireland,20.2,17.7,15.9,14.3,13.2,11.8 b,11.4,10.9,11.1,8.9 b,10.3,6.5
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Italy,9.2,10.3,10.8,10.6,10.3,9.6,9.2 b,9.3,10.4,10.7 b,9.5,9.1
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Lithuania,12.4,11.8,10.9,11.4,11.2,9.8,9.4,8.5,7.9,7.6 b,7.9,8.0
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Luxembourg,3.5,4.0,4.0,3.5 b,7.3,7.6,8.5,6.2,5.3,4.7 b,4.2,5.1
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Latvia,11.2,8.8,8.3,7.2,7.9,7.5,9.3,7.4,8.1,9.0 b,9.0,7.5
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Montenegro,25.0,28.3,24.2,20.3,19.5,18.3,16.7,17.1,17.7,:,:,:
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,North Macedonia,24.1,18.6,18.5,19.4,14.7,15.6,13.8,11.4,11.2,:,:,:
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Malta,8.4,7.4,9.0,8.3,7.2,7.7,6.6,6.8,6.5,7.6 b,5.4,12.7
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Netherlands,5.7,7.4 b,7.0,6.9,6.6,6.5,6.3,5.3,4.9,4.6 b,4.2,4.6
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Norway,:,:,:,:,:,:,:,:,:,8.5 b,5.9,7.3
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Poland,9.1,9.8,9.4,9.0,8.6,8.3,8.0,8.3 b,7.6,4.0 b,4.2,4.2
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Portugal,9.3,10.2,7.8,6.7,6.5,5.9,5.1,4.5,5.0,3.9 b,3.7,5.7
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Romania,11.7,11.6,11.4,10.4,11.1,9.4,8.5,7.3,8.0,12.3 b,12.0,13.4
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Serbia,14.0,13.2,12.9 b,12.1,11.3,10.4,9.8,8.4,8.7,9.9 b,7.8,7.5
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Sweden,7.3,8.1,6.5,9.4,5.6,5.8,10.3 b,10.5,14.7,3.6 b,3.1,3.9
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Slovenia,4.1,4.6,4.5,4.0,4.0,3.0,2.5,2.6,2.5,1.9 b,1.7 u,2.7 u
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Slovakia,9.9,10.4,10.1,9.3,7.7,8.0,7.2,7.5,7.6,7.5 b,6.5,6.0
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,Türkiye,11.8,11.4,9.5 b,9.9,9.9,9.4,9.5,12.0,14.4,10.7 b,9.3,9.4
Annual,Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,Percentage,United Kingdom,16.2,14.9,14.7,13.8,12.4,11.5,11.0,10.3,:,:,:,:
