Time frequency,Sex,International Standard Classification of Education (ISCED 2011),Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Austria,11.6,10.9,10.0 b,10.0,11.4,11.5,11.1,10.6,10.9,10.6 b,10.3,9.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,6.7,6.5,6.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Belgium,18.1,18.3,17.7 b,17.5,17.2,16.6 b,14.6,14.8,14.2,12.6 b,12.3,13.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Bulgaria,17.1,17.0,18.0 b,17.8,17.5,17.1,16.8,17.5 b,17.8,17.2 b,16.1,14.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Switzerland,11.2,10.2,9.5 b,9.0,8.6,8.1,7.1,6.3,6.0,8.2 b,9.4,8.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Cyprus,14.1,13.5,13.7 b,12.5,11.6,11.3,10.6,10.1,10.8,9.7 b,9.8,9.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Czechia,6.3,5.6,5.4 b,6.3,6.6,6.0,6.3,7.0,7.6,7.1 b,7.3,8.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Germany,13.0,12.9,12.7 b,12.7,13.0,13.2,13.1,13.2,13.0 b,15.5 b,16.9,16.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Denmark,19.4,19.4,19.3 b,18.2,17.8 b,17.7 b,18.2,17.6,17.5,16.4 b,17.3,17.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Euro area – 20 countries (from 2023),20.9,19.8,18.9 b,18.4,18.3,18.0,17.2,16.6,15.8,16.2 b,16.0,15.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Estonia,13.5,12.1,12.9 b,13.5,13.2,14.1,13.7,13.1,13.1,11.8 b,10.0,12.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Greece,20.6,18.9,17.7 b,15.8,14.8,13.7,12.3,10.2,8.2,7.1 b,7.4,7.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Spain,35.1,35.3,34.4 b,34.4,34.7,33.8,32.3,30.2,28.3,28.0 b,26.9,25.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,European Union - 27 countries (from 2020),18.6,17.8,17.2 b,16.9,16.8,16.5,15.9,15.4,14.7,15.0 b,14.7,14.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Finland,10.0,9.2,9.8 b,9.8,9.4,9.4,9.3,8.7,7.4,9.7 b,9.3,10.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,France,16.8,14.7 b,13.8 b,13.4,13.3,13.8,13.0,12.5,11.9,11.9 b,10.9,10.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Croatia,8.2 b,7.1,4.8 b,4.8,6.2,5.7,4.9,4.5,3.8,4.6 b,5.0,4.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Hungary,12.6,12.5,13.0 b,14.0,14.5,14.0,13.1 b,12.6,12.4,12.9 b,13.1,13.3
