Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Industry (except construction),Hour,Austria,6.0
Annual,Industry (except construction),Hour,Belgium,10.8
Annual,Industry (except construction),Hour,Bulgaria,4.8
Annual,Industry (except construction),Hour,Cyprus,3.6
Annual,Industry (except construction),Hour,Czechia,8.7
Annual,Industry (except construction),Hour,Germany,7.8
Annual,Industry (except construction),Hour,Denmark,9.5
Annual,Industry (except construction),Hour,Estonia,3.5
Annual,Industry (except construction),Hour,Greece,3.6
Annual,Industry (except construction),Hour,Spain,7.4
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),7.7
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),7.2
Annual,Industry (except construction),Hour,Finland,7.6
Annual,Industry (except construction),Hour,France,9.0
Annual,Industry (except construction),Hour,Hungary,4.5
Annual,Industry (except construction),Hour,Ireland,8.4
Annual,Industry (except construction),Hour,Italy,6.7
Annual,Industry (except construction),Hour,Lithuania,5.5
Annual,Industry (except construction),Hour,Luxembourg,14.6
Annual,Industry (except construction),Hour,Latvia,4.4
Annual,Industry (except construction),Hour,Malta,11.9
Annual,Industry (except construction),Hour,Netherlands,8.9
Annual,Industry (except construction),Hour,Norway,11.0
Annual,Industry (except construction),Hour,Poland,5.5
Annual,Industry (except construction),Hour,Portugal,7.0
Annual,Industry (except construction),Hour,Romania,5.6
Annual,Industry (except construction),Hour,Sweden,14.8
Annual,Industry (except construction),Hour,Slovenia,10.4
Annual,Industry (except construction),Hour,Slovakia,11.1
Annual,Industry (except construction),Hour,United Kingdom,3.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Austria,5.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Belgium,10.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Bulgaria,5.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Cyprus,5.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Czechia,9.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Germany,7.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Denmark,9.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Estonia,5.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Greece,3.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Spain,7.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 27 countries (from 2020),7.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 28 countries (2013-2020),7.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Finland,6.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,France,8.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Hungary,4.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Ireland,8.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Italy,8.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Lithuania,5.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Luxembourg,11.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Latvia,4.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Malta,10.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Netherlands,9.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Norway,10.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Poland,6.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Portugal,7.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Romania,5.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Sweden,11.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovenia,9.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovakia,10.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,United Kingdom,3.7
Annual,Construction,Hour,Austria,2.6
Annual,Construction,Hour,Belgium,5.8
Annual,Construction,Hour,Bulgaria,3.3
Annual,Construction,Hour,Cyprus,2.5
Annual,Construction,Hour,Czechia,9.2
Annual,Construction,Hour,Germany,4.8
Annual,Construction,Hour,Denmark,7.7
Annual,Construction,Hour,Estonia,3.4
Annual,Construction,Hour,Greece,1.2
Annual,Construction,Hour,Spain,5.8
Annual,Construction,Hour,European Union - 27 countries (from 2020),5.7
Annual,Construction,Hour,European Union - 28 countries (2013-2020),5.4
Annual,Construction,Hour,Finland,6.4
Annual,Construction,Hour,France,6.6
Annual,Construction,Hour,Hungary,3.4
Annual,Construction,Hour,Ireland,6.1
Annual,Construction,Hour,Italy,4.8
Annual,Construction,Hour,Lithuania,3.8
Annual,Construction,Hour,Luxembourg,6.1
Annual,Construction,Hour,Latvia,3.1
Annual,Construction,Hour,Malta,5.1
Annual,Construction,Hour,Netherlands,9.3
Annual,Construction,Hour,Norway,7.0
Annual,Construction,Hour,Poland,4.4
Annual,Construction,Hour,Portugal,4.1
Annual,Construction,Hour,Romania,4.5
Annual,Construction,Hour,Sweden,5.3
Annual,Construction,Hour,Slovenia,3.5
Annual,Construction,Hour,Slovakia,6.2
Annual,Construction,Hour,United Kingdom,4.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Austria,5.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Belgium,10.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Bulgaria,6.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Cyprus,5.0
