Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Hour,Austria,3.7,5.8,5.3,5.5
Annual,From 10 to 49 persons employed,Hour,Belgium,8.9,9.5,10.8,6.2
Annual,From 10 to 49 persons employed,Hour,Bulgaria,7.1,7.8,8.2,5.7
Annual,From 10 to 49 persons employed,Hour,Cyprus,5.2,5.7,5.2,4.1
Annual,From 10 to 49 persons employed,Hour,Czechia,7.6,5.4,5.7 b,4.9
Annual,From 10 to 49 persons employed,Hour,Germany,7.6,5.4,6.2,5.3
Annual,From 10 to 49 persons employed,Hour,Denmark,10.2,20.6,6.6,4.5
Annual,From 10 to 49 persons employed,Hour,Estonia,5.2,4.8,5.4,5.6
Annual,From 10 to 49 persons employed,Hour,Greece,3.7,4.1,6.3,5.0
Annual,From 10 to 49 persons employed,Hour,Spain,7.1,5.1,5.2,2.7
Annual,From 10 to 49 persons employed,Hour,European Union - 27 countries (from 2020),6.9,6.6,6.6,6.5
Annual,From 10 to 49 persons employed,Hour,European Union - 28 countries (2013-2020),6.5,6.5,7.3,:
Annual,From 10 to 49 persons employed,Hour,Finland,6.8,6.4,5.5,5.4
Annual,From 10 to 49 persons employed,Hour,France,6.6,6.2,6.2,7.8
Annual,From 10 to 49 persons employed,Hour,Croatia,:,6.6,7.2,6.8
Annual,From 10 to 49 persons employed,Hour,Hungary,4.6,3.4,3.7,14.3 b
Annual,From 10 to 49 persons employed,Hour,Ireland,6.1,:,21.8,11.2
Annual,From 10 to 49 persons employed,Hour,Italy,6.7,5.2,6.3,10.7
Annual,From 10 to 49 persons employed,Hour,Lithuania,5.7,7.3,4.4,4.3
Annual,From 10 to 49 persons employed,Hour,Luxembourg,9.2,11.7,10.4,13.2
Annual,From 10 to 49 persons employed,Hour,Latvia,4.9,4.8,5.4,4.7
Annual,From 10 to 49 persons employed,Hour,North Macedonia,:,:,5.6,3.2
Annual,From 10 to 49 persons employed,Hour,Malta,12.1,8.3,7.5,5.7
Annual,From 10 to 49 persons employed,Hour,Netherlands,7.5,9.8,8.6,9.2
Annual,From 10 to 49 persons employed,Hour,Norway,9.4,7.9,8.7,9.5
Annual,From 10 to 49 persons employed,Hour,Poland,5.6,5.5,4.8,5.3
Annual,From 10 to 49 persons employed,Hour,Portugal,7.9,13.1,8.9,6.8
Annual,From 10 to 49 persons employed,Hour,Romania,5.3,5.9,7.7,5.3
Annual,From 10 to 49 persons employed,Hour,Serbia,:,:,:,3.1
Annual,From 10 to 49 persons employed,Hour,Sweden,8.1,10.5,6.7 b,6.2 b
Annual,From 10 to 49 persons employed,Hour,Slovenia,10.4,14.5,7.7,7.4
Annual,From 10 to 49 persons employed,Hour,Slovakia,8.8,7.6,6.8,6.4
Annual,From 10 to 49 persons employed,Hour,United Kingdom,4.6,6.0,11.0,:
Annual,From 50 to 249 persons employed,Hour,Austria,5.3,8.0,7.1,5.2
Annual,From 50 to 249 persons employed,Hour,Belgium,8.0,12.6,16.5,6.7
Annual,From 50 to 249 persons employed,Hour,Bulgaria,7.0,7.7,7.6,4.5
Annual,From 50 to 249 persons employed,Hour,Cyprus,4.5,6.3,5.2,3.4
Annual,From 50 to 249 persons employed,Hour,Czechia,8.0,5.6,7.0 b,5.0
Annual,From 50 to 249 persons employed,Hour,Germany,7.0,6.0,6.3,5.6
Annual,From 50 to 249 persons employed,Hour,Denmark,10.3,11.4,6.7,1.5
Annual,From 50 to 249 persons employed,Hour,Estonia,5.0,5.4,10.9,6.6
Annual,From 50 to 249 persons employed,Hour,Greece,3.8,2.3,4.2,5.3
Annual,From 50 to 249 persons employed,Hour,Spain,6.1,5.6,6.6,2.2
Annual,From 50 to 249 persons employed,Hour,European Union - 27 countries (from 2020),6.4,6.7,7.0,5.5
Annual,From 50 to 249 persons employed,Hour,European Union - 28 countries (2013-2020),6.0,6.6,7.2,:
Annual,From 50 to 249 persons employed,Hour,Finland,5.8,5.7,4.9,5.0
Annual,From 50 to 249 persons employed,Hour,France,6.2,6.3,7.2,6.7
Annual,From 50 to 249 persons employed,Hour,Croatia,:,4.2,6.3,6.2
Annual,From 50 to 249 persons employed,Hour,Hungary,3.0,2.7,2.4,3.0 b
Annual,From 50 to 249 persons employed,Hour,Ireland,7.4,:,12.0,12.5
Annual,From 50 to 249 persons employed,Hour,Italy,6.3,5.6,6.6,8.6
Annual,From 50 to 249 persons employed,Hour,Lithuania,4.8,8.1,4.0,5.6
Annual,From 50 to 249 persons employed,Hour,Luxembourg,7.8,10.4,12.3,9.9
Annual,From 50 to 249 persons employed,Hour,Latvia,3.7,3.9,5.5,3.8
Annual,From 50 to 249 persons employed,Hour,North Macedonia,:,:,4.2,2.3
Annual,From 50 to 249 persons employed,Hour,Malta,7.5,7.5,9.3,7.7
Annual,From 50 to 249 persons employed,Hour,Netherlands,7.5,9.5,8.6,8.9
Annual,From 50 to 249 persons employed,Hour,Norway,9.8,12.5,7.1,8.7
Annual,From 50 to 249 persons employed,Hour,Poland,5.2,5.1,4.5,4.2
Annual,From 50 to 249 persons employed,Hour,Portugal,6.4,14.2,8.3,7.1
Annual,From 50 to 249 persons employed,Hour,Romania,4.3,6.0,7.9,5.9
Annual,From 50 to 249 persons employed,Hour,Serbia,:,:,:,2.7
Annual,From 50 to 249 persons employed,Hour,Sweden,8.1,7.1,7.1 b,6.2 b
Annual,From 50 to 249 persons employed,Hour,Slovenia,7.8,14.3,6.9,7.2
Annual,From 50 to 249 persons employed,Hour,Slovakia,6.9,10.0,6.9,6.0
Annual,From 50 to 249 persons employed,Hour,United Kingdom,4.2,6.1,8.7,:
Annual,250 persons employed or more,Hour,Austria,7.2,7.0,7.9,4.8
Annual,250 persons employed or more,Hour,Belgium,12.6,16.2,14.4,8.4
Annual,250 persons employed or more,Hour,Bulgaria,5.3,6.6,8.4,6.2
Annual,250 persons employed or more,Hour,Cyprus,6.2,9.2,7.0,7.4
Annual,250 persons employed or more,Hour,Czechia,10.5,6.7,8.1 b,6.4
Annual,250 persons employed or more,Hour,Germany,7.5,7.3,6.5,13.0
Annual,250 persons employed or more,Hour,Denmark,9.4,9.1,10.5,3.4
Annual,250 persons employed or more,Hour,Estonia,4.9,8.1,14.6,5.4
Annual,250 persons employed or more,Hour,Greece,3.7,3.6,8.0,3.2
Annual,250 persons employed or more,Hour,Spain,8.9,8.7,9.8,3.5
Annual,250 persons employed or more,Hour,European Union - 27 countries (from 2020),8.8,8.5,8.8,9.0
Annual,250 persons employed or more,Hour,European Union - 28 countries (2013-2020),7.5,7.6,7.8,:
Annual,250 persons employed or more,Hour,Finland,7.5,7.6,6.1,4.9
Annual,250 persons employed or more,Hour,France,10.8,10.7,11.1,8.9
Annual,250 persons employed or more,Hour,Croatia,:,1.0,5.7,5.0
Annual,250 persons employed or more,Hour,Hungary,6.0,6.6,5.6,5.8 b
Annual,250 persons employed or more,Hour,Ireland,9.1,:,13.2,10.9
Annual,250 persons employed or more,Hour,Italy,9.0,10.0,9.8,11.2
Annual,250 persons employed or more,Hour,Lithuania,5.5,4.8,4.7,5.4
Annual,250 persons employed or more,Hour,Luxembourg,14.1,14.6,15.5,9.2
Annual,250 persons employed or more,Hour,Latvia,4.3,3.6,5.5,4.1
Annual,250 persons employed or more,Hour,North Macedonia,:,:,4.1,5.3
Annual,250 persons employed or more,Hour,Malta,11.5,17.6,16.8,8.2
Annual,250 persons employed or more,Hour,Netherlands,11.5,11.1,10.9,13.8
Annual,250 persons employed or more,Hour,Norway,11.8,9.0,8.0,10.4
Annual,250 persons employed or more,Hour,Poland,7.0,8.1,9.6,5.9
Annual,250 persons employed or more,Hour,Portugal,7.1,15.3,12.4,8.3
Annual,250 persons employed or more,Hour,Romania,5.7,8.7,9.1,8.8
Annual,250 persons employed or more,Hour,Serbia,:,:,:,4.4
Annual,250 persons employed or more,Hour,Sweden,14.1,6.5,8.3 b,7.6 b
Annual,250 persons employed or more,Hour,Slovenia,10.3,11.8,11.8,8.3
Annual,250 persons employed or more,Hour,Slovakia,12.2,10.3,8.9,7.3
Annual,250 persons employed or more,Hour,United Kingdom,3.4,4.2,4.2,:
Annual,Total,Hour,Austria,5.9,7.0,7.0,5.1
Annual,Total,Hour,Belgium,10.8,13.8,14.1,7.5
Annual,Total,Hour,Bulgaria,5.9,7.1,8.1,5.7
Annual,Total,Hour,Cyprus,5.3,7.3,5.8,5.2
Annual,Total,Hour,Czechia,9.2,6.1,7.2 b,5.7
Annual,Total,Hour,Germany,7.4,6.8,6.4,10.1
Annual,Total,Hour,Denmark,9.8,12.0,8.7,2.5
Annual,Total,Hour,Estonia,5.0,6.2,10.8,5.9
Annual,Total,Hour,Greece,3.7,3.4,6.9,3.8
Annual,Total,Hour,Spain,7.8,6.9,7.7,3.0
Annual,Total,Hour,European Union - 27 countries (from 2020),7.9,7.7,7.9,7.6
Annual,Total,Hour,European Union - 28 countries (2013-2020),7.0,7.2,7.6,:
Annual,Total,Hour,Finland,6.9,6.9,5.6,5.0
Annual,Total,Hour,France,8.8,8.8,9.1,8.1
Annual,Total,Hour,Croatia,:,1.8,6.1,5.5
Annual,Total,Hour,Hungary,4.9,5.0,4.6,6.3 b
Annual,Total,Hour,Ireland,8.1,:,14.7,11.4
Annual,Total,Hour,Italy,8.0,7.6,8.2,10.5
Annual,Total,Hour,Lithuania,5.3,6.3,4.4,5.3
Annual,Total,Hour,Luxembourg,11.3,12.7,13.4,10.3
Annual,Total,Hour,Latvia,4.2,3.9,5.5,4.1
Annual,Total,Hour,North Macedonia,:,:,4.5,4.0
Annual,Total,Hour,Malta,10.5,12.5,12.1,7.6
Annual,Total,Hour,Netherlands,9.5,10.4,9.9,11.8
Annual,Total,Hour,Norway,10.1,9.5,7.9,9.7
Annual,Total,Hour,Poland,6.4,7.3,7.8,5.5
Annual,Total,Hour,Portugal,7.0,14.4,10.2,7.6
Annual,Total,Hour,Romania,5.4,8.0,8.7,8.1
Annual,Total,Hour,Serbia,:,:,:,3.7
Annual,Total,Hour,Sweden,11.3,7.8,7.6 b,6.9 b
Annual,Total,Hour,Slovenia,9.6,13.0,9.3,7.8
Annual,Total,Hour,Slovakia,10.4,9.7,8.0,6.9
Annual,Total,Hour,United Kingdom,3.7,4.8,6.1,:
