Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Industry (except construction),Hour,Austria,11.1,12.0,7.5
Annual,Industry (except construction),Hour,Belgium,22.2,23.1,16.1
Annual,Industry (except construction),Hour,Bulgaria,10.7,15.1,10.3
Annual,Industry (except construction),Hour,Cyprus,10.1,6.6,3.5
Annual,Industry (except construction),Hour,Czechia,9.8,11.2 b,8.3
Annual,Industry (except construction),Hour,Germany,11.1,12.0,8.4
Annual,Industry (except construction),Hour,Denmark,20.3,9.6,8.4
Annual,Industry (except construction),Hour,Estonia,8.8,27.0,7.1
Annual,Industry (except construction),Hour,Greece,6.6,7.8,7.8
Annual,Industry (except construction),Hour,Spain,11.9,14.0,5.6
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),12.5,13.2,9.6
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),11.9,13.0,:
Annual,Industry (except construction),Hour,Finland,11.6,8.9,7.4
Annual,Industry (except construction),Hour,France,16.0,15.8,12.0
Annual,Industry (except construction),Hour,Croatia,7.4,10.9,9.0
Annual,Industry (except construction),Hour,Hungary,7.5,6.7,5.3 b
Annual,Industry (except construction),Hour,Ireland,:,34.9,13.2
Annual,Industry (except construction),Hour,Italy,8.9,11.3,11.1
Annual,Industry (except construction),Hour,Lithuania,7.8,8.1,7.7
Annual,Industry (except construction),Hour,Luxembourg,23.6,24.8,8.8
Annual,Industry (except construction),Hour,Latvia,7.0,7.2,4.6
Annual,Industry (except construction),Hour,North Macedonia,:,6.6,9.4
Annual,Industry (except construction),Hour,Malta,22.5,26.4,19.3
Annual,Industry (except construction),Hour,Netherlands,17.0,17.0,14.0
Annual,Industry (except construction),Hour,Norway,13.8,11.0,13.7
Annual,Industry (except construction),Hour,Poland,11.6,11.3,8.2
Annual,Industry (except construction),Hour,Portugal,24.3,17.0,12.5
Annual,Industry (except construction),Hour,Romania,14.6,16.5,13.2
Annual,Industry (except construction),Hour,Serbia,:,:,8.7
Annual,Industry (except construction),Hour,Sweden,11.1,11.4 b,9.1 b
Annual,Industry (except construction),Hour,Slovenia,25.5,19.1,12.1
Annual,Industry (except construction),Hour,Slovakia,15.2,11.5,8.8
Annual,Industry (except construction),Hour,United Kingdom,6.5,11.2,:
Annual,Construction,Hour,Austria,8.6,8.8,7.4
Annual,Construction,Hour,Belgium,12.4,13.4,9.9
Annual,Construction,Hour,Bulgaria,12.2,6.5,3.6
Annual,Construction,Hour,Cyprus,4.2,4.4,3.6
Annual,Construction,Hour,Czechia,11.0,14.7 b,10.8
Annual,Construction,Hour,Germany,7.2,8.6,8.3
Annual,Construction,Hour,Denmark,62.5,7.0,4.8
Annual,Construction,Hour,Estonia,13.5,8.3,7.7
Annual,Construction,Hour,Greece,3.3,4.0,2.7
Annual,Construction,Hour,Spain,12.7,12.0,5.7
Annual,Construction,Hour,European Union - 27 countries (from 2020),11.7,10.7,9.6
Annual,Construction,Hour,European Union - 28 countries (2013-2020),12.1,11.8,:
Annual,Construction,Hour,Finland,10.1,8.5,6.1
Annual,Construction,Hour,France,12.0,11.3,10.6
Annual,Construction,Hour,Croatia,7.1,5.9,4.3
Annual,Construction,Hour,Hungary,7.7,6.8,5.0 b
Annual,Construction,Hour,Ireland,:,29.5,13.9
Annual,Construction,Hour,Italy,8.0,11.0,16.3
Annual,Construction,Hour,Lithuania,8.3,5.5,6.8
Annual,Construction,Hour,Luxembourg,17.7,11.0,10.0
Annual,Construction,Hour,Latvia,5.2,13.9,6.5
Annual,Construction,Hour,North Macedonia,:,3.0,1.8
Annual,Construction,Hour,Malta,1.5,2.5,3.0
Annual,Construction,Hour,Netherlands,15.5,16.3,18.5
Annual,Construction,Hour,Norway,10.6,12.1,13.5
Annual,Construction,Hour,Poland,8.5,9.6,6.9
Annual,Construction,Hour,Portugal,19.1,16.6,9.3
Annual,Construction,Hour,Romania,8.3,8.5,5.4
Annual,Construction,Hour,Serbia,:,:,3.2
