Time frequency,n_action,unit,geo\TIME_PERIOD,2003.0
Annual,0.0,PC,AT,74.7
Annual,0.0,PC,BE,78.8
Annual,0.0,PC,CY,78.8
Annual,0.0,PC,CZ,84.9
Annual,0.0,PC,DE,87.3
Annual,0.0,PC,DK,52.9
Annual,0.0,PC,EE,85.2
Annual,0.0,PC,EL,95.1
Annual,0.0,PC,ES,87.8
Annual,0.0,PC,EU25,82.4
Annual,0.0,PC,FI,57.2
Annual,0.0,PC,FR,79.9
Annual,0.0,PC,HU,95.0
Annual,0.0,PC,IE,55.9
Annual,0.0,PC,IT,94.9
Annual,0.0,PC,LT,91.6
Annual,0.0,PC,LU,84.1
Annual,0.0,PC,LV,86.6
Annual,0.0,PC,NL,89.0
Annual,0.0,PC,PT,77.6
Annual,0.0,PC,SE,52.0
Annual,0.0,PC,UK,65.3
Annual,0.0,THS,AT,3324.0
Annual,0.0,THS,BE,4367.0
Annual,0.0,THS,CY,293.0
Annual,0.0,THS,CZ,4906.0
Annual,0.0,THS,DE,39812.0
Annual,0.0,THS,DK,1569.0
Annual,0.0,THS,EE,604.0
Annual,0.0,THS,EL,5510.0
Annual,0.0,THS,ES,20379.0
Annual,0.0,THS,EU25,180015.0
Annual,0.0,THS,FI,1621.0
Annual,0.0,THS,FR,24467.0
Annual,0.0,THS,HU,5225.0
Annual,0.0,THS,IE,1151.0
Annual,0.0,THS,IT,30635.0
Annual,0.0,THS,LT,1639.0
Annual,0.0,THS,LU,208.0
Annual,0.0,THS,LV,1071.0
Annual,0.0,THS,NL,8005.0
Annual,0.0,THS,PT,4397.0
Annual,0.0,THS,SE,2469.0
Annual,0.0,THS,UK,18358.0
Annual,1.0,PC,AT,15.4
Annual,1.0,PC,BE,12.5
Annual,1.0,PC,CY,12.0
Annual,1.0,PC,CZ,10.6
Annual,1.0,PC,DE,7.8
Annual,1.0,PC,DK,22.3
Annual,1.0,PC,EE,9.3
Annual,1.0,PC,EL,4.6
Annual,1.0,PC,ES,7.9
Annual,1.0,PC,EU25,9.9
Annual,1.0,PC,FI,23.6
Annual,1.0,PC,FR,14.4
Annual,1.0,PC,HU,4.4
Annual,1.0,PC,IE,11.0
Annual,1.0,PC,IT,3.1
Annual,1.0,PC,LT,5.6
Annual,1.0,PC,LU,13.7
Annual,1.0,PC,LV,10.5
Annual,1.0,PC,NL,10.9
Annual,1.0,PC,PT,7.0
Annual,1.0,PC,SE,22.2
Annual,1.0,PC,UK,14.3
Annual,1.0,THS,AT,686.0
Annual,1.0,THS,BE,691.0
Annual,1.0,THS,CY,45.0
Annual,1.0,THS,CZ,611.0
Annual,1.0,THS,DE,3564.0
Annual,1.0,THS,DK,661.0
Annual,1.0,THS,EE,66.0
Annual,1.0,THS,EL,267.0
Annual,1.0,THS,ES,1829.0
Annual,1.0,THS,EU25,21686.0
Annual,1.0,THS,FI,669.0
Annual,1.0,THS,FR,4400.0
Annual,1.0,THS,HU,242.0
Annual,1.0,THS,IE,227.0
Annual,1.0,THS,IT,1016.0
Annual,1.0,THS,LT,100.0
Annual,1.0,THS,LU,34.0
Annual,1.0,THS,LV,130.0
Annual,1.0,THS,NL,977.0
Annual,1.0,THS,PT,398.0
Annual,1.0,THS,SE,1055.0
Annual,1.0,THS,UK,4017.0
Annual,2.0,PC,AT,4.6
Annual,2.0,PC,BE,3.3
Annual,2.0,PC,CY,4.6
Annual,2.0,PC,CZ,1.6
Annual,2.0,PC,DE,2.1
Annual,2.0,PC,DK,11.3
Annual,2.0,PC,EE,2.7
Annual,2.0,PC,EL,0.2
Annual,2.0,PC,ES,1.6
Annual,2.0,PC,EU25,3.0
Annual,2.0,PC,FI,8.9
Annual,2.0,PC,FR,3.4
Annual,2.0,PC,HU,0.3
Annual,2.0,PC,IE,1.7
Annual,2.0,PC,IT,0.9
Annual,2.0,PC,LT,1.2
Annual,2.0,PC,LU,1.5
Annual,2.0,PC,LV,1.6
Annual,2.0,PC,NL,0.1
Annual,2.0,PC,PT,1.4
Annual,2.0,PC,SE,11.0
Annual,2.0,PC,UK,7.6
Annual,2.0,THS,AT,203.0
Annual,2.0,THS,BE,184.0
Annual,2.0,THS,CY,17.0
Annual,2.0,THS,CZ,91.0
Annual,2.0,THS,DE,962.0
Annual,2.0,THS,DK,334.0
Annual,2.0,THS,EE,19.0
Annual,2.0,THS,EL,11.0
Annual,2.0,THS,ES,380.0
