Time frequency,Taught activities during paid working hours,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,During paid hours,Percentage,Austria,47.9
Annual,During paid hours,Percentage,Belgium,68.7
Annual,During paid hours,Percentage,Bulgaria,49.2
Annual,During paid hours,Percentage,Switzerland,57.4
Annual,During paid hours,Percentage,Cyprus,49.1
Annual,During paid hours,Percentage,Czechia,63.1
Annual,During paid hours,Percentage,Denmark,79.4
Annual,During paid hours,Percentage,Estonia,66.3
Annual,During paid hours,Percentage,Greece,40.4
Annual,During paid hours,Percentage,Spain,38.0
Annual,During paid hours,Percentage,European Union - 25 countries (2004-2006),69.3
Annual,During paid hours,Percentage,Finland,70.1
Annual,During paid hours,Percentage,France,87.4
Annual,During paid hours,Percentage,Hungary,36.9
Annual,During paid hours,Percentage,Ireland,63.1
Annual,During paid hours,Percentage,Italy,56.5
Annual,During paid hours,Percentage,Lithuania,76.0
Annual,During paid hours,Percentage,Luxembourg,70.0
Annual,During paid hours,Percentage,Latvia,58.6
Annual,During paid hours,Percentage,Malta,59.7
Annual,During paid hours,Percentage,Netherlands,54.8
Annual,During paid hours,Percentage,Norway,78.9
Annual,During paid hours,Percentage,Poland,59.4
Annual,During paid hours,Percentage,Portugal,58.5
Annual,During paid hours,Percentage,Romania,34.0
Annual,During paid hours,Percentage,Sweden,82.3
Annual,During paid hours,Percentage,Slovenia,53.1
Annual,During paid hours,Percentage,Slovakia,86.3
Annual,During paid hours,Percentage,United Kingdom,70.3
Annual,During paid hours,Thousand,Austria,515.0
Annual,During paid hours,Thousand,Belgium,663.0
Annual,During paid hours,Thousand,Bulgaria,21.0
Annual,During paid hours,Thousand,Switzerland,816.0
Annual,During paid hours,Thousand,Cyprus,36.0
Annual,During paid hours,Thousand,Czechia,444.0
Annual,During paid hours,Thousand,Denmark,948.0
Annual,During paid hours,Thousand,Estonia,64.0
Annual,During paid hours,Thousand,Greece,90.0
Annual,During paid hours,Thousand,Spain,690.0
Annual,During paid hours,Thousand,European Union - 25 countries (2004-2006),21216.0
Annual,During paid hours,Thousand,Finland,819.0
Annual,During paid hours,Thousand,France,4705.0
Annual,During paid hours,Thousand,Hungary,73.0
Annual,During paid hours,Thousand,Ireland,154.0
Annual,During paid hours,Thousand,Italy,825.0
Annual,During paid hours,Thousand,Lithuania,91.0
Annual,During paid hours,Thousand,Luxembourg,24.0
Annual,During paid hours,Thousand,Latvia,87.0
Annual,During paid hours,Thousand,Malta,10.0
Annual,During paid hours,Thousand,Netherlands,439.0
Annual,During paid hours,Thousand,Norway,545.0
Annual,During paid hours,Thousand,Poland,1022.0
Annual,During paid hours,Thousand,Portugal,269.0
Annual,During paid hours,Thousand,Romania,22.0
Annual,During paid hours,Thousand,Sweden,1772.0
Annual,During paid hours,Thousand,Slovenia,126.0
Annual,During paid hours,Thousand,Slovakia,473.0
Annual,During paid hours,Thousand,United Kingdom,6874.0
Annual,Outside paid hours,Percentage,Austria,52.1
Annual,Outside paid hours,Percentage,Belgium,31.3
Annual,Outside paid hours,Percentage,Bulgaria,50.8
Annual,Outside paid hours,Percentage,Switzerland,42.6
Annual,Outside paid hours,Percentage,Cyprus,50.9
Annual,Outside paid hours,Percentage,Czechia,36.9
Annual,Outside paid hours,Percentage,Denmark,20.6
Annual,Outside paid hours,Percentage,Estonia,33.7
Annual,Outside paid hours,Percentage,Greece,59.6
Annual,Outside paid hours,Percentage,Spain,62.0
Annual,Outside paid hours,Percentage,European Union - 25 countries (2004-2006),30.7
Annual,Outside paid hours,Percentage,Finland,29.9
Annual,Outside paid hours,Percentage,France,12.6
Annual,Outside paid hours,Percentage,Hungary,63.1
Annual,Outside paid hours,Percentage,Ireland,36.9
Annual,Outside paid hours,Percentage,Italy,43.5
Annual,Outside paid hours,Percentage,Lithuania,24.0
Annual,Outside paid hours,Percentage,Luxembourg,30.0
Annual,Outside paid hours,Percentage,Latvia,41.4
Annual,Outside paid hours,Percentage,Malta,40.3
Annual,Outside paid hours,Percentage,Netherlands,45.2
Annual,Outside paid hours,Percentage,Norway,21.1
Annual,Outside paid hours,Percentage,Poland,40.6
Annual,Outside paid hours,Percentage,Portugal,41.5
Annual,Outside paid hours,Percentage,Romania,66.0
Annual,Outside paid hours,Percentage,Sweden,17.7
Annual,Outside paid hours,Percentage,Slovenia,46.9
Annual,Outside paid hours,Percentage,Slovakia,13.7
Annual,Outside paid hours,Percentage,United Kingdom,29.7
Annual,Outside paid hours,Thousand,Austria,560.0
Annual,Outside paid hours,Thousand,Belgium,302.0
Annual,Outside paid hours,Thousand,Bulgaria,22.0
Annual,Outside paid hours,Thousand,Switzerland,605.0
Annual,Outside paid hours,Thousand,Cyprus,37.0
Annual,Outside paid hours,Thousand,Czechia,260.0
Annual,Outside paid hours,Thousand,Denmark,247.0
Annual,Outside paid hours,Thousand,Estonia,33.0
Annual,Outside paid hours,Thousand,Greece,133.0
Annual,Outside paid hours,Thousand,Spain,1127.0
Annual,Outside paid hours,Thousand,European Union - 25 countries (2004-2006),9402.0
Annual,Outside paid hours,Thousand,Finland,350.0
Annual,Outside paid hours,Thousand,France,677.0
Annual,Outside paid hours,Thousand,Hungary,124.0
Annual,Outside paid hours,Thousand,Ireland,90.0
Annual,Outside paid hours,Thousand,Italy,636.0
Annual,Outside paid hours,Thousand,Lithuania,29.0
Annual,Outside paid hours,Thousand,Luxembourg,10.0
Annual,Outside paid hours,Thousand,Latvia,61.0
Annual,Outside paid hours,Thousand,Malta,7.0
Annual,Outside paid hours,Thousand,Netherlands,362.0
Annual,Outside paid hours,Thousand,Norway,146.0
Annual,Outside paid hours,Thousand,Poland,698.0
Annual,Outside paid hours,Thousand,Portugal,191.0
Annual,Outside paid hours,Thousand,Romania,43.0
Annual,Outside paid hours,Thousand,Sweden,381.0
Annual,Outside paid hours,Thousand,Slovenia,112.0
Annual,Outside paid hours,Thousand,Slovakia,75.0
Annual,Outside paid hours,Thousand,United Kingdom,2900.0
