Time frequency,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Austria,2.07 e,2.11,2.22 e,2.19,2.2 e,2.15,2.17 e,2.21,2.23 e,2.24,2.19 e,2.27 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Bosnia and Herzegovina,0.16,0.19,0.05,:,:,:,:,0.07,0.08,0.07,:,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Belgium,1.59,1.61,1.65,1.7,1.74,1.88,2.05,2.32,2.49,2.54,2.43 e,2.46 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Bulgaria,0.36,0.39,0.52,0.7,0.56,0.52,0.54,0.56,0.57,0.51,0.51,0.51 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Switzerland,1.99,:,:,2.09,:,2.06,:,2.16,:,2.25,:,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,China except Hong Kong,1.46,1.53,1.56,1.58,1.63,1.64,1.66,1.72,1.84,1.87,1.98,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Cyprus,0.07,0.09,0.11,0.11,0.19,0.2,0.25,0.3,0.37,0.33,0.29,0.28 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Czechia,0.93,1.0,1.07,1.04,1.01,1.1,1.16,1.17,1.19,1.21,1.21,1.19 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Germany,1.92,1.87,1.91,1.98,1.97,2.06,2.1,2.15,2.06,2.06,2.07,2.12 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Denmark,1.96,1.88,1.86,1.94,2.02,1.86,1.88,1.85 p,1.83,1.7 p,1.76,1.83 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Euro area - 19 countries  (2015-2022),1.33 e,1.35 e,1.37 e,1.38,1.39 e,1.43,1.46 e,1.49,1.52 e,1.49,1.49 e,1.49 e
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Euro area – 20 countries (from 2023),1.32 e,1.34 e,1.36 e,1.37,1.38 e,1.43,1.46 e,1.49,1.51 e,1.49,1.48 e,1.49 e
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Estonia,1.21,0.81,0.61,0.66,0.63,0.59,0.59,0.85,0.95,0.98,0.99,1.06
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Greece,0.25,0.27,0.29,0.32,0.42,0.56,0.58,0.58,0.69,0.67,0.72,0.74 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Spain,0.68,0.67,0.65,0.64,0.63,0.66,0.7,0.7,0.78,0.78,0.79,0.84 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,European Union - 27 countries (from 2020),1.31 e,1.33 e,1.34 e,1.36 e,1.38 e,1.42 e,1.44 e,1.47 e,1.5 e,1.48 e,1.47 e,1.47 e
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Finland,2.34,2.26,2.14,1.93,1.81,1.79,1.82,1.85,1.96,2.07,2.03,2.09
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,France,1.44,1.44,1.45,1.44,1.45,1.44,1.44,1.45,1.49,1.45,1.47,1.44 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Croatia,0.34,0.4,0.37,0.42,0.39,0.41,0.45,0.53,0.59,0.58,0.77,0.76 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Hungary,0.83 d,0.96 d,0.96 d,0.98 d,0.87 d,0.96 d,1.14 bd,1.1 d,1.21 d,1.23 d,1.0,1.01
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Ireland,1.11 e,1.1,1.05,0.82,0.83,0.9,0.83 e,0.9,0.89 e,0.86,:,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Iceland,:,0.95 b,1.18,1.44,1.36,1.34,1.29,1.61,1.69,1.99,1.88,1.87
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Italy,0.68,0.71,0.75,0.77,0.83 b,0.85,0.9,0.92,0.93,0.85,0.81,0.76 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Japan,2.43,2.49,2.62,2.54,2.45,2.49,2.56,2.55,2.57,2.57,2.7,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,South Korea,2.87,2.96,3.04,2.94,2.94,3.23,3.43,3.5,3.58,3.64,3.85,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Lithuania,0.24,0.24,0.32,0.29,0.3,0.33,0.39,0.43,0.53,0.54,0.53,0.44 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Luxembourg,0.67 b,0.65,0.64,0.66,0.7,0.69,0.62,0.64,0.55,0.53,0.51,0.48 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Latvia,0.16,0.18,0.25,0.16,0.11,0.14,0.16,0.17,0.26,0.29,0.29,0.3
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Montenegro,:,0.18,0.14,0.11,0.05,0.07,0.19,0.05,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,North Macedonia,:,:,:,0.08,0.1,0.09,0.11,0.1,0.1,:,0.1,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Malta,0.46,0.38,0.37,0.36,0.33,0.34,0.34,0.34,0.38,0.39,0.36,0.34
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Netherlands,1.08 b,1.4 b,1.39,1.36,1.39,1.42,1.4,1.43,1.51,1.46,1.49 b,1.44 e
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Norway,0.84,0.86,0.92,1.04,1.08,1.1,1.05,1.13,1.22,1.02,0.86,1.05 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Poland,0.33,0.38,0.44,0.46,0.63,0.66,0.79,0.82,0.86,0.89,0.95,1.01 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Portugal,0.68,0.63,0.6,0.58,0.62,0.67,0.69,0.73,0.92,0.99,1.05,1.06 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Romania,0.18,0.12,0.16,0.21,0.27,0.29,0.29,0.27,0.27,0.28,0.29,0.32 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Serbia,0.2,0.09,0.21 b,0.25,0.3,0.31,0.34,0.34,0.34,0.43,0.4,0.38
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Russia,0.6,0.62,0.64,0.65,:,0.67,0.55,0.63,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Sweden,2.2 e,2.26,2.09 e,2.26,2.27 e,2.42,2.37,2.44,2.53,2.47,2.56,2.65 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Slovenia,1.96,1.99,1.85,1.69,1.54,1.41,1.46,1.52,1.58,1.57,1.48,1.47 p
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Slovakia,0.33,0.38,0.32,0.32,0.4,0.48,0.45,0.45,0.48,0.5,0.56,0.58
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,Türkiye,0.37,0.39,0.43,0.48,0.56,0.59,0.67,0.74,0.76,0.86,0.81,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,United Kingdom,1.0,1.04,1.07,1.09,1.11,1.14,1.17,1.19 p,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Business enterprise sector,United States,1.86 d,1.91 d,1.94 d,2.01 b,2.08 b,2.12,2.22,2.36,2.6,2.71 b,2.83 p,:
Annual,Percentage of gross domestic product (GDP),Government sector,Austria,0.13 e,0.13,0.14 e,0.14,0.22 e,0.22,0.22 e,0.23,0.24 e,0.25,0.24 e,0.25 p
Annual,Percentage of gross domestic product (GDP),Government sector,Bosnia and Herzegovina,0.04,0.02,0.05,:,:,:,:,0.01,0.01,0.01,:,:
Annual,Percentage of gross domestic product (GDP),Government sector,Belgium,0.19 b,0.2,0.21,0.22,0.24,0.25,0.26,0.28,0.3,0.29,0.29 e,0.31 p
Annual,Percentage of gross domestic product (GDP),Government sector,Bulgaria,0.18,0.19,0.2,0.2,0.16,0.17,0.17,0.21,0.22,0.21,0.19,0.23 p
Annual,Percentage of gross domestic product (GDP),Government sector,Switzerland,0.02,:,0.03,0.03,:,0.03,:,0.03,:,0.03,0.03,:
Annual,Percentage of gross domestic product (GDP),Government sector,China except Hong Kong,0.31,0.32,0.32,0.33,0.33,0.32,0.32,0.35,0.38,0.37,0.37,:
Annual,Percentage of gross domestic product (GDP),Government sector,Cyprus,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04 p
Annual,Percentage of gross domestic product (GDP),Government sector,Czechia,0.34,0.36,0.37,0.39,0.3,0.3,0.31,0.31,0.33,0.32,0.3,0.29 p
Annual,Percentage of gross domestic product (GDP),Government sector,Germany,0.4 d,0.41 d,0.41 d,0.4 d,0.4 d,0.4 d,0.41 d,0.42 d,0.45 d,0.46 d,0.37 b,0.38 p
Annual,Percentage of gross domestic product (GDP),Government sector,Denmark,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09 p,0.1,0.09 p,0.09,0.09 p
Annual,Percentage of gross domestic product (GDP),Government sector,Euro area - 19 countries  (2015-2022),0.28 e,0.27 e,0.27 e,0.27 e,0.27 e,0.26 e,0.27 e,0.27 e,0.29 e,0.28 e,0.25 e,0.26 e
Annual,Percentage of gross domestic product (GDP),Government sector,Euro area – 20 countries (from 2023),0.28 e,0.27 e,0.27 e,0.27 e,0.26 e,0.26 e,0.27 e,0.27 e,0.29 e,0.28 e,0.25 e,0.26 e
Annual,Percentage of gross domestic product (GDP),Government sector,Estonia,0.2,0.15,0.15,0.16,0.14,0.15,0.16,0.16,0.17,0.16,0.18,0.16
Annual,Percentage of gross domestic product (GDP),Government sector,Greece,0.18,0.23,0.23,0.27,0.25,0.25,0.27,0.28,0.32,0.32,0.31,0.31 p
Annual,Percentage of gross domestic product (GDP),Government sector,Spain,0.25,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.24,0.24,0.24,0.27 p
Annual,Percentage of gross domestic product (GDP),Government sector,European Union - 27 countries (from 2020),0.27 e,0.26 e,0.26 e,0.26 e,0.24 e,0.24 e,0.25 e,0.25 e,0.27 e,0.26 e,0.24 e,0.24 e
Annual,Percentage of gross domestic product (GDP),Government sector,Finland,0.31,0.29,0.27,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.23
Annual,Percentage of gross domestic product (GDP),Government sector,France,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25 p
Annual,Percentage of gross domestic product (GDP),Government sector,Croatia,0.2 d,0.2 d,0.2 d,0.2 d,0.18 d,0.19 d,0.19 d,0.2 d,0.25 d,0.26,0.25,0.24 p
Annual,Percentage of gross domestic product (GDP),Government sector,Hungary,0.18 d,0.21 d,0.18 d,0.18 d,0.16 d,0.17 d,0.16 bd,0.15 d,0.16 d,0.17 d,0.17,0.15
Annual,Percentage of gross domestic product (GDP),Government sector,Ireland,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.04
Annual,Percentage of gross domestic product (GDP),Government sector,Iceland,:,0.12 b,0.12,0.1,0.1,0.09,0.08,0.08,0.09,0.08,0.07,0.06
Annual,Percentage of gross domestic product (GDP),Government sector,Italy,0.19,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.2,0.2,0.19,0.19 p
Annual,Percentage of gross domestic product (GDP),Government sector,Japan,0.27,0.3,0.28,0.26,0.23,0.25,0.25,0.25,0.27,0.27,0.27,:
Annual,Percentage of gross domestic product (GDP),Government sector,South Korea,0.41,0.41,0.44,0.44,0.44,0.44,0.43,0.44,0.46,0.45,0.45,:
Annual,Percentage of gross domestic product (GDP),Government sector,Lithuania,0.18,0.19,0.18,0.18,0.22,0.25,0.21,0.2,0.18,0.17,0.15,0.16 p
Annual,Percentage of gross domestic product (GDP),Government sector,Luxembourg,0.34,0.36,0.36,0.36,0.32,0.3,0.31,0.28,0.28 e,0.25,0.27,0.27 p
Annual,Percentage of gross domestic product (GDP),Government sector,Latvia,0.19,0.18,0.17,0.16,0.14,0.14,0.15,0.12,0.13,0.14,0.14,0.16
Annual,Percentage of gross domestic product (GDP),Government sector,Montenegro,:,0.06 d,0.08 d,0.07,0.07,0.1,0.13,0.18,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Government sector,North Macedonia,:,:,:,0.06,0.05,0.04,0.04,0.03,0.04,:,0.03,:
Annual,Percentage of gross domestic product (GDP),Government sector,Malta,0.06,0.07,0.07,0.12,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01
Annual,Percentage of gross domestic product (GDP),Government sector,Netherlands,0.23 bd,0.13 bd,0.13 d,0.13 d,0.13 d,0.12 d,0.12 d,0.12 d,0.13 d,0.12 d,0.1 bd,0.1 de
Annual,Percentage of gross domestic product (GDP),Government sector,Norway,0.26,0.26,0.26,0.29,0.29,0.28,0.28,0.27,0.28,0.25,0.19,0.22
Annual,Percentage of gross domestic product (GDP),Government sector,Poland,0.25,0.24,0.23,0.24,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03 p
Annual,Percentage of gross domestic product (GDP),Government sector,Portugal,0.07,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.08 p
Annual,Percentage of gross domestic product (GDP),Government sector,Romania,0.19,0.19,0.16,0.19,0.16,0.16,0.15,0.15,0.15,0.14,0.13,0.14 p
Annual,Percentage of gross domestic product (GDP),Government sector,Serbia,0.24,0.22,0.17 b,0.21,0.21,0.23,0.25,0.22,0.25,0.25,0.24,0.23
Annual,Percentage of gross domestic product (GDP),Government sector,Russia,0.33,0.31,0.33,0.34,:,0.34,0.34,0.29,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Government sector,Sweden,0.16 e,0.12 e,0.12 e,0.11,0.11 e,0.12,0.12,0.15 b,0.15,0.15,0.15,0.15 p
Annual,Percentage of gross domestic product (GDP),Government sector,Slovenia,0.34,0.34,0.29,0.3,0.27,0.26,0.27,0.28,0.3,0.29,0.33,0.35 p
Annual,Percentage of gross domestic product (GDP),Government sector,Slovakia,0.19 d,0.17 d,0.25 d,0.32,0.17,0.18,0.18,0.16,0.18,0.17,0.17,0.19
Annual,Percentage of gross domestic product (GDP),Government sector,Türkiye,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.07,0.07,0.06,0.06,:
Annual,Percentage of gross domestic product (GDP),Government sector,United Kingdom,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.12 p,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Government sector,United States,0.33 d,0.31 d,0.31 d,0.3 d,0.28 d,0.28 d,0.29 d,0.3 d,0.32 d,0.29 d,0.29 dp,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,Austria,0.72 e,0.72,0.74 e,0.72,0.7 e,0.69,0.7 e,0.69,0.72 e,0.75,0.73 e,0.76 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Bosnia and Herzegovina,0.07,0.11,0.16,:,:,:,:,0.11,0.11,0.11,:,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,Belgium,0.48,0.5,0.49,0.49,0.54,0.53,0.53,0.53,0.56,0.55,0.56 e,0.54 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Bulgaria,0.05,0.05,0.07,0.05,0.04,0.04,0.04,0.06,0.05,0.05,0.05,0.05 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Switzerland,0.81,:,0.85,0.88,:,0.91,:,0.92,:,0.93,0.9 d,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,China except Hong Kong,0.14,0.14,0.14,0.14,0.14,0.15,0.16,0.18,0.19,0.19,0.2,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,Cyprus,0.24,0.26,0.25,0.24,0.21,0.22,0.24,0.27,0.3,0.3,0.26,0.25 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Czechia,0.48,0.51,0.49,0.47,0.34,0.34,0.4,0.41,0.42,0.39,0.37,0.34 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Germany,0.5,0.5,0.5,0.5,0.52 b,0.52,0.54,0.54,0.58,0.56,0.56,0.54 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Denmark,0.94,1.0,0.98,1.04,1.0,0.98,1.0,1.01 p,1.03,0.94 p,1.01,1.06 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Euro area - 19 countries  (2015-2022),0.46 e,0.47 e,0.46 e,0.46 e,0.46 e,0.45 e,0.46 e,0.46 e,0.49 e,0.48 e,0.47 e,0.47 e
Annual,Percentage of gross domestic product (GDP),Higher education sector,Euro area – 20 countries (from 2023),0.46 e,0.47 e,0.46 e,0.46 e,0.46 e,0.45 e,0.46 e,0.46 e,0.49 e,0.48 e,0.47 e,0.47 e
Annual,Percentage of gross domestic product (GDP),Higher education sector,Estonia,0.68,0.72,0.62,0.6,0.43,0.5,0.62,0.56,0.58,0.59,0.58,0.6
Annual,Percentage of gross domestic product (GDP),Higher education sector,Greece,0.29,0.31,0.31,0.37,0.32,0.33,0.34,0.39,0.47,0.43,0.44,0.44 p
