Time frequency,Sex,Professional position,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Researchers,Head count,Business enterprise sector,Austria,:,33643.0,:,36984.0,:,39073.0,:,44287.0,:,46547.0,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Bosnia and Herzegovina,120.0,162.0,74.0,:,:,:,:,197.0,161.0,175.0,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Belgium,:,30374.0,:,36947.0,:,40853.0,:,49837.0,:,67878 b,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Bulgaria,2388.0,3186.0,3969.0,6459.0,7242.0,7941.0,9367.0,9876.0,9644.0,9546.0,10578.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Switzerland,17904.0,:,:,23807.0,:,23142.0,:,25426.0,:,28212.0,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,China except Hong Kong,1176429.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Cyprus,338.0,339.0,325.0,290.0,369.0,439.0,630.0,692.0,738.0,720.0,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Czechia,17610.0,19125.0,21473.0,22538.0,22681.0,23978.0,25275.0,25865.0,26522.0,30248.0,31509.0,31800 p
Annual,Total,Researchers,Head count,Business enterprise sector,Germany,:,221362.0,:,252897.0,:,280095.0,:,309204.0,:,314353.0,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Denmark,29279.0,28252.0,28649.0,29648.0,31474.0,31391.0,29942.0,31008 p,30747 p,:,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Euro area - 19 countries  (2015-2022),:,786347 e,:,855483 e,:,963507 e,:,1083362 e,:,1141458 e,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Euro area – 20 countries (from 2023),:,787598 e,:,856776 e,:,965432 e,:,1085957 e,:,1144577 e,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Estonia,2039.0,1866.0,2061.0,1782.0,1782.0,2200.0,2089.0,2555.0,3056.0,3202.0,3474.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Greece,:,6004.0,:,7107.0,:,15671.0,:,15034.0,17097.0,19096.0,23922.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Spain,59604.0,59360.0,59254.0,60210.0,62517.0,65534.0,70702.0,72389.0,74153.0,79471.0,86155.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,European Union - 27 countries (from 2020),:,933559 e,:,1021401 e,:,1182281 e,:,1324876 e,:,1442703 e,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Finland,27225.0,27977.0,27367.0,27977.0,26962.0,26252.0,26949.0,28800.0,31536.0,34904 d,33784 d,:
Annual,Total,Researchers,Head count,Business enterprise sector,France,213181.0,220321.0,223801.0,:,237443.0,256347 p,268565 p,:,289641.0,291075.0,296555.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Croatia,1366.0,1251.0,1178.0,1293.0,2003.0,1925.0,2081.0,2595.0,2685.0,3119.0,3667.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Hungary,14742.0,16010.0,17008.0,16485.0,16726.0,19292.0,23776 b,25433.0,28947.0,31474.0,32237.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Ireland,:,13750.0,:,14175.0,:,15605.0,:,16609.0,:,16739.0,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Iceland,:,1278 b,:,:,:,1354 u,1354 u,:,:,1879.0,1947 u,:
Annual,Total,Researchers,Head count,Business enterprise sector,Italy,49950.0,52710.0,54216.0,62170.0,72393 b,82060.0,96257.0,103403.0,97320.0,93296.0,96082.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Japan,528300 d,531423 d,560466 d,540895 d,547344 d,557050 d,559983 d,562901 d,570974 d,598833 d,618551 d,:
Annual,Total,Researchers,Head count,Business enterprise sector,South Korea,275986.0,281874.0,304808.0,317842.0,321323.0,343367.0,368237.0,387448.0,401116.0,429465.0,443270.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Lithuania,2038.0,2451.0,4078.0,2807.0,2836.0,3896.0,4312.0,4542.0,4446.0,4866.0,5209.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Luxembourg,:,1097.0,:,1239.0,:,1505.0,:,1497.0,:,1201.0,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Latvia,1138.0,1117.0,1496.0,1208.0,1098.0,1145.0,1207.0,1313.0,1476.0,1813.0,1797.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Montenegro,:,136.0,123.0,118 d,91.0,116.0,204.0,158.0,:,:,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,North Macedonia,120.0,:,:,374.0,374.0,407.0,482.0,555.0,572.0,:,408.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Malta,649.0,552.0,473.0,515.0,584.0,591.0,536.0,525.0,558.0,572.0,695.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Netherlands,71200 b,84044 b,84671.0,85199.0,91036.0,90873.0,95694.0,99627.0,101695.0,103097.0,110867 b,:
Annual,Total,Researchers,Head count,Business enterprise sector,Norway,18630 u,18857 u,20388 u,21206.0,22713.0,24418.0,25342.0,26452.0,27277.0,29660 bd,30976 d,:
Annual,Total,Researchers,Head count,Business enterprise sector,Poland,18882.0,24781.0,28386.0,32204.0,48850.0,69228.0,73126.0,78423.0,85469.0,102674.0,110713.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Portugal,21471.0,20621 b,21646.0,23498.0,26332.0,29410.0,32411.0,36855.0,42154.0,46817.0,49578.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Romania,5451.0,5738.0,5848.0,4923.0,5402.0,4852.0,5119.0,4809.0,5521.0,6899.0,6612.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Serbia,283.0,489.0,1467.0,1465.0,2071.0,1610.0,1266.0,1483.0,1563.0,1755.0,1982.0,2226.0
Annual,Total,Researchers,Head count,Business enterprise sector,Russia,192285 e,193736 e,196320 e,198123.0,:,186347.0,171205.0,185358.0,:,:,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Sweden,:,48961 b,:,52368.0,:,60167.0,:,63505.0,:,87278 b,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,Slovenia,5480.0,5619.0,5689.0,5184.0,5536.0,7469.0,8285.0,8778.0,9098.0,8848.0,8898.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Slovakia,3280.0,3141.0,3382.0,3801.0,4252.0,4488.0,5301.0,5775.0,5912.0,6963.0,8013.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,Türkiye,39296.0,45605.0,48247.0,51069.0,59567.0,70832.0,85023.0,93604.0,106901.0,124837.0,144872.0,:
Annual,Total,Researchers,Head count,Business enterprise sector,United Kingdom,113509.0,123684.0,133891.0,136397.0,141873.0,155814.0,165975.0,:,:,:,:,:
Annual,Total,Researchers,Head count,Business enterprise sector,United States,1004000.0,1014000.0,1060000.0,1075000.0,:,:,:,:,1339029.0,1454417.0,:,:
Annual,Total,Researchers,Head count,Government sector,Austria,:,3472.0,:,3747.0,:,6598.0,:,7037.0,:,7102.0,:,:
Annual,Total,Researchers,Head count,Government sector,Bosnia and Herzegovina,67.0,97.0,69.0,:,:,:,:,53.0,78.0,129.0,:,:
