Time frequency,Type of transport,Type of operation and loading status,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Austria,26089.0,24213.0,25260.0,25458.0,26138.0,25978.0,25763.0,26444.0,25910.0,27282.0,26830.0,25422.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Belgium,32105.0,32796.0,31808.0,36078.0,35192.0,34220.0,32685.0,34830.0,34379.0,36175.0,33480.0,32234.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Bulgaria,24372.0,27097.0,27854.0,32297.0,35409.0,35150.0,26950.0,20551.0,32566.0,35130.0,35134.0,33125.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Switzerland,12966.0,12817.0,13067.0,12441.0,12134.0,11947.0,12500.0,12399.0,12486.0,12698.0,12988.0,11888.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Cyprus,896.0,634.0,538.0,563.0,703.0,826.0,892.0,858.0,709.0,731.0,949.0,1023.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Czechia,51228.0,54893.0,54092.0,58715.0,50315.0,44274.0,41073.0,39059.0,56090.0,63756.0,65794.0,64806.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Germany,307009.0,305744.0,310142.0,314816.0,315774.0,313149.0,316772.0,311875.0,304613.0,307272.0,303948.0,286408.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Denmark,16679.0,16072.0,16184.0,15500.0,16094.0,15502.0,14998.0,14991.0,14686.0,15342.0,15162.0,16406.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Estonia,5791.0,5986.0,6310.0,6263.0,6716.0,6189.0,5775.0,4794.0,4279.0,5237.0,4540.0,4194.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Greece,20839.0,16583.0,19223.0,19764.0,21228.0,21343.0,27493.0,21844.0,21232.0,21053.0,21182.0,20011.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Spain,199209.0,192597.0,195767.0,209390.0,216997.0,231109.0,238994.0,249559.0,242268.0,270176.0,266724.0,263382.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),European Union - 27 countries (from 2020),1536149.0,1571520.0,1584466.0,1614870.0,1675444.0,1758318.0,1761866.0,1813524.0,1799634.0,1920510.0,1918566.0,1856985.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Finland,25460.0,24429.0,23401.0,24488.0,26846.0,27966.0,28345.0,28848.0,29671.0,29618.0,30590.0,28255.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),France,172445.0,171472.0,165225.0,153580.0,155843.0,167691.0,171875.0,174061.0,169663.0,174853.0,173353.0,169240.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Croatia,8649.0,9133.0,9381.0,10439.0,11337.0,11834.0,12635.0,12477.0,12255.0,13629.0,13659.0,14329.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Hungary,33736.0,35818.0,37517.0,38353.0,40002.0,39684.0,37948.0,36951.0,32224.0,37101.0,37444.0,33353.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Ireland,9976.0,9215.0,9751.0,9900.0,11616.0,11836.0,11600.0,12444.0,11424.0,12493.0,12364.0,12591.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Italy,124015.0,127241.0,117813.0,116820.0,112637.0,119687.0,124915.0,137986.0,133222.0,144986.0,151100.0,145173.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Liechtenstein,280.0,317.0,:,:,:,:,:,:,:,:,:,:
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Lithuania,23449.0,26338.0,28067.0,26485.0,30974.0,39099.0,43590.0,53117.0,55292.0,57755.0,53773.0,63101.0
Annual,Total,Loaded - total transport,Million tonne-kilometre (TKM),Luxembourg,7950.0,8606.0,9599.0,7849.0,8297.0,8092.0,6800.0,7381.0,6176.0,6904.0,7353.0,6964.0
