Time frequency,Unit of measure,Transport coverage,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Millions of passenger-kilometres,Total transport,Austria,10606.0,11188.0,11345.0,11433.0,12021.0,12077.0,12681.0,12761.0,6964.0,8054.0,12371.0,14019.0
Annual,Millions of passenger-kilometres,Total transport,Belgium,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Millions of passenger-kilometres,Total transport,Bulgaria,1870.0,1821.0,1698.0,1549.0,1455.0,1434.0,1476.0,1520.0,1118.0,1203.0,1600.0,1592.0
Annual,Millions of passenger-kilometres,Total transport,Switzerland,18115.0,18277.0,18801.0,19089.0,19573.0,19586.0,19245.0,20315.0,12419.0,13321.0,18022.0,20754.0
Annual,Millions of passenger-kilometres,Total transport,Czechia,7196.0,7512.0,7644.0,8125.0,8738.0,9403.0,10220.0,10856.0,6623.0,6752.0,9394.0,9996.0
Annual,Millions of passenger-kilometres,Total transport,Germany,93918.0,89450.0,90978.0,91050.0,95465.0,95529.0,98161.0,100252.0,57787.0,57518.0,92313.0,101408.0
Annual,Millions of passenger-kilometres,Total transport,Denmark,6534.0,6566.0,6513.0,6507.0,6332.0,6280.0,6182.0,6174.0,3940.0,4181.0,5822.0,6031.0
Annual,Millions of passenger-kilometres,Total transport,Estonia,235.0,223.0,280.0,286.0,316.0,366.0,417.0,392.0,263.0,290.0,382.0,408.0
Annual,Millions of passenger-kilometres,Total transport,Greece,832.0,1056.0,1072.0,1263.0,1192.0,1112.0,1104.0,1252.0,640.0,653.0,1117.0,673.0
Annual,Millions of passenger-kilometres,Total transport,Spain,22170.0,23660.0,24915.0,26018.0,26532.0,27374.0,28317.0,28703.0,11987.0,17002.0,27489.0,34632.0
Annual,Millions of passenger-kilometres,Total transport,European Union - 27 countries (from 2020),:,: @C,: @C,375713.0,384335.0,391448.0,397795.0,410888.0,220987.0,:,:,428895.0
Annual,Millions of passenger-kilometres,Total transport,Finland,4035.0,4053.0,3874.0,4114.0,3868.0,4271.0,4535.0,4924.0,2820.0,2903.0,4572.0,5199.0
Annual,Millions of passenger-kilometres,Total transport,France,91205.0,90485.0,89499.0,91377.0,91832.0,92331.0,89186.0,93504.0,53926.0,70481.0,95635.0,101316.0
Annual,Millions of passenger-kilometres,Total transport,Croatia,1080.0,935.0,917.0,941.0,827.0,736.0,747.0,724.0,448.0,538.0,812.0,1142.0
Annual,Millions of passenger-kilometres,Total transport,Hungary,7769.0,7806.0,7710.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Millions of passenger-kilometres,Total transport,Ireland,1578.0,1569.0,1728.0,1918.0,1991.0,2122.0,2281.0,2399.0,834.0,870.0,1748.0,2235.0
Annual,Millions of passenger-kilometres,Total transport,Italy,45753.0,47707.0,48881.0,51121.0,51716.0,52778.0,55037.0,56160.0,22064.0,27444.0,46143.0,54791.0
Annual,Millions of passenger-kilometres,Total transport,Lithuania,278.0,278.0,270.0,262.0,280.0,315.0,354.0,359.0,237.0,287.0,382.0,392.0
Annual,Millions of passenger-kilometres,Total transport,Luxembourg,373.0,394.0,366.0,418.0,417.0,438.0,443.0,463.0,268.0,304.0,389.0,505.0
Annual,Millions of passenger-kilometres,Total transport,Latvia,717.0,721.0,644.0,590.0,584.0,596.0,624.0,643.0,413.0,361.0,541.0,612.0
Annual,Millions of passenger-kilometres,Total transport,North Macedonia,99.0,80.0,80.0,177.0,83.0,59.0,63.0,62.0,25.0,25.0,46.0,32.0
Annual,Millions of passenger-kilometres,Total transport,Netherlands,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Millions of passenger-kilometres,Total transport,Norway,3092.0,3260.0,3440.0,3555.0,3695.0,3584.0,3722.0,3715.0,1804.0,1780.0,3079.0,3513.0
Annual,Millions of passenger-kilometres,Total transport,Poland,17110.0,16453.0,15479.0,17024.0,18753.0,20120.0,20849.0,: @C,: @C,: @C,23646.0,25605.0
Annual,Millions of passenger-kilometres,Total transport,Portugal,3803.0,3649.0,3852.0,3957.0,4266.0,4516.0,4570.0,5055.0,2563.0,2912.0,4419.0,4829.0
Annual,Millions of passenger-kilometres,Total transport,Romania,4518.0,4352.0,4971.0,4910.0,4731.0,5556.0,5426.0,5735.0,3609.0,4104.0,5616.0,5978.0
Annual,Millions of passenger-kilometres,Total transport,Sweden,11792.0,11842.0,12121.0,12741.0,12800.0,13331.0,13547.0,14617.0,8129.0,8027.0,12879.0,13308.0
Annual,Millions of passenger-kilometres,Total transport,Slovenia,659.0,679.0,620.0,628.0,611.0,570.0,568.0,572.0,338.0,504.0,645.0,742.0
Annual,Millions of passenger-kilometres,Total transport,Slovakia,2459.0,2485.0,2583.0,3411.0,3484.0,3754.0,3792.0,3957.0,2133.0,1969.0,3168.0,3543.0
Annual,Millions of passenger-kilometres,Total transport,Türkiye,3006.0,3020.0,3458.0,3708.0,3323.0,3633.0,4374.0,4912.0,1520.0,2251.0,5922.0,6245.0
Annual,Millions of passenger-kilometres,Total transport,United Kingdom,60783.0,61950.0,64711.0,66594.0,68010.0,68912.0,69706.0,71823.0,:,:,:,:
