Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Austria,:,97.8
Annual,Participation rate (%),Belgium,93.1,97.2
Annual,Participation rate (%),Bulgaria,94.9,:
Annual,Participation rate (%),Germany,97.2,98.1
Annual,Participation rate (%),Estonia,91.3,95.7
Annual,Participation rate (%),Greece,:,87.3
Annual,Participation rate (%),Spain,85.2,94.5
Annual,Participation rate (%),Finland,:,92.4
Annual,Participation rate (%),France,:,95.8
Annual,Participation rate (%),Hungary,:,100.0
Annual,Participation rate (%),Italy,80.5,94.9
Annual,Participation rate (%),Lithuania,97.9,:
Annual,Participation rate (%),Luxembourg,:,98.8
Annual,Participation rate (%),Latvia,93.7,:
Annual,Participation rate (%),Netherlands,:,92.8
Annual,Participation rate (%),Norway,95.1,99.3
Annual,Participation rate (%),Poland,95.9,98.5
Annual,Participation rate (%),Romania,:,94.7
Annual,Participation rate (%),Serbia,:,99.5
Annual,Participation rate (%),Slovenia,95.3,:
Annual,Participation rate (%),Türkiye,:,99.6
Annual,Participation rate (%),United Kingdom,67.2,89.9
Annual,Participation time (hh:mm),Austria,:,6:11
Annual,Participation time (hh:mm),Belgium,4:45,6:44
Annual,Participation time (hh:mm),Bulgaria,4:49,:
Annual,Participation time (hh:mm),Germany,5:34,6:49
Annual,Participation time (hh:mm),Estonia,4:43,9:24
Annual,Participation time (hh:mm),Greece,:,4:23
Annual,Participation time (hh:mm),Spain,3:43,5:37
Annual,Participation time (hh:mm),Finland,:,7:12
Annual,Participation time (hh:mm),France,:,6:48
Annual,Participation time (hh:mm),Hungary,:,17:32
Annual,Participation time (hh:mm),Italy,3:39,5:00
Annual,Participation time (hh:mm),Lithuania,5:17,:
Annual,Participation time (hh:mm),Luxembourg,:,7:09
Annual,Participation time (hh:mm),Latvia,4:37,:
Annual,Participation time (hh:mm),Netherlands,:,6:26
Annual,Participation time (hh:mm),Norway,3:57,7:21
Annual,Participation time (hh:mm),Poland,4:39,6:48
Annual,Participation time (hh:mm),Romania,:,6:50
Annual,Participation time (hh:mm),Serbia,:,8:01
Annual,Participation time (hh:mm),Slovenia,4:44,:
Annual,Participation time (hh:mm),Türkiye,:,7:38
Annual,Participation time (hh:mm),United Kingdom,3:39,5:08
Annual,Time spent (hh:mm),Austria,:,6:03
Annual,Time spent (hh:mm),Belgium,4:25,6:33
Annual,Time spent (hh:mm),Bulgaria,4:34,:
Annual,Time spent (hh:mm),Germany,5:25,6:41
Annual,Time spent (hh:mm),Estonia,4:19,9:00
Annual,Time spent (hh:mm),Greece,:,3:49
Annual,Time spent (hh:mm),Spain,3:10,5:19
Annual,Time spent (hh:mm),Finland,:,6:40
Annual,Time spent (hh:mm),France,:,6:31
Annual,Time spent (hh:mm),Hungary,:,17:32
Annual,Time spent (hh:mm),Italy,2:56,4:45
Annual,Time spent (hh:mm),Lithuania,5:10,:
Annual,Time spent (hh:mm),Luxembourg,:,7:04
Annual,Time spent (hh:mm),Latvia,4:20,:
Annual,Time spent (hh:mm),Netherlands,:,5:58
Annual,Time spent (hh:mm),Norway,3:45,7:18
Annual,Time spent (hh:mm),Poland,4:27,6:42
Annual,Time spent (hh:mm),Romania,:,6:28
Annual,Time spent (hh:mm),Serbia,:,7:59
Annual,Time spent (hh:mm),Slovenia,4:30,:
Annual,Time spent (hh:mm),Türkiye,:,7:36
Annual,Time spent (hh:mm),United Kingdom,2:27,4:37
