Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Austria,:,86.5
Annual,Participation rate (%),Belgium,87.1,76.2
Annual,Participation rate (%),Bulgaria,95.0,:
Annual,Participation rate (%),Germany,92.3,93.8
Annual,Participation rate (%),Estonia,81.2,87.1
Annual,Participation rate (%),Greece,:,93.4
Annual,Participation rate (%),Spain,67.0,79.9
Annual,Participation rate (%),Finland,89.1,84.4
Annual,Participation rate (%),France,93.1,81.6
Annual,Participation rate (%),Hungary,:,97.4
Annual,Participation rate (%),Italy,85.0,85.4
Annual,Participation rate (%),Lithuania,77.2,:
Annual,Participation rate (%),Luxembourg,:,71.4
Annual,Participation rate (%),Latvia,73.4,:
Annual,Participation rate (%),Netherlands,:,83.9
Annual,Participation rate (%),Norway,81.0,85.1
Annual,Participation rate (%),Poland,95.3,85.6
Annual,Participation rate (%),Romania,:,99.9
Annual,Participation rate (%),Serbia,:,91.4
Annual,Participation rate (%),Slovenia,83.8,:
Annual,Participation rate (%),Türkiye,:,0.0
Annual,Participation rate (%),United Kingdom,90.9,89.4
Annual,Participation time (hh:mm),Austria,:,3:09
Annual,Participation time (hh:mm),Belgium,4:20,3:31
Annual,Participation time (hh:mm),Bulgaria,3:59,:
Annual,Participation time (hh:mm),Germany,4:52,4:58
Annual,Participation time (hh:mm),Estonia,3:05,3:51
Annual,Participation time (hh:mm),Greece,:,3:49
Annual,Participation time (hh:mm),Spain,2:06,3:27
Annual,Participation time (hh:mm),Finland,3:35,3:04
Annual,Participation time (hh:mm),France,6:14,4:29
Annual,Participation time (hh:mm),Hungary,:,6:52
Annual,Participation time (hh:mm),Italy,3:42,3:30
Annual,Participation time (hh:mm),Lithuania,2:35,:
Annual,Participation time (hh:mm),Luxembourg,:,2:46
Annual,Participation time (hh:mm),Latvia,2:53,:
Annual,Participation time (hh:mm),Netherlands,:,2:59
Annual,Participation time (hh:mm),Norway,2:48,3:39
Annual,Participation time (hh:mm),Poland,3:31,2:58
Annual,Participation time (hh:mm),Romania,:,3:59
Annual,Participation time (hh:mm),Serbia,:,3:37
Annual,Participation time (hh:mm),Slovenia,4:10,:
Annual,Participation time (hh:mm),Türkiye,:,0:00
Annual,Participation time (hh:mm),United Kingdom,3:30,3:25
Annual,Time spent (hh:mm),Austria,:,2:43
Annual,Time spent (hh:mm),Belgium,3:46,2:41
Annual,Time spent (hh:mm),Bulgaria,3:47,:
Annual,Time spent (hh:mm),Germany,4:29,4:40
Annual,Time spent (hh:mm),Estonia,2:30,3:22
Annual,Time spent (hh:mm),Greece,:,3:34
Annual,Time spent (hh:mm),Spain,1:25,2:45
Annual,Time spent (hh:mm),Finland,3:12,2:35
Annual,Time spent (hh:mm),France,5:48,3:39
Annual,Time spent (hh:mm),Hungary,:,6:41
Annual,Time spent (hh:mm),Italy,3:08,2:59
Annual,Time spent (hh:mm),Lithuania,2:00,:
Annual,Time spent (hh:mm),Luxembourg,:,1:58
Annual,Time spent (hh:mm),Latvia,2:07,:
Annual,Time spent (hh:mm),Netherlands,:,2:30
Annual,Time spent (hh:mm),Norway,2:16,3:06
Annual,Time spent (hh:mm),Poland,3:21,2:32
Annual,Time spent (hh:mm),Romania,:,3:59
Annual,Time spent (hh:mm),Serbia,:,3:18
Annual,Time spent (hh:mm),Slovenia,3:30,:
Annual,Time spent (hh:mm),Türkiye,:,0:00
Annual,Time spent (hh:mm),United Kingdom,3:11,3:03
