Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Number,Border regions,Austria,:,:,:,:,:,:,:,:,:,:,:,2055.0,:,:
Annual,Number,Border regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Border regions,Czechia,:,:,:,311.0,532.0,606.0,358.0,:,446.0,:,458.0,528.0,617.0,:
Annual,Number,Border regions,Denmark,379.0,739.0,575.0,544.0,805.0,696.0,641.0,531.0,692.0,581.0,840.0,691.0,847.0,654 p
Annual,Number,Border regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,48 p
Annual,Number,Border regions,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,26 p
Annual,Number,Border regions,Ireland,34.0,185.0,:,:,:,103.0,60.0,181.0,:,100.0,75.0,37.0,:,:
Annual,Number,Border regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Border regions,Italy,:,4200.0,:,:,:,4871.0,4415.0,:,3367.0,:,:,3175.0,:,:
Annual,Number,Border regions,Liechtenstein,49.0,215.0,186.0,192.0,100.0,288.0,124.0,140.0,90.0,84.0,210.0,61.0,104.0,36 p
Annual,Number,Border regions,Luxembourg,35.0,80.0,133.0,186.0,460.0,320.0,273.0,205.0,340.0,511.0,717.0,576.0,613.0,441 p
Annual,Number,Border regions,Latvia,:,:,:,:,:,:,:,15.0,:,:,:,:,21.0,:
Annual,Number,Border regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Border regions,Netherlands,:,:,:,:,:,:,:,:,1377.0,:,:,:,:,:
Annual,Number,Border regions,Poland,:,:,:,:,:,:,:,:,:,:,:,722.0,:,:
Annual,Number,Border regions,Slovenia,:,:,:,:,:,:,:,:,:,:,113.0,135.0,:,:
Annual,Number,Border regions,Slovakia,:,:,:,:,:,:,158.0,97.0,:,128.0,196.0,159.0,174.0,:
Annual,Number,Border regions,United Kingdom,:,:,41.0,:,39.0,42.0,39.0,:,63.0,108.0,:,98.0,:,:
Annual,Number,Coastal regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Belgium,:,:,:,:,431.0,405.0,:,:,:,:,:,:,:,:
Annual,Number,Coastal regions,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,403.0,64 p
Annual,Number,Coastal regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Cyprus,1.0,23.0,10.0,42.0,24.0,10.0,6.0,39.0,50.0,31.0,53.0,51.0,27.0,104 p
Annual,Number,Coastal regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Denmark,:,:,:,:,:,:,:,957.0,1256.0,:,:,:,1489.0,1240 p
Annual,Number,Coastal regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,70 p
Annual,Number,Coastal regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Ireland,:,:,193.0,:,604.0,198.0,163.0,307.0,:,188.0,193.0,214.0,284.0,172 p
Annual,Number,Coastal regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Lithuania,:,:,:,:,:,:,4.0,:,:,:,3.0,1.0,2.0,1 p
Annual,Number,Coastal regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Latvia,:,:,:,:,44.0,:,38.0,15.0,:,28.0,18.0,:,52.0,32 p
Annual,Number,Coastal regions,Malta,:,:,:,:,:,:,:,:,7.0,:,205.0,:,332.0,131 p
Annual,Number,Coastal regions,Poland,:,:,:,:,54.0,170.0,124.0,192.0,220.0,337.0,269.0,214.0,178.0,269 p
Annual,Number,Coastal regions,Sweden,444.0,807.0,954.0,997.0,1109.0,1299.0,1127.0,1115.0,1015.0,1221.0,1479.0,:,:,:
Annual,Number,Coastal regions,Slovenia,:,:,9.0,:,:,14.0,:,:,:,:,16.0,15.0,12.0,:
Annual,Number,Coastal regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Intermediate regions,Austria,:,317.0,336.0,442.0,358.0,513.0,653.0,633.0,587.0,:,777.0,:,581.0,403 p
Annual,Number,Intermediate regions,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,501 p
Annual,Number,Intermediate regions,Cyprus,1.0,23.0,10.0,42.0,24.0,10.0,6.0,39.0,50.0,31.0,53.0,51.0,27.0,104 p
Annual,Number,Intermediate regions,Czechia,:,:,:,244.0,461.0,563.0,258.0,296.0,334.0,:,346.0,394.0,369.0,158 p
Annual,Number,Intermediate regions,Denmark,311.0,900.0,807.0,707.0,1023.0,800.0,721.0,509.0,644.0,740.0,657.0,696.0,639.0,566 p
Annual,Number,Intermediate regions,Estonia,:,:,:,:,:,9.0,:,:,:,:,1.0,:,:,2 p
Annual,Number,Intermediate regions,Finland,:,67.0,102.0,:,:,150.0,:,117.0,176.0,:,191.0,:,190.0,163 p
Annual,Number,Intermediate regions,Ireland,2.0,150.0,42.0,74.0,488.0,58.0,43.0,135.0,93.0,76.0,41.0,8.0,115.0,23 p
Annual,Number,Intermediate regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Intermediate regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Intermediate regions,Luxembourg,35.0,80.0,133.0,186.0,460.0,320.0,273.0,205.0,340.0,511.0,717.0,576.0,613.0,441 p
Annual,Number,Intermediate regions,Latvia,:,:,:,:,:,:,:,2.0,:,6.0,4.0,:,4.0,15 p
Annual,Number,Intermediate regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Intermediate regions,Netherlands,:,:,:,:,:,:,:,:,435.0,:,:,:,:,:
Annual,Number,Intermediate regions,Norway,:,:,:,:,:,137.0,:,:,:,:,:,32.0,:,:
Annual,Number,Intermediate regions,Poland,:,:,:,:,:,:,:,:,1066.0,1263.0,1363.0,1139.0,1586.0,1358 p
Annual,Number,Intermediate regions,Sweden,269.0,346.0,546.0,635.0,514.0,731.0,600.0,532.0,631.0,659.0,657.0,770.0,608.0,495 p
Annual,Number,Intermediate regions,Slovenia,:,19.0,21.0,24.0,42.0,65.0,52.0,69.0,93.0,75.0,66.0,56.0,111.0,68 p
Annual,Number,Intermediate regions,Slovakia,:,:,:,44.0,:,31.0,55.0,21.0,:,65.0,111.0,82.0,117.0,:
Annual,Number,Intermediate regions,United Kingdom,:,:,:,:,:,:,652.0,:,:,:,:,:,:,:
Annual,Number,Island regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Belgium,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Bulgaria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Cyprus,1.0,23.0,10.0,42.0,24.0,10.0,6.0,39.0,50.0,31.0,53.0,51.0,27.0,104 p
Annual,Number,Island regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
