Time frequency,Sex,Age class,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,: u,: u,: u,: u,19.9 b,20.4,20.4 b,20.1,22.0,23.9,24.4,24.3,26.5,27.8,41.6 b,40.0,42.0,44.0,44.2,45.6,45.4,45.1 b,48.4,48.6
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,34.0,34.1,33.1
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,37.1,37.9,39.0,41.3,44.1,43.4,46.2,46.4,48.6 b,47.7,50.0,48.1,50.7,49.3,50.2 b,48.7,50.7,50.9 b,54.5,55.2,55.5,56.4 b,60.6,58.5
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,23.1,28.3 b,28.8,29.5,31.8,31.5,32.8 b,33.2,34.5,35.6,35.9 b,34.2 b,33.6,37.6,39.0 b,39.9,41.0,40.5,40.8,39.0 b,40.4,38.5 b,39.2,42.7
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,17.7,17.6,20.8,23.2,23.7,25.4,27.3,29.7,34.4,38.1,38.9 b,39.7,39.3,42.3,46.0 b,50.0,50.1,51.6,54.9,57.1,57.2,57.2 b,53.7,55.8
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,31.5,32.3,36.1,37.7,38.7,42.5,46.8,48.0,52.9,49.3 b,48.9,52.0,55.5,53.4,58.2 b,61.6,62.1,63.6,64.4,67.6,71.7,70.1 b,71.0,73.1
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,13.0,12.5,11.4,10.8 b,12.1,13.0,12.4,13.7,15.9,18.7,22.3,26.1 b,29.1,29.6,32.5 b,35.9,38.7,41.0,40.6,41.0,41.2,45.0 b,44.7,42.4
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,22.6,21.9,21.4,22.5,24.3,24.1 b,24.4,25.7,27.0,29.2,29.4 b,31.3,32.6,33.7,30.8 b,32.4,33.0,34.2,35.4,35.9,36.6 b,39.6 b,40.1,42.3
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,33.6,37.8,39.4,41.1 b,44.0,47.3,47.4,41.6 b,41.3 b,46.3,46.4,47.9,52.7,51.1,49.1 b,53.6,53.4 b,56.0 b,56.1,57.5,58.0,61.2 b,60.7,60.6
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Euro area – 20 countries (from 2023),:,:,25.8,27.5,29.8,31.1,32.6,33.8,34.9,35.8,37.2,37.8,39.0,40.0,40.4 b,41.5,42.1,43.1,44.2,45.2,45.7,46.9 b,47.8,49.3
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,38.9 b,35.7,32.7,33.8,35.4,36.8,38.5,42.9,40.1,43.2,48.6,50.4,51.3,53.7,54.2 b,54.6,51.1,54.2,54.7,57.5,53.7,53.8 b,55.6,62.0
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,26.9,26.4 b,24.9,24.1,26.7 b,27.5,28.2,27.2,27.8,29.0 b,31.1,31.5,34.2,39.0,41.6 b,45.5,48.8,50.5,51.3,49.3,48.5,48.6 b,51.3,51.8
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,30.4,33.3,37.2,37.8,40.6,44.6 b,44.8,46.3,46.5,46.5,47.5,46.7,47.1,47.5,47.8 b,47.1,46.6,47.5,48.6,50.8,50.9,51.8 b,55.0,56.2
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),:,:,23.7,25.5,27.9,29.4,30.9,32.0,33.4,34.8,36.3,37.3,38.8,40.1,41.0 b,42.2,42.9,43.9,44.8,45.7,46.4,47.3 b,48.3,49.4
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Finland,47.9 b,49.6,49.3,50.2,52.1,52.1,55.3,55.4,56.6,55.5,54.0,55.0,55.4,52.9,52.6 b,53.4,54.4,52.0,52.5,56.6,57.6,52.6 b,53.4,49.8
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),France,29.0,30.6,34.0,37.5 b,38.7,40.5,44.1,45.0,44.9,47.1,47.2,47.2,48.2,48.4 b,47.9 b,49.5,48.8,49.5,51.1,52.3,52.1,53.9 b,52.9,55.6
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Croatia,:,:,17.6,20.1,19.5,21.3,19.1 u,21.4,21.8,24.3,27.6 b,28.5,28.6 b,30.8,39.5 b,38.5,36.7,34.9,41.3,40.2,40.8,41.2 b,43.7,46.8
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Hungary,17.1,16.0 b,16.1,17.9,21.5,20.7,23.6,24.8,26.6,28.9,30.8,32.9,35.1,37.8,40.3 b,41.0,39.6,37.5,40.2 b,39.5,39.3,42.7 b,41.8,39.1
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Ireland,29.2,32.5,33.0,36.3,41.5,42.9,47.2,50.3 b,53.9,56.2,56.7,57.1,58.7,59.4,61.7 b,60.9,61.0,60.3 b,60.4,59.7,61.2,66.0 b,64.2,65.6
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Iceland,34.2,33.2,33.5,42.7 b,44.8,49.2,42.2 u,37.4,41.3,45.9,47.5,53.1,51.2,52.2,52.6 b,55.0,55.8,65.7,63.6,65.7,55.9 b,53.6 b,60.6,67.7
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Italy,12.5,12.9,14.2,15.7,18.4 b,20.1,21.1,22.2,23.5,23.0,24.2,24.8,26.5,27.3,29.1 b,30.8,32.5,34.1,34.1 b,33.9,34.5,33.3 b,33.8,36.3
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Lithuania,47.9,27.4,29.6 b,30.7,35.0,41.2,43.4,42.7,48.3,48.0,50.8,52.9,56.7,60.8,62.7 b,68.4,68.8,68.1,68.2,69.5,70.9,72.6 b,70.2,71.0
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Luxembourg,17.7,21.7,21.5,16.3 b,29.6,38.5,38.9,38.1 b,42.7,44.9 b,47.4,47.4,48.9,55.6,55.4 b,57.7 b,56.5 u,55.6 u,59.8,57.9,65.7,67.8 b,65.7,64.7
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Latvia,23.5,19.3 u,21.9 b,23.3,22.9,24.8,23.9,32.0,34.5,40.0,41.5,46.7,48.1,53.1,52.3 b,56.5,56.1,56.0,55.2,57.0,59.9,57.4 b,55.7,59.1
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Montenegro,:,:,:,:,:,:,:,:,:,:,:,28.1,25.5,31.3,31.3 b,32.2,35.9,37.7,35.5,38.1,41.7,:,:,:
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),North Macedonia,:,:,:,:,:,:,12.8,13.6,13.1,16.8,18.0,22.4,22.6,25.6,28.7 b,34.5,33.8,36.8,40.4,39.4,45.3,:,:,:
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Malta,: du,13.5 du,8.2 d,12.6 d,16.1 d,17.3 b,22.0,22.5,20.9,23.6,23.8,24.2 b,27.8,32.6,33.4 b,34.4,35.2,35.0,38.4,48.0,46.3,49.7 b,46.6,48.1
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Netherlands,25.6,26.9,29.3,32.3,34.0,32.2 b,35.0,36.3,39.7,40.6,44.2,44.8 b,44.5,46.4 b,48.0 b,49.6,49.7,51.8,52.6,55.2 b,58.8,57.8 b,60.2,59.0
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Norway,41.8,46.6,46.8,43.9,44.5,44.4,47.7 b,49.6,54.8,56.4,55.2,56.4,55.9,59.1,62.0 b,60.9,58.2,55.9,56.6,56.9,59.5,64.3 b,64.3,65.9
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Poland,14.6 b,15.8,16.7,19.6 b,23.2,26.4,29.0,31.3,35.0,38.4,40.4 b,43.2,46.5,48.4,50.2 b,52.0,53.9,55.5,55.5,56.7,58.1,57.6 b,58.9,59.6
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Portugal,13.4,15.0,16.7,18.2,20.2 b,21.3,23.4,24.3,26.1,24.9,29.9,31.2 b,31.0,35.8,39.1 b,40.3,41.2,40.4,42.7,43.1,47.3,48.6 b,48.6,47.6
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Romania,8.9,9.0,9.0,8.3 b,10.7,12.1,13.1,14.3,17.1,18.5,19.2 b,20.6,22.9,24.2,27.2 b,27.2,27.4,28.9,28.1,29.8,30.2,27.8 b,29.9,27.1
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Serbia,:,:,:,:,:,:,:,:,:,:,26.3,25.3,29.0,30.5,33.0 b,33.7,35.3,37.7,39.4,40.4,39.1,42.9 b,41.6,46.9
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Sweden,33.2,30.0 b,31.2,35.1,39.3,42.2 b,44.9 b,46.9,47.7,50.0,51.1,53.5,53.7,55.2,57.9 b,57.7,59.2,58.4,59.0 b,59.9,61.5,61.4 b,63.5,64.6
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Slovenia,24.0,25.1,29.1,31.0,32.5,30.1,36.0,41.1,38.4,39.3,44.0,47.3,49.6,49.6,53.6 b,56.4,55.3,58.8,56.3,57.1,59.1,62.9 b,61.4,53.1 b
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Slovakia,10.1,10.7,11.2,11.4,13.2,14.6,15.3,16.1,17.6,19.8,26.2,27.3 b,28.2,31.8,31.5 b,34.4,39.4,42.4,44.6,48.3,49.9,52.0 b,51.2,51.6
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Türkiye,:,:,:,:,:,:,9.5,10.3,11.2,12.9,13.6,14.3,16.2,17.9,19.6 b,22.1,24.7,26.0,27.4,30.0,32.2,35.1 b,37.9,40.5
Annual,Females,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),United Kingdom,27.4,28.4,30.7,30.8,33.3 b,34.9,36.9,39.9 b,40.9 b,42.3,45.1 b,48.3 b,50.0,50.4,51.1 b,51.1,50.2,50.7,52.0,53.3,:,:,:,:
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,: u,: u,: u,: u,22.0 b,20.9,21.8 b,21.6,21.8,22.9,22.3,22.8,25.6,26.4,38.3 b,37.5,38.3,37.7,37.2,39.3,38.0,41.0 b,39.7,39.7
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,23.9,23.4,23.5
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,33.3,32.6,31.5,34.2,35.8,34.9,36.6,36.6,37.4 b,36.4,39.0,37.1,37.1,36.2,37.4 b,36.7,40.4,40.8 b,40.6,39.8,40.2,43.3 b,45.6,41.9
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,16.0,18.8 b,17.7,17.9,18.7,18.3,17.8 b,18.7,19.7,20.4,20.5 b,20.9 b,20.5,21.8,23.4 b,24.8,27.2,25.5,27.0,26.4 b,26.7,27.4 b,28.1,27.7
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,37.5,38.4,39.3,41.4,42.4,41.8,42.8,43.3,48.0,48.8,44.9 b,44.0,45.3,47.4,48.4 b,48.6,52.3,54.0,55.1,55.1,55.7,53.1 b,53.3,54.4
