measure,domain_true,domain_predicted,correct,cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains,error_source
Pesticide sales by categorisation of active substances,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1427,Environment & Natural Resources and Production,1.0,1,1,correct
Agricultural land prices by region - historical data (until,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,65,Environment & Natural Resources and Production,1.0,2,1,correct
Agricultural land renting prices for one year by region - historical data (until,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,65,Environment & Natural Resources and Production,1.0,2,1,correct
Weights of purchase prices of the means of agricultural production - survey,Environment & Natural Resources and Production,Money & Markets,False,2015,Environment & Natural Resources and Production,1.0,2,1,"downstream (LLM domain choice, step 8)"
Weights of producer prices of agricultural products - survey,Environment & Natural Resources and Production,Money & Markets,False,2015,Environment & Natural Resources and Production,1.0,2,1,"downstream (LLM domain choice, step 8)"
Production of eggs for consumption and number of laying hens,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1535,Environment & Natural Resources and Production,1.0,1,1,correct
Laying hens population - annual data,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1003,Environment & Natural Resources and Production,1.0,1,1,correct
Fat contents and protein contents (cow's milk) - annual data,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,609,Environment & Natural Resources and Production,1.0,1,1,correct
Equidae - annual data,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,549,Environment & Natural Resources and Production,1.0,1,1,correct
Production forecasts for pigs – thousand heads – quarterly data,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1527,Environment & Natural Resources and Production,1.0,1,1,correct
Persons employed in main airports by sex,Transports,Transports,True,1374,Transports,0.75,8,3,correct
Persons employed in aviation and airport enterprises by sex,Transports,Transports,True,1374,Transports,0.75,8,3,correct
Aviation and airport enterprises,Transports,Transports,True,151,Transports,1.0,1,1,correct
Commercial aircraft fleet by age of aircraft and country of operator,Transports,Transports,True,228,Transports,1.0,3,1,correct
Commercial aircraft fleet by age of aircraft and country of registration,Transports,Transports,True,228,Transports,1.0,3,1,correct
Commercial airports by type,Transports,Transports,True,229,Transports,1.0,1,1,correct
Freight and mail air transport over national territory (including territorial sea) - million tonne-km,Transports,Transports,True,665,Transports,1.0,2,1,correct
Passenger air transport over national territory (including territorial sea) - million passenger-km,Transports,Transports,True,1309,Transports,1.0,1,1,correct
Business demography by size class and NACE Rev. 2 activity,Money & Markets,Money & Markets,True,180,Money & Markets,1.0,1,1,correct
International trade in services - market integration indicators - historical data,Money & Markets,Money & Markets,True,946,Money & Markets,1.0,1,1,correct
Turnover by client specialisation and employment size class,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Turnover by client specialisation and product specialisation,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Turnover by type of media for advertising services,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Income from intellectual property rights for computer services,Tech & Innovation,Tech & Innovation,True,891,Tech & Innovation,1.0,1,1,correct
Purchases of advertising space or time for resale,Money & Markets,Money & Markets,True,1568,Money & Markets,1.0,1,1,correct
Turnover by product specialisation for div. 72,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Turnover by product specialisation and employment size class for group 72.2,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Turnover by residence of client and economic activity,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Turnover by type of client and NACE Rev.1 at 3-digit level,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Number of enterprises carrying out cross border trade by employment size class,Money & Markets,Money & Markets,True,12,Money & Markets,1.0,3,1,correct
Turnover by type of client and employment size class,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Number of enterprises carrying out cross border trade by type of cross border trade and employment size class,Money & Markets,Money & Markets,True,12,Money & Markets,1.0,3,1,correct
Turnover by nationality of client and NACE Rev.1 at 3-digit level,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Number of enterprises carrying out cross border trade by reasons for cross border trade and employment size class,Money & Markets,Money & Markets,True,12,Money & Markets,1.0,3,1,correct
Turnover by nationality of client and employment size class,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Turnover by client specialisation and NACE Rev.1 at 3-digit level,Money & Markets,Money & Markets,True,1935,Money & Markets,1.0,16,1,correct
Persons employed in circular economy sectors,"People, Work & Living Conditions",Transports,False,1374,Transports,0.75,8,3,"upstream (clustering, step 7)"
Private investment and gross added value related to circular economy sectors,Environment & Natural Resources and Production,Money & Markets,False,1515,Environment & Natural Resources and Production,1.0,1,1,"downstream (LLM domain choice, step 8)"
Patents related to recycling and secondary raw materials,Environment & Natural Resources and Production,Tech & Innovation,False,1322,Environment & Natural Resources and Production,1.0,1,1,"downstream (LLM domain choice, step 8)"
Greenhouse gases emissions from production activities,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,745,Environment & Natural Resources and Production,1.0,1,1,correct
EU self-sufficiency for raw materials,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,413,Environment & Natural Resources and Production,1.0,1,1,correct
Material import dependency,Environment & Natural Resources and Production,Money & Markets,False,1105,Environment & Natural Resources and Production,1.0,1,1,"downstream (LLM domain choice, step 8)"
Material footprint,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1103,Environment & Natural Resources and Production,1.0,1,1,correct
Resource productivity,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1640,Environment & Natural Resources and Production,1.0,1,1,correct
Generation of municipal waste per capita,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,715,Environment & Natural Resources and Production,1.0,7,1,correct
Generation of waste excluding major mineral wastes per GDP unit,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,715,Environment & Natural Resources and Production,1.0,7,1,correct
Waste generation per capita,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,2004,Environment & Natural Resources and Production,1.0,1,1,correct
Food waste,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,651,Environment & Natural Resources and Production,1.0,1,1,correct
Generation of packaging waste per capita,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,715,Environment & Natural Resources and Production,1.0,7,1,correct
Generation of plastic packaging waste per capita,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,715,Environment & Natural Resources and Production,1.0,7,1,correct
Contribution of recycled materials to raw materials demand - end-of-life recycling input rates (EOL-RIR),Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,281,Environment & Natural Resources and Production,1.0,1,1,correct
Recycling rate of all waste excluding major mineral waste,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1613,Environment & Natural Resources and Production,1.0,5,1,correct
Recycling rate of municipal waste,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1613,Environment & Natural Resources and Production,1.0,5,1,correct
Recycling rate of packaging waste by type of packaging,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1613,Environment & Natural Resources and Production,1.0,5,1,correct
Recycling rate of waste of electrical and electronic equipment (WEEE) separately collected,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1613,Environment & Natural Resources and Production,1.0,5,1,correct
"Dwellings by type of ownership, type of building and occupancy status","People, Work & Living Conditions","People, Work & Living Conditions",True,397,"People, Work & Living Conditions",1.0,1,1,correct
Occupied conventional dwellings by presence of comfort characteristics,"People, Work & Living Conditions","People, Work & Living Conditions",True,1245,"People, Work & Living Conditions",1.0,5,1,correct
Private households by type of housing,"People, Work & Living Conditions","People, Work & Living Conditions",True,1513,"People, Work & Living Conditions",1.0,1,1,correct
