tree_id,n_measures,n_domains,majority_domain,purity
0,3,1,Money & Markets,1.0
10,1,1,Environment & Natural Resources and Production,1.0
1003,1,1,Health & Safety,1.0
1005,1,1,Health & Safety,1.0
1008,1,1,Living Well,1.0
101,2,1,Learning & Education,1.0
1011,1,1,Environment & Natural Resources and Production,1.0
1013,3,1,"People, Work & Living Conditions",1.0
1017,49,3,"People, Work & Living Conditions",0.5714285714285714
1019,1,1,Health & Safety,1.0
102,1,1,Learning & Education,1.0
1025,1,1,"People, Work & Living Conditions",1.0
1026,8,3,Transports,0.75
1027,1,1,"People, Work & Living Conditions",1.0
103,26,1,"People, Work & Living Conditions",1.0
1031,1,1,Health & Safety,1.0
1032,2,2,Health & Safety,0.5
1035,2,1,"People, Work & Living Conditions",1.0
1038,1,1,Living Well,1.0
1039,3,1,Living Well,1.0
1041,2,1,"People, Work & Living Conditions",1.0
1042,1,1,"People, Work & Living Conditions",1.0
105,3,1,Money & Markets,1.0
1050,1,1,"People, Work & Living Conditions",1.0
1055,5,1,"People, Work & Living Conditions",1.0
1057,1,1,"People, Work & Living Conditions",1.0
1058,1,1,Environment & Natural Resources and Production,1.0
1059,1,1,Environment & Natural Resources and Production,1.0
1063,1,1,Health & Safety,1.0
107,1,1,Health & Safety,1.0
1073,1,1,Health & Safety,1.0
1074,1,1,Health & Safety,1.0
1076,15,2,"People, Work & Living Conditions",0.6666666666666666
1077,1,1,"People, Work & Living Conditions",1.0
1079,4,1,Environment & Natural Resources and Production,1.0
1080,1,1,Environment & Natural Resources and Production,1.0
1081,1,1,"People, Work & Living Conditions",1.0
1082,1,1,"People, Work & Living Conditions",1.0
1084,1,1,"People, Work & Living Conditions",1.0
1085,1,1,Health & Safety,1.0
1086,1,1,Environment & Natural Resources and Production,1.0
1087,1,1,"People, Work & Living Conditions",1.0
109,12,2,"People, Work & Living Conditions",0.9166666666666666
1091,1,1,"People, Work & Living Conditions",1.0
1094,1,1,"People, Work & Living Conditions",1.0
1095,1,1,Money & Markets,1.0
1096,1,1,"People, Work & Living Conditions",1.0
1097,1,1,"People, Work & Living Conditions",1.0
11,1,1,Living Well,1.0
110,1,1,Environment & Natural Resources and Production,1.0
1100,1,1,Environment & Natural Resources and Production,1.0
1101,3,1,"People, Work & Living Conditions",1.0
1103,1,1,Transports,1.0
1106,1,1,Health & Safety,1.0
1107,1,1,Health & Safety,1.0
111,1,1,"People, Work & Living Conditions",1.0
1110,1,1,Health & Safety,1.0
1112,1,1,Health & Safety,1.0
1115,1,1,Money & Markets,1.0
1116,1,1,Environment & Natural Resources and Production,1.0
1117,1,1,Money & Markets,1.0
1119,2,1,Environment & Natural Resources and Production,1.0
1121,2,1,Health & Safety,1.0
1122,2,1,Health & Safety,1.0
1124,1,1,Environment & Natural Resources and Production,1.0
1126,1,1,"People, Work & Living Conditions",1.0
1128,20,1,Money & Markets,1.0
1132,1,1,Environment & Natural Resources and Production,1.0
1133,3,1,Environment & Natural Resources and Production,1.0
1135,18,2,Environment & Natural Resources and Production,0.5555555555555556
1136,1,1,Environment & Natural Resources and Production,1.0
1139,1,1,Environment & Natural Resources and Production,1.0
114,2,1,Living Well,1.0
1144,1,1,Money & Markets,1.0
1147,3,1,"People, Work & Living Conditions",1.0
1148,1,1,Environment & Natural Resources and Production,1.0
1149,1,1,Health & Safety,1.0
115,1,1,"People, Work & Living Conditions",1.0
1150,2,1,Environment & Natural Resources and Production,1.0
1151,1,1,Environment & Natural Resources and Production,1.0
1153,1,1,Learning & Education,1.0
1157,1,1,Learning & Education,1.0
